event01_cue_onset	event02_expect_displayonset	event03_stimulus_displayonset	event04_actual_displayonset	param_cue_type	param_stimulus_type	event02_expect_RT	event02_expect_angle	event04_actual_RT	event04_actual_angle	cue_con	stim_lin	stim_quad
9.09310007095337	10.710379838943481	22.588840007781982	32.60197997093201	high_cue	high_stim	2.20763373374939	41.806004700106925	1.6340539455413798	31.96320068554613	1	1	1
45.49019002914429	47.40757989883423	60.68715000152588	75.5015299320221	low_cue	low_stim	1.68419098854065	-23.930686349087342	1.50075125694275	-27.65361879559991	-1	-1	1
87.18928003311157	89.5068199634552	104.4870400428772	118.40106987953186	high_cue	low_stim	1.8842191696167	28.460865018950226	1.61744022369385	-26.03376605972938	1	-1	1
129.10510993003845	131.00583004951477	138.0870499610901	148.61247992515564	high_cue	med_stim	1.86761522293091	2.5907475899793297	2.2728660106658904	4.501125418095331	1	0	-2
155.39838004112244	158.5995900630951	170.4869999885559	184.30930018424988	low_cue	low_stim	1.25254678726196	-25.97579669971796	2.40102314949036	-28.80398185692957	-1	-1	1
189.59463000297546	192.29565000534058	199.68725991249084	208.20165991783142	low_cue	high_stim	1.4898753166198702	-28.294197740749272	1.60074162483215	-28.80398185692957	-1	1	1
214.10389041900635	216.4047601222992	224.08674001693726	232.71092009544373	low_cue	med_stim	1.75095200538635	-21.852597641414242	2.05094003677368	-15.60289468122397	-1	0	-2
238.9966299533844	241.39754009246826	248.48671007156372	261.7052102088928	low_cue	med_stim	1.6382541656494098	-26.91384366730482	1.90096163749695	26.355074138917228	-1	0	-2
267.9909200668335	271.1921298503876	281.686870098114	294.9010798931122	low_cue	high_stim	1.67718386650085	-18.946619931084342	2.5183072090148904	61.19601814307043	-1	1	1
304.9882299900055	308.1060700416565	317.0869700908661	328.61382007598877	high_cue	low_stim	1.68410849571228	43.035714758432434	2.03911089897156	-14.767738389003071	1	-1	1
339.2011501789093	341.90216994285583	352.3863501548767	364.9108600616455	high_cue	med_stim	1.2008278369903602	14.29114573839993	1.96758532524109	43.19732317004893	1	0	-2
370.09615993499756	372.79717993736267	387.486829996109	395.00556993484497	high_cue	high_stim	1.45599246025085	15.729264223489114	2.3009819984436004	-25.546759916262612	1	1	1
