sub,ses,run,runtype,signature,condition,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42
sub-0092,ses-01,run-06,pain,NPS,cueH_stimH,-105.870675908535,348.456579328253,-15.53234350088,15.3451106197687,2.56310178826666,-80.1290779179875,-82.0699595600294,-22.2914879766003,-19.4357259753222,1.20408138962247,1.76340922747056,72.7294703174705,300.736820325578,163.794469592613,444.48074592663,375.412178732049,651.735729732393,673.009928509177,698.196974314826,741.749891665155,755.061939714188,586.00933391661,698.665418571671,746.531238357591,553.114025228318,641.141415039043,294.23595218977,467.208966049475,221.747833586424,320.367350403315,196.693253203183,126.037141953206,90.4370099565184,254.122739170365,244.794884512245,224.991531090932,309.368896452531,238.751936466656,458.281775751784,205.383182117756,122.86686424793,142.507535768676
sub-0092,ses-01,run-06,pain,NPS,cueL_stimH,-210.904773067969,-45.7909920926045,-109.077966444206,-131.686433492914,-238.297789776299,-248.722893073716,-101.133015723187,-131.057255034423,-205.171733010854,-443.016846203674,-83.1378543241462,-105.621661121277,36.7685794046706,-109.125849276069,14.062038533372,-27.2113286624798,61.9904123804374,169.978429498745,72.8554120227602,78.7308686248613,-18.5753150973205,193.794074466305,230.429876127631,304.487425378869,466.539536440272,218.855925354871,357.599289560806,423.594613970382,474.350735917542,599.368267274679,327.143553565983,306.347677102649,190.954175527043,304.423622704905,163.918316306038,379.06027970627,27.1069633988199,254.508139646701,-210.422821750164,132.716297749681,-83.9891683386074,219.270289064599
sub-0092,ses-01,run-06,pain,NPS,cueH_stimM,-296.413085505054,-72.1936361212172,-291.012299053597,-21.5045870854327,-161.182730566212,161.046642454298,-66.3403413496054,76.1656395495385,117.016403945845,-58.3487616807944,198.490446113269,-69.4700202025036,379.908042579615,275.475172890783,551.670337053841,484.673889382889,439.412658485941,723.480052855862,376.801018270232,468.74251933305,365.073106768952,551.89182430615,244.863906014041,524.799507558855,443.96137038716,484.712968222614,368.615849039834,387.205622686231,248.123352924058,424.133371714698,285.777206049666,354.205889900092,517.36439292388,359.213650653351,262.215875485421,194.54599927304,251.771421156406,-45.2109211973186,138.310936905583,-75.4100545258298,253.79126096386,101.531172831995
sub-0092,ses-01,run-06,pain,NPS,cueL_stimM,128.8418989639,233.407774908453,29.5692567203324,74.8618886578668,-8.87134182991876,79.4922180071602,124.390011430221,-37.5813545785073,112.289419122469,-24.9466504025382,64.1203964573116,260.045211364198,98.8465229799503,477.733861063459,347.174208984293,299.680063007237,243.913599026863,190.786841356278,368.958880124689,82.0903061086378,206.592439395757,54.6220623135748,8.01978265453268,-6.73481353828836,-199.02477552022,19.6867486300502,-28.0991380114476,-109.21242954516,-10.0373508588566,-119.028136902015,-204.10981799882,-222.768124332538,-336.417592003722,-314.315983546905,-488.558710681402,-192.707576125324,-425.803708709688,-249.743235000979,-328.959184259195,-210.844573065586,-441.908956810555,-289.216315993021
sub-0092,ses-01,run-06,pain,NPS,cueH_stimL,-117.918469635927,-89.3356620663555,-122.921750137092,-265.545952339806,-29.1725977524117,0.783390220938195,-18.5253818401005,-220.219332775109,234.434150541639,48.1431749356798,63.8005712435211,140.887493213781,209.115126476834,324.964282617571,304.22912729435,376.138945426307,102.748578220155,371.058741072172,286.502968358105,335.984948159573,228.237176084975,209.002539999416,364.008148994129,198.441565835569,399.448956747348,286.293719052596,168.367483929424,315.882896017473,-63.3314536216348,251.899595165066,-153.703097077142,36.3719010907821,-216.202716405766,-138.518496649792,-316.267829127457,-313.737412060029,-263.287878679356,-384.3962880978,-164.040639973085,-416.770224943111,-159.873735145169,-368.42141116141
sub-0092,ses-01,run-06,pain,NPS,cueL_stimL,-125.375589754722,-95.7650529778601,-29.8465573286943,-38.538376507019,-32.5751143922195,-66.0969307022813,123.461136081182,14.9315690485113,45.0063950610195,-234.311297514735,-187.436820186588,-205.692850088052,-233.158690844742,-196.18030430698,-179.244291267809,7.06699670088932,-205.026897132866,-84.2789891270603,-184.684300840337,-245.843286636705,111.005388530979,209.643849521867,276.559513478888,261.276332788628,313.398141516924,477.415598890337,312.831461513803,379.327705261115,400.514575608626,285.422133682401,572.291890478851,225.285267563789,610.960342095408,187.990782668119,326.303744441453,248.626242420143,381.225992072112,90.5696231873505,-58.6834539816169,-198.96635406602,-220.769925709531,-231.41867832604
sub-0092,ses-01,run-06,pain,NPS,rating,34.1773238188171,8.07343361035842,-65.9301654807178,-17.4834012764731,-57.597412600971,-55.1152978520599,-186.151781449833,-157.728324536826,-203.317308627787,-241.115866160308,-168.68699162684,-217.630161733057,-222.369055078605,-254.383724126662,-212.184880764412,-220.412899446192,-199.148831219786,-127.917177670989,-202.882197340068,-122.364079859495,-168.418119241398,-130.424940155755,-128.200575328923,-88.4708687148239,-113.782258985746,-66.6524230600872,-45.9306387003345,-59.2466487732013,-63.9662645335072,-24.5255096544509,-44.7951870953299,-99.1885921113391,-48.6625134934811,-62.608536842316,-109.997230071841,-108.265463282589,-81.2446827343148,-33.8274871014812,-31.8858439240951,119.962289483936,-56.4647669501919,84.9486894228389
sub-0092,ses-01,run-06,pain,NPS,cueH,-199.451392581715,-217.112422715368,-125.035079753796,-148.315641730433,-311.388475408241,-84.0517455996009,-278.21068767324,-102.074016604904,-69.1435413920999,-65.2518757571766,-98.3795814966612,-116.914316433139,-136.310618498795,-77.3352616412094,-109.30911927966,38.7656767012461,-68.7374196762624,99.2060499796503,89.5478732408052,125.985644514881,203.229638212581,99.8396199152356,171.958926521573,213.99047104233,293.908730068962,158.092987228287,162.216750916628,221.049720059487,76.041736939652,-8.08881388116042,69.4994369556206,-93.4877839813202,-46.1569083897953,-33.6272844014336,-77.7248939461415,7.62752369857589,23.8552734507706,69.1004559627109,259.777383468547,42.4692275881838,113.383779300365,-58.9214116497308
sub-0092,ses-01,run-06,pain,NPS,cueL,6.16673073135036,-82.2401940951301,-122.032616201845,-126.231322950162,-120.255406003857,-60.4117796918263,-66.4483435616356,14.243049398869,-72.5911986195791,27.7764742709058,-42.1725912408506,-93.7210434527058,18.2434836753128,-59.4646491661648,130.483399373426,120.536944591359,188.284295097065,74.9696738824416,101.208056218462,174.604973482654,207.399240756785,282.761576834871,274.442428169268,239.510205239911,263.918799288601,400.263911010736,236.854385374079,296.813077258295,285.734707088513,293.739108553635,459.691346459972,369.310138916503,374.637340859821,353.300878414796,410.201559712893,349.173477640343,157.184745590394,236.413697143841,198.755431555702,212.085972879167,33.4297302759633,16.3424473232924
sub-0092,ses-01,run-06,pain,NPSpos,cueH_stimH,87.2341762823307,290.425397468436,114.748146785922,118.753204812762,51.7336832596265,23.8352227407687,31.5405465660193,270.945994969452,180.250567121641,103.163471380708,25.4393309439284,111.385590067872,337.980341829782,353.735331704785,465.475491313299,363.628221043776,665.568369550844,427.484869399088,552.793504473031,472.042200263722,527.913594319309,389.526700413608,569.9649769514,583.809402540105,599.289078933276,492.086436382956,252.206584647184,295.711658183674,64.3188580231825,129.333602990455,-14.9965675080813,-67.6629717572855,-138.796805278813,80.8789313483248,81.1232070836486,-127.419167534872,47.5388083567971,-13.2746528026299,117.92428943584,-196.115978984144,-224.160980286885,-239.199885948763
