sub	ses	runtype	roi	tr_0	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12	tr_13	tr_14	tr_15	tr_16	tr_17	tr_18	tr_19
sub-0057	ses-01	pain	1 L_V1_ROI	-0.052874808469047394	-0.1725319030388214	0.2578626377348627	-0.43156378491350844	-0.11624795516750316	-0.19073777286820853	-0.027835023357637514	-0.0020527337653418205	-0.2319839221177405	0.011446200436147375	0.16684219559664962	-0.23090145166735576	-0.051015673361430786	-0.14034688312717572	-0.12264308231722357	-0.2878876654868099	-0.1603083367052263	-0.2750730890574091	-0.08980452952109792	-0.5580225766207184
sub-0057	ses-01	pain	2 L_MST_ROI	-0.28189391743437875	0.154037678113258	0.1771232139471237	-0.00900964672891065	-0.44598995964418664	0.3389726229947838	-0.16341575119933333	-0.08304719669170685	-0.08136391075641604	-0.16098965934875312	0.14354186340177094	-0.32635927023407013	0.14853567197102419	-0.10479029864334048	0.18370256924767436	-0.47641797834096483	0.3313117067966587	-0.1968000966484304	0.02126426878332519	-0.353600267094389
sub-0057	ses-01	pain	3 L_V6_ROI	-0.4194361753082587	-0.03744639251492317	0.25260652949614637	-0.2941812360780101	-0.2756629659678658	0.25499273772375075	-0.29170647626469154	0.03665629928435188	-0.1784190000193032	0.2824708761239606	-0.07449666941596483	-0.3658623909170844	0.03566939526324438	0.17188467631670387	-0.3441940051381686	-0.21659541253074527	0.0759990472214222	-0.01419761708375016	-0.475372693973647	-0.1287586837441921
sub-0057	ses-01	pain	4 L_V2_ROI	-0.014291086974571049	-0.16140755239371746	0.06451463952982747	-0.04695896283377876	-0.5410202034962627	0.12874485654571222	-0.11466510696784848	0.038485013042307746	-0.16325264496934175	0.1672328554155036	-0.08472688353600405	-0.03878855131514777	-0.27618376257810395	-0.07348495085451277	-0.2139624000802152	-0.41433154487999496	0.07283623690032873	-0.2520499556844973	-0.14377004937755422	-0.43579794518660864
sub-0057	ses-01	pain	5 L_V3_ROI	0.0710655721100671	-0.3170092332232516	0.09007672316310553	0.0459788642825341	-0.470689161448774	0.011695887097269172	0.14082750833921887	-0.2717669246213888	-0.06264149022811666	0.12256951247923203	-0.06033872480672766	-0.09888218965990583	-0.17994701617683717	-0.10097368543386206	-0.15090927463226605	-0.2832285166639807	-0.17631615402108822	0.04213927086296543	-0.2581044093707942	-0.38123655427175845
sub-0057	ses-01	pain	6 L_V4_ROI	-0.07096484497032234	-0.0768481371184547	0.0779306509665811	-0.01561915594092186	-0.2621016722310779	0.06068880929917349	0.13764240722263751	-0.02376503208960246	-0.3917819485875818	0.11427829465405158	0.06304078985605988	-0.11109689564287166	0.0001673925165772944	-0.005457131119646794	-0.12720776388245927	0.017039831825510398	-0.12295832139711659	0.033338686695985165	-0.1378821549188589	-0.48940981565114083
sub-0057	ses-01	pain	7 L_V8_ROI	-0.4305455104377064	-0.11050145061574859	0.3625114438013921	-0.11773236426045422	-0.43893981668482346	-0.2155185985781153	0.2911834938908796	-0.288188833045803	-0.00014498108610199286	-0.28868040240489035	0.17268426390623612	-0.5952473157585739	0.18343672860325494	-0.18404624775845382	-0.07792352951168059	-0.1912678346131498	-0.20102846116180834	-0.22933687621964946	-0.17198925063849732	-0.3253670680188434
sub-0057	ses-01	pain	8 L_4_ROI	0.18401610348364908	-0.028050559554828627	-0.007968626613594397	-0.13850040077675616	-0.4042932389793358	0.3011160054370659	-0.16960640573555638	0.03695758324773994	0.0670943128310432	0.09027622374330414	-0.10882316773444241	-0.10682623935398176	-0.13209520697655916	-0.06225010942136645	-0.34435493416997603	-0.15735464220341122	0.2765740777166567	-0.05969285410963638	-0.1922868588919166	0.32889846651086263
sub-0057	ses-01	pain	9 L_3b_ROI	0.2253511166821584	0.024118624764483225	-0.028059538911718744	-0.10719404107804814	-0.37908342362240466	0.24491347665062815	-0.1346769386204321	-0.1438287356971979	0.0033195931820397947	0.11146314276094217	-0.19681980237977456	0.04045290696476187	-0.07527508488314553	-0.32538295496803	-0.21041340923128346	-0.221594773434782	0.28913177520107475	-0.028029822362648064	-0.29777150353757725	0.27056152923890064
sub-0057	ses-01	pain	10 L_FEF_ROI	0.11294744483125473	0.18275967025741863	-0.08666528179610837	0.05133524135815068	-0.14125483519516221	0.10463697170060444	-0.3665072463204929	-0.0037626285873035817	0.04643021064086557	0.1960581169077759	-0.2000954053032484	-0.020277852320205944	0.029879158991646417	-0.022918520335848624	-0.3078704782985278	-0.015387994512925572	0.07870013272551431	-0.11382682634096687	-0.3732415717680706	0.17770135973053852
