onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
3.39	0.99	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l026.png
45.99	0.99	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h018.png
80.7	0.98	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l045.png
110.29	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l022.png
143.79	0.99	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h035.png
171.3	0.98	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h042.png
201.09	0.99	cue	7	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h004.png
234.79	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l051.png
265.08	1.0	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l048.png
295.5	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l050.png
337.89	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h016.png
362.59	0.99	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h039.png
6.1	2.14	expectrating	1	low_cue	n/a	32.74	Strong	32.74	Strong	0.22	1.92	l026.png
49.1	2.39	expectrating	2	high_cue	n/a	71.93	Very Strong	71.93	Very Strong	0.4	1.99	h018.png
83.8		expectrating	3	low_cue	n/a			5.15	Weak	1.15	3.48	l045.png
111.81	3.5	expectrating	4	low_cue	n/a	28.0	Moderate	28.0	Moderate	0.07	3.43	l022.png
146.89	2.07	expectrating	5	high_cue	n/a	87.7	Very Strong	87.7	Very Strong	0.1	1.97	h035.png
173.3	2.62	expectrating	6	high_cue	n/a	63.64	Strong	63.64	Strong	0.85	1.77	h042.png
203.09		expectrating	7	high_cue	n/a			100.9	Strongest sensation of any kind	0.17	1.88	h004.png
237.29	2.77	expectrating	8	low_cue	n/a	18.43	Moderate	18.43	Moderate	0.12	2.65	l051.png
268.2	3.23	expectrating	9	low_cue	n/a	27.7	Moderate	27.7	Moderate	0.07	3.16	l048.png
297.4	1.88	expectrating	10	low_cue	n/a	1.61	Barely detectable	1.61	Barely detectable	0.17	1.72	l050.png
340.6	2.95	expectrating	11	high_cue	n/a	87.23	Very Strong	87.23	Very Strong	0.5	2.45	h016.png
364.8	2.44	expectrating	12	high_cue	n/a	56.76	Strong	56.76	Strong	0.6	1.84	h039.png
18.48	7.01	stimulus	1	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aaaff_H.mp4
59.58	7.01	stimulus	2	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh123t2aaaff_M.mp4
90.28	7.01	stimulus	3	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	aa048t2aaunaff_L.mp4
118.58	7.02	stimulus	4	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aaunaff_L.mp4
156.58	7.01	stimulus	5	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh123t1aaunaff_L.mp4
179.78	7.01	stimulus	6	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aeaff_M.mp4
216.08	7.0	stimulus	7	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t2aeunaff_L.mp4
251.28	7.02	stimulus	8	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg066t1aaaff_H.mp4
279.88	7.01	stimulus	9	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	dr052t2aaaff_M.mp4
311.08	7.0	stimulus	10	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	th108t2aaunaff_M.mp4
347.98	7.0	stimulus	11	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	tv095t1afaff_H.mp4
378.48	7.01	stimulus	12	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	aa048t2aeaff_H.mp4
32.6	3.17	outcomerating	1	low_cue	high_stim	26.88	Moderate	26.88	Moderate	0.5	2.67	task-vicarious_scale.png
76.0	3.07	outcomerating	2	high_cue	med_stim	21.12	Moderate	21.12	Moderate	0.78	2.28	task-vicarious_scale.png
97.81		outcomerating	3	low_cue	low_stim					2.23	0.68	task-vicarious_scale.png
134.7	2.58	outcomerating	4	low_cue	low_stim	24.34	Moderate	24.34	Moderate	0.73	1.85	task-vicarious_scale.png
166.6	2.57	outcomerating	5	high_cue	low_stim	9.01	Weak	9.01	Weak	0.8	1.77	task-vicarious_scale.png
189.61	3.02	outcomerating	6	high_cue	med_stim	12.53	Moderate	12.53	Moderate	1.53	1.49	task-vicarious_scale.png
226.7	2.59	outcomerating	7	high_cue	low_stim	43.64	Strong	43.64	Strong	0.13	2.46	task-vicarious_scale.png
260.4	2.6	outcomerating	8	low_cue	high_stim	47.94	Strong	47.94	Strong	0.63	1.97	task-vicarious_scale.png
289.99	3.3	outcomerating	9	low_cue	med_stim	32.03	Strong	32.03	Strong	0.1	3.2	task-vicarious_scale.png
321.71	2.59	outcomerating	10	low_cue	med_stim	6.72	Weak	6.72	Weak	0.08	2.51	task-vicarious_scale.png
355.5	3.35	outcomerating	11	high_cue	high_stim	90.69	Very Strong	90.69	Very Strong	0.55	2.8	task-vicarious_scale.png
394.6	3.92	outcomerating	12	high_cue	high_stim	26.87	Moderate	26.87	Moderate	0.43	3.49	task-vicarious_scale.png
