onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
7.88	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h008.png	n/a	n/a	n/a
37.6	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l011.png	n/a	n/a	n/a
66.69	0.99	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h024.png	n/a	n/a	n/a
95.48	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l038.png	n/a	n/a	n/a
125.9	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h047.png	n/a	n/a	n/a
151.99	0.99	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l016.png	n/a	n/a	n/a
187.48	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l042.png	n/a	n/a	n/a
223.38	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l009.png	n/a	n/a	n/a
259.3	0.98	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h025.png	n/a	n/a	n/a
291.69	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l043.png	n/a	n/a	n/a
328.69	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h028.png	n/a	n/a	n/a
369.59	0.99	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h021.png	n/a	n/a	n/a
10.1	2.16	expectrating	1	high_cue	n/a	66.37	Very Strong	66.37	Very Strong	0.05	2.11	h008.png	n/a	n/a	n/a
40.0	1.93	expectrating	2	low_cue	n/a	19.09	Moderate	19.09	Moderate	0.83	1.1	l011.png	n/a	n/a	n/a
68.89	1.52	expectrating	3	high_cue	n/a	58.48	Strong	58.48	Strong	0.42	1.1	h024.png	n/a	n/a	n/a
98.99	1.67	expectrating	4	low_cue	n/a	25.38	Moderate	25.38	Moderate	0.4	1.27	l038.png	n/a	n/a	n/a
127.6	2.25	expectrating	5	high_cue	n/a	65.52	Very Strong	65.52	Very Strong	0.83	1.42	h047.png	n/a	n/a	n/a
155.49	1.57	expectrating	6	low_cue	n/a	16.93	Moderate	16.93	Moderate	0.27	1.3	l016.png	n/a	n/a	n/a
189.69	1.06	expectrating	7	low_cue	n/a	35.31	Strong	35.31	Strong	0.18	0.87	l042.png	n/a	n/a	n/a
225.6	3.11	expectrating	8	low_cue	n/a	9.69	Weak	9.69	Weak	0.13	2.98	l009.png	n/a	n/a	n/a
262.8	2.18	expectrating	9	high_cue	n/a	61.89	Strong	61.89	Strong	0.92	1.27	h025.png	n/a	n/a	n/a
294.09	1.32	expectrating	10	low_cue	n/a	11.67	Moderate	11.67	Moderate	0.12	1.2	l043.png	n/a	n/a	n/a
