sub	ses	task	run	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
0001	01	social	01	7.686702849389416e-4	0.019211830800542742	1	37.161894581371406	1.2310718599660584	1.0020725736252574	0.46496013526563673	5806.962890625	0.07262495594011352	0	0	1.8024342491017356	1.7120295046365814	1.9309806812345602	1.7642925614340648	0.00460647	-0.01763242296874523	0.02472749911248684	1474	82	82	56	7.91493871328434	0.46000000834465027	2.682926893234253	2.682926893234253	2.700000047683716	27.40584665737568	38.983690708561944	169.68438720703125	45.32191467285156	268776	16.0744571685791	806.3448333740234	320.1795654296875	3.007285473078441	385.62950636158314	3485.276123046875	3474.409423828125	51930	2838.83935546875	4192.050439453125	438.96435546875	45.46092616394162
0001	01	social	02	0.0029817403127124402	0.019985004690686606	4	37.01284137127204	1.2529920473809504	1.0566050019863944	0.4664447270750432	5638.85302734375	0.07595540947102326	0	0	1.8000425342221025	1.7159356863616324	1.924562317751222	1.759629598553453	0.00644461	-0.01789618656039238	0.02452448382973671	1471	82	82	56	7.947165646374712	0.46000000834465027	2.682926893234253	2.682926893234253	2.700000047683716	27.041243474981933	39.52379812018839	171.77505493164062	45.86267852783203	268758	16.095172882080078	812.550567626953	321.3094177246094	3.0079518568697026	385.75782239831653	3483.58154296875	3475.260498046875	51946	2837.7052612304688	4185.458984375	437.2913818359375	44.073482488282025
0001	01	social	03	7.766304347826087e-4	0.03192247989130435	2	37.39226991512575	1.1825490592658048	0.9909787520394294	0.469086046679338	5282.18994140625	0.1323347175343031	12	0.8152173913043478	1.8373970911608533	1.7611214125570482	1.9773032255846903	1.7737666353408208	0.0143411	-0.017388252541422844	0.024342870339751244	1472	82	82	56	7.928011249975523	0.46000000834465027	2.682926893234253	2.682926893234253	2.700000047683716	26.174987278408146	42.897765316186785	176.68826293945312	47.82065200805664	268335	15.447690963745117	822.548999023437	325.6737060546875	3.3295990669181785	380.93411671840573	3469.6494140625	3458.5810546875	52270	2821.6784545898436	4167.747021484375	436.24407958984375	33.60685828886926
0001	01	alignvideo	01	9.141363211951449e-4	0.018657991036414565	2	36.99504842301873	1.236009779196262	1.0145503224112145	0.4654594616234752	5569.5205078125	0.0655438514574198	0	0	1.791392899093965	1.7046532320851726	1.918129045177331	1.7513964200193914	0.00427313	-0.016325850039720535	0.02658589743077755	1071	82	82	56	7.997848255689646	0.46000000834465027	2.682926893234253	2.682926893234253	2.6999998092651367	24.590734388796914	40.06348418375698	171.13706970214844	46.17927169799805	269089	16.341176223754886	808.0371582031248	317.8945007324219	3.036443561053985	381.6504423508331	3489.94091796875	3478.9033203125	51750	2849.130859375	4183.601000976562	434.9757080078125	45.54377677710727
0001	01	alignvideo	02	4.8340579710144936e-4	0.024671089855072464	3	37.193668938092806	1.2138729661928946	0.990222935612763	0.4673593685106295	5479.83984375	0.07802252608034	0	0	1.8060298915344106	1.7225366862042524	1.9236528632274508	1.771900125171529	0.0073805	-0.016354599967598915	0.026729019358754158	1380	82	82	56	7.977376673853217	0.46000000834465027	2.682926893234253	2.682926893234253	2.6999998092651367	23.176956642563198	41.30336729822287	175.1659698486328	46.813045501708984	268963	16.05876922607422	823.8565612792966	323.81890869140625	2.9305963075617303	384.8876623071819	3490.784912109375	3478.545654296875	51861	2852.595703125	4191.2734375	436.047119140625	38.983798248227686
0001	01	alignvideo	03	3.856410256410256e-4	0.02357087544378698	2	36.78773407214216	1.185451020967423	0.9795318211253706	0.46813558191664556	5341.5029296875	0.08586476505592625	0	0	1.796034975204165	1.7055179593372831	1.9342979538827432	1.7482890123924686	0.00759116	-0.016888393089175224	0.02626233734190464	1014	82	82	56	7.980525312572965	0.46000000834465027	2.682926893234253	2.682926893234253	2.6999998092651367	22.817551661622243	43.67755049067023	179.16744995117188	48.039939880371094	269078	15.42011833190918	844.7464294433591	329.20550537109375	3.2469247576596274	383.7570695265417	3485.400146484375	3472.482421875	51752	2848.4521484375	4181.176098632813	435.1153259277344	40.53456385084428
0001	01	alignvideo	04	6.906166666666667e-4	0.018963320166666665	3	36.92051717613015	1.2266015356547124	1.008218783761469	0.46903383015150596	5194.59912109375	0.07727220761605944	0	0	1.7938980366170494	1.703523868475735	1.9058812272875234	1.7722890140878902	0.00595153	-0.016982531175017357	0.025236057117581367	1200	82	82	56	7.890991701491813	0.46000000834465027	2.682926893234253	2.682926893234253	2.6999998092651367	24.204665371422134	42.647050496485406	178.16375732421875	47.79792022705078	268882	15.849166870117188	844.3355865478505	329.0474853515625	3.1296923797737293	383.13594027679676	3476.30078125	3464.19775390625	51902	2836.305700683594	4177.335498046875	439.0024108886719	44.22354589164024
0001	02	narratives	01	4.277516059957174e-4	0.019207826659528904	3	38.911896512497336	1.2462739912647385	0.9964611751661302	0.4633998372381331	5947.1298828125	0.08384177267749846	0	0	1.8269590746064737	1.745146322028833	1.9465420444999122	1.7891888572906764	0.0043363	-0.018680894747376442	0.025393502786755562	934	82	82	56	7.6081247720815055	0.46000000834465027	2.682926893234253	2.682926893234253	2.700000047683716	32.0341106616389	38.652423472068186	164.3595428466797	44.1873664855957	268794	15.061027526855469	777.9724151611324	310.63519287109375	2.8264070047130954	395.52160500160744	3448.993896484375	3432.481201171875	51952	2795.834326171875	4193.426708984375	451.1556091308594	44.47617617115611
0001	02	narratives	03	2.7244410177332305e-4	0.01661771310717039	1	37.56918869772377	1.2287599473996906	1.0017684887885796	0.4646257635532879	5606.3203125	0.07918027681668786	0	0	1.8230309007234455	1.7389068676321386	1.9482006808240036	1.7819851537141949	0.00927907	-0.01840461976826191	0.023160073906183243	1297	82	82	56	7.489407260433804	0.46000000834465027	2.682926893234253	2.682926893234253	2.700000047683716	34.388011399848146	39.91366242903697	167.17921447753906	45.381649017333984	268834	15.410678100585939	793.4035430908187	313.8941650390625	2.6708030429395926	398.6448064767968	3443.392333984375	3427.218994140625	51857	2774.119140625	4207.289355468749	457.60443115234375	46.816271792398766
0001	02	narratives	04	1.741110147441457e-4	0.01530392766695577	3	38.071787291059096	1.2468566332725692	1.0004332556249993	0.4678208262649007	5215.94091796875	0.08171026573337067	0	0	1.8144507505098215	1.7307217769181955	1.9429601354944022	1.7696703391168676	0.00553188	-0.01943708024919033	0.022755606099963188	1153	82	82	56	7.496388675472847	0.46000000834465027	2.682926893234253	2.682926893234253	2.700000047683716	32.330459246715364	42.36281729738959	173.89920043945312	47.06071090698242	268691	15.311362266540527	828.4427490234375	322.6011657714844	2.990760270722837	396.53691242907524	3440.422607421875	3422.92822265625	51934	2775.809680175781	4198.439770507813	456.60589599609375	49.44999363971874
