singletrial_fname,NPS,NPSpos,NPSneg,vermis,rIns,rV1,rThal,lIns,rdpIns,rS2_Op,dACC,rLOC,lLOC,rpLOC,pgACC,lSTS,rIPL,PCC
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-000_cuetype-low.nii.gz,-24.5201017414982,-0.34711554026783803,-5.76449993786377,0.37561753100420103,0.00419120601367887,5.681137302042121,3.76231895064825,1.7223625491939198,2.4222870115779,-2.3678929812797795,-11.9471371094681,-2.65618116373004,0.28918702113851197,-4.78017720121107,0.910419032329572,1.8320920827653,-3.32590396956633,1.96606426041028
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-001_cuetype-low.nii.gz,16.3966553738809,10.267996876079401,-3.36298419588686,0.589546120731891,-1.3259718948277,1.6275843917015,2.1403715460455,1.1983562878041,0.7644764738670409,1.66530685330789,3.60832709744919,-0.556120693126921,-0.209030254840724,-1.90328712577614,-0.0702006508053579,0.717274026936319,-0.419089670015645,-0.9225298282583871
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-002_cuetype-low.nii.gz,12.352313164601801,18.1563393510106,-9.909630622198211,0.326067559215105,4.23842086078603,1.64447964636805,1.24724093105235,1.64913722509682,1.3572566068840302,1.09759538289353,6.596141138714679,-1.67142124895989,-1.09937694905527,-1.71412700249681,-0.161089364548913,-0.610597653619864,-2.34842531617867,-2.3045930873388
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-003_cuetype-low.nii.gz,-18.7074055748128,-4.858668808817081,-3.9684011040229703,-0.8416029081841729,-4.34113695331156,0.184104472322683,0.265801280355142,-0.7064672100816409,-1.5914946516982702,-0.292609431909456,2.4647365936902,-1.0946263452654998,-1.3334824401153897,0.115799358924121,0.15834178209647198,-1.9899184669237,-0.283310453276297,0.458795460537325
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-004_cuetype-high.nii.gz,30.5999201410884,29.4082852336027,-13.116580043641,-0.336712382769116,11.573093738580999,3.93974257350004,0.45711951241682297,1.9191494077159,0.33216746390062896,2.46211968854063,9.06160523171682,-1.3808093830926398,-1.37942912348294,-4.04794633886218,-0.49199185539486,-0.9630348900225091,-2.88723444451907,-1.9661340082668
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-005_cuetype-high.nii.gz,3.21556698301612,6.137792656450241,-4.06849195506165,0.253828575272223,1.4010297311018203,1.28053480725477,0.438580477535088,0.262815238343518,0.139546991209682,0.439771930903921,1.92168490482922,0.18949166792517896,-0.499893801717486,-0.847268240197775,-0.648061467814385,0.0314167399979075,-1.21367863184378,-1.08049822141131
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-006_cuetype-high.nii.gz,-17.839276056292,-24.4586540831762,13.4105764951408,-0.606924939444441,-7.6575159195132505,-0.5715043452936209,-1.34793988108202,2.15507463179045,-1.03624086964423,-1.68046411544552,-13.7131386445436,3.263700013729,0.9105479965935741,2.15504416030193,1.2600176447691498,3.44477691068261,0.520993925731683,1.8554958433328799
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-007_cuetype-high.nii.gz,-14.547600823661801,-23.005989530018102,11.926345088097598,-0.339478452250347,-4.81539825906997,-2.3209489954128797,-0.982429046764313,-1.24867523730424,0.142129712805979,-1.7122261640799201,-11.7289630879424,1.5442780016153201,1.5751673692208301,2.70183250022979,1.0095186413765,2.70530698504677,0.870960894468991,1.5192806961393401
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-008_cuetype-high.nii.gz,20.3568821131563,12.6542592220927,-4.56124742032153,0.132316198439341,2.66555948515583,2.13166857794381,-0.43956572241711,1.37306372706192,0.13464401266221,1.37889618397057,5.27767675927608,-1.21534517685379,-0.7421963833193141,-1.17364731467689,-0.0513558696046671,1.01380032347369,-1.55641552393286,-0.8360874754076929
sub-0002_ses-03_run-02_runtype-pain_event-cue_trial-009_cuetype-high.nii.gz,-13.9078205188206,-5.033252235148111,-1.0719758573045501,0.008244630795377279,-3.3979904563988104,0.7017529027174979,-0.229082064714373,0.496240750173349,-1.06903656679403,0.763935400461573,-2.3073168313887003,-0.5783886487658011,-1.62993077222716,-0.215016620147253,-0.267932827523344,0.0157725316578247,0.541910300348589,1.0616101793526
