ptb_coord_x,ptb_coord_y
474.40625,541.8125
467.734375,578.80859375
464.62890625,599.76953125
465.4140625,581.05078125
469.38671875,570.15234375
481.71484375,538.0078125
469.59375,592.34375
474.12890625,568.22265625
460.36328125,566.17578125
471.0078125,594.9375
590.9375,612.9453125
476.56640625,597.6484375
466.2890625,558.63671875
472.01171875,567.796875
470.125,592.484375
483.796875,582.484375
452.72265625,580.06640625
462.34375,608.796875
456.2578125,569.79296875
487.01171875,542.984375
463.66015625,590.03125
462.2890625,576.53515625
489.9140625,541.09765625
459.47265625,555.67578125
486.35546875,557.41796875
488.984375,523.59375
468.98046875,578.65234375
476.1796875,575.9609375
502.03515625,520.01171875
471.9765625,550.7890625
460.2734375,598.20703125
461.25390625,609.28515625
460.90625,600.42578125
465.890625,611.84765625
473.25390625,560.75390625
465.31640625,561.67578125
