ptb_coord_x,ptb_coord_y
676.59765625,588.1484375
459.04296875,567.93359375
607.81640625,587.76171875
490.8046875,502.87890625
698.078125,586.65625
477.2578125,563.0078125
455.0859375,597.26171875
461.58984375,537.80078125
713.0078125,615
470.296875,542.47265625
597.10546875,587.89453125
453.90234375,576.8203125
471.8515625,516.93359375
487.7890625,575.32421875
455.40625,562.22265625
484.59765625,541.99609375
458.8515625,580.5
497.54296875,542.95703125
474.25390625,558.01953125
469.7578125,573.453125
468.9921875,535.15625
493.48828125,513.44921875
487.37109375,544.43359375
487.640625,545.171875
470.4375,570.09375
454.40234375,583.6953125
486.76953125,549.78515625
461.45703125,604.39453125
465.00390625,600.58984375
469.38671875,581.296875
457.26171875,561.37890625
504.5625,541.30859375
462.8046875,607.484375
459.28125,600.87109375
463.453125,589.60546875
467.90234375,579.7265625
