ptb_coord_x,ptb_coord_y
460.7734375,615
459.546875,610.6328125
470.85546875,574.62890625
607.25,602.97265625
514.734375,469.46875
471.140625,615
464.765625,615
658.015625,615
618.94921875,615
459.765625,615
452.0859375,613.95703125
453.74609375,615
523.93359375,461.20703125
507.78125,489.1953125
471.10546875,580.4609375
472.67578125,535.0078125
491.0390625,510.55078125
465.640625,615
456.39453125,615
459.9609375,612.28515625
470.6875,574.24609375
462.44921875,591.1015625
452.93359375,608.0546875
457.8515625,610.2890625
457.90234375,614.6484375
461.78515625,566.2734375
472.43359375,554.9375
459.4375,615
663.9140625,605.234375
707.4140625,563.82421875
465.94921875,600.078125
489.05078125,522.85546875
572.51953125,585.69140625
465.48046875,597.21484375
504.984375,474.046875
466.46484375,604.65234375
