onset01_cue	onset02_ratingexpect	onset03_stim	onset04_ratingoutcome	pmod_cuetype	pmod_stimtype	pmod_expectRT	pmod_expectangle	pmod_outcomeRT	pmod_outcomeangle	cue_con	stim_lin	stim_quad	pmod_expectangle_demean	pmod_outcomeangle_demean
7.899100065231323	10.116590023040771	20.80391001701355	33.00846004486084	high_cue	low_stim	0.920433521270752	77.4711922908485	1.28398370742798	47.2906100426385	1	-1	1	22.34278749227014	-16.986542004595982
37.593510150909424	39.99440002441406	47.397160053253174	57.500930070877075	low_cue	med_stim	2.39261245727539	26.3600582073531	1.00271558761597	58.9182701696221	-1	0	-2	-28.768346591225267	-5.358881877612383
66.68769001960754	68.90517997741699	81.89336013793945	90.39653015136719	high_cue	low_stim	1.05065870285034	93.1529370077753	2.09050011634827	13.5316948511641	1	-1	1	38.02453220919693	-50.745457196070376
95.49843001365662	98.99974012374878	107.60295009613037	120.79120016098022	low_cue	med_stim	2.85390067100525	36.404088563079	1.58402824401855	70.6881434356473	-1	0	-2	-18.724316235499366	6.410991388412825
125.89310002326965	127.59372997283936	134.19620013237	147.40112018585205	high_cue	high_stim	2.40996408462524	76.5756299449677	2.0192813873291	109.824995079131	1	1	1	21.447225146389336	45.54784303189652
152.00284004211426	155.5041401386261	169.69277000427246	181.89732003211975	low_cue	low_stim	1.65072965621948	25.6326524522238	2.12305808067322	38.480198248343	-1	-1	1	-29.495752346354564	-25.79695379889148
187.4994101524353	189.70023012161255	203.9055299758911	217.19381999969482	low_cue	high_stim	2.00345253944397	5.77948582515591	1.25992774963379	13.4684148883111	-1	1	1	-49.34891897342246	-50.80873715892338
223.39613008499146	225.5969500541687	232.19940996170044	245.50436997413635	low_cue	low_stim	1.07342433929443	14.2607115830266	2.56771326065063	12.7934514599956	-1	-1	1	-40.86769321555177	-51.48370058723888
259.2928500175476	262.810830116272	271.39736008644104	281.50113010406494	high_cue	high_stim	1.16724181175232	90.7073193685442	2.45254802703857	108.581111208701	1	1	1	35.57891456996584	44.30395916146652
291.6882600784302	294.08915996551514	301.6919901371002	310.19516015052795	low_cue	high_stim	1.00054788589478	17.9986949730216	2.52519226074219	132.207297634287	-1	1	1	-37.129709825556766	67.93014558705251
328.7020699977875	331.1029601097107	346.79215002059937	359.797000169754	high_cue	med_stim	1.58416342735291	91.6365770416167	1.30673384666443	26.7711502144621	1	0	-2	36.50817224303834	-37.506001832772384
369.6006500720978	371.60140013694763	384.5895700454712	394.79338002204895	high_cue	med_stim	1.26901435852051	105.561510325328	1.47699427604675	138.770487334511	1	0	-2	50.433105526749635	74.49333528727651
