onset01_cue	onset02_ratingexpect	onset03_stim	onset04_ratingoutcome	pmod_cuetype	pmod_stimtype	pmod_expectRT	pmod_expectangle	pmod_outcomeRT	pmod_outcomeangle	cue_con	stim_lin	stim_quad	pmod_expectangle_demean	pmod_outcomeangle_demean
14.188110113143921	16.005470037460327	26.692830085754395	37.69699001312256	low_cue	low_stim	2.7218906879425	45.1623105559367	2.71781468391418	6.03325300620071	-1	-1	1	14.6265513751141	-15.806842550093016
43.78261995315552	46.80042004585266	57.48779010772705	69.29225015640259	low_cue	med_stim	2.56778955459595	11.1291892896112	2.9019672870636	3.93722516482409	-1	0	-2	-19.406569891211397	-17.902870391469634
77.79544997215271	80.79659008979797	87.5991599559784	97.38618016242981	high_cue	med_stim	1.8843195438385	19.529639414775	4.0		1	0	-2	-11.006119766047597	0.0
110.49113011360168	112.39184999465942	125.89695000648499	136.10080003738403	low_cue	high_stim	1.81923151016235	15.59796158466	3.73487687110901	29.0546040990771	-1	1	1	-14.937797596162598	7.214508542783374
150.68964004516602	152.39028000831604	160.89349007606506	173.79836010932922	high_cue	med_stim	3.10443162918091	47.7571566326561	4.0		1	0	-2	17.2213974518335	0.0
178.6835401058197	181.78470993041992	189.9878101348877	200.0916199684143	low_cue	high_stim	1.96009278297424	33.3710520057529	2.80333614349365	26.3600582073531	-1	1	1	2.8352928249303027	4.519962651059373
205.393630027771	208.39476013183594	219.69903016090393	232.5872299671173	low_cue	low_stim	1.7508533000946	19.2357271422572	2.89115929603577	14.7083038996827	-1	-1	1	-11.300032038565398	-7.131791656611025
237.48907995224	239.1897201538086	245.992290019989	257.8967800140381	high_cue	high_stim	1.72200965881348	47.4470486423236	3.10133361816406	33.0238675557966	1	1	1	16.911289461501003	11.183771999502873
265.7830901145935	268.7842299938202	276.98731994628906	287.9914801120758	high_cue	high_stim	3.09451103210449	48.5967170776285	3.55389547348022	30.7246934707906	1	1	1	18.0609578968059	8.884597914496876
296.69477009773254	299.4958200454712	316.08542013168335	326.98954010009766	high_cue	low_stim	2.03428506851196	23.1376375797135	2.17266249656677	23.5899901707433	1	-1	1	-7.3981216011091	1.7498946144495733
332.69168996810913	335.59279012680054	346.4969000816345	358.48476004600525	high_cue	low_stim	1.5527081489563	36.3044971225752	2.91792559623718	25.1278241807561	1	-1	1	5.768737941752601	3.2877286244623747
365.28733015060425	367.188050031662	380.7931900024414	394.49836015701294	low_cue	med_stim	3.22431421279907	19.1601731219813	2.60126137733459	25.8411358077129	-1	0	-2	-11.3755860588413	4.001040251419173
