,Unnamed: 0,sub,ses,run,runtype,ROI,ROIindex,condition,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42
664,,sub-0091,ses-03,run-04,pain,rINS,226,cueH_stimH,11.8712333853932,21.0712275474643,17.1194011537077,2.88797570444149,9.15908188260073,19.498628230201604,8.59809024401648,20.156430380073303,49.048011988115796,37.3010440181943,31.4846710053844,62.309897743581104,67.6280990268879,72.56820946516521,51.75864720651771,8.32825576135883,41.249721378364,65.9372761026307,82.42157903298309,92.9948538283857,89.549690590075,76.60762702403329,99.20854980066359,107.186802143097,120.13547301885401,121.796651857978,137.49776958608498,91.37312068562191,82.0311830833125,53.183942126826,43.7531370502184,47.5882186116473,44.1151146625739,37.593093037477004,31.525492325605697,25.1897392756441,23.064378448189,50.220369071530506,37.263485771834,6.916241569439991,22.7153768522112,11.845712014438
665,,sub-0091,ses-03,run-04,pain,rINS,226,cueL_stimH,28.9544898093939,40.53240240132661,33.8524341645279,46.711059688709604,48.583311430043494,34.695140501697104,0.474714960766505,-4.36138129426445,-18.421815286687398,17.2484103479214,43.6760283838262,23.9323212344671,17.8974864485713,36.1309590948313,43.2304103847132,46.6725839132882,38.9885385341531,54.7816049341629,88.9537345918718,47.1274958284929,35.767352071812,18.388440257369197,33.603655032184896,46.9410805309657,56.674240369779206,64.0649124966817,48.013199638896104,69.6332998932885,72.76782537541091,88.2773467613285,60.807434297884996,36.6592875698111,44.2617490739456,6.62645608967068,20.087418911911303,-35.1912943381972,-30.0378284797202,-53.4480978845049,-57.202004414936106,-41.1084843001208,-46.17811946348411,-65.3439320889553
666,,sub-0091,ses-03,run-04,pain,rINS,226,cueH_stimM,37.3884000827128,-13.5274729179741,-15.4014916004621,-18.072382596273002,17.538155364713,15.2061674336062,4.616595007599019,28.029539952539896,32.070431657625,26.009963432778896,-6.62823287533229,24.9507327265617,60.3197610366897,76.7613797391457,66.9733898126542,65.5772245892118,79.5250358145672,96.12049438105,92.2283441991013,69.1045901944196,78.4893092859616,86.120102189923,70.50220768535,63.878054711696905,70.1508166635638,41.725214333309495,6.35335636736943,1.6613348814723798,-11.0088514002414,-21.051760849453302,-3.11012837714156,-13.616383441278698,-27.4796723679349,-18.4434287646005,-30.179222073201103,12.5526814233017,22.6001512049027,22.3393309973221,-24.931720391324703,-36.3616965785341,-24.3117501087922,-13.6614533448844
667,,sub-0091,ses-03,run-04,pain,rINS,226,cueL_stimM,26.218786304491896,15.975984070371402,23.613408627775197,17.4295204592916,43.514216125016404,33.0325988007771,46.07919856029961,53.2387219202681,53.9792687036158,42.2543138021042,56.8351550637944,43.3376176285137,68.2945478037501,70.4242781056114,63.460750110756905,53.6429834762305,75.0067655278511,77.36193249771691,80.0863968039375,55.3323582932484,64.3865262768178,27.5967136763913,33.512286024739105,30.9194952096269,46.5209011278936,47.6237945463693,50.51600189177321,65.3095354590916,86.3352010397898,76.383923555473,60.862683286846504,67.9390049505934,26.487692612747697,79.4912102947321,60.5762359807728,86.25087036785749,66.9155628844298,55.401000931862704,39.724457069329205,51.075654490091104,18.945363919783897,35.9712818672938
668,,sub-0091,ses-03,run-04,pain,rINS,226,cueH_stimL,64.6999379855793,44.842665974499596,69.14141186369079,79.2926141176163,30.407213839856897,25.397717801141898,38.938697404004,36.1922458025247,50.881339399694795,61.97304599205971,61.60417604466829,78.74851234753442,51.5581069026407,45.7152314657533,45.8784064711326,35.6844678304042,75.6446707456462,79.1310112568076,75.0305141611343,88.459734291609,99.5765004180312,82.9069325457649,115.52210881251101,83.19260434908891,51.8672094483331,87.07312084678641,105.532124966896,75.7467442661309,53.59565771345329,68.08258801222681,42.1217870101304,13.5782180316799,-2.77664885198078,7.70246842160259,-3.22045697837018,-7.751022011514809,-10.7514264674674,-29.291786888892002,-19.0131370753215,-37.7801280886289,-27.7377484642943,-26.2584653117943
669,,sub-0091,ses-03,run-04,pain,rINS,226,cueL_stimL,-47.7650071432872,-45.234501282439396,-35.5786739417415,-50.274841721293605,-38.9372404315101,-44.42639345839189,-33.5895520764846,-2.1371202851326,-36.8124642792785,-9.31455707475232,-15.0610136821049,32.7610789778744,-4.9997889831315705,-13.981917542548802,1.8859745049111298,11.7937956396082,49.54982996808349,28.0224072935746,34.3184920837971,30.4723821600179,83.79367696924709,97.7034370297056,118.934529476905,95.5357344365959,89.2108075046115,92.2365904163896,57.0424612028471,87.3089770806999,87.1005071268426,50.461329566100595,57.934008596553,63.228224882214406,35.8282271767134,28.144493871419503,30.2619704092135,3.75596580755871,19.6586940472948,-0.288888444878353,11.5568890949435,-9.936288177163311,-11.3648134396688,-25.9859047193818
670,,sub-0091,ses-03,run-04,pain,rINS,226,rating,-17.8503112592892,-23.4386233503025,-22.9933356808598,-26.1930319045117,-23.7792465000735,-10.5348920156146,-15.7631791803809,-3.97933470742673,-5.59999217373945,-2.6139833619474198,-4.64798358660404,0.8739790783840251,2.69552966624587,8.45508152621937,2.9627384678777795,8.166634332619651,7.28423946916269,10.053022916886698,12.133543886824802,16.030404314481498,16.6128643287689,8.77729338861513,6.871166808496809,-7.60616742057118,4.95733730876714,-17.437800278570197,-14.540903499279699,-21.2016311386078,-14.1039044633196,-24.8081175418931,-24.100273952867198,-16.3451625506184,-22.6570267383115,-12.5846023553491,-24.582864895791303,-21.825999187247803,-26.678577658681697,-17.4745726688611,-18.221364870939997,-8.79400923976505,7.0435853024567905,3.46164610227424
671,,sub-0091,ses-03,run-04,pain,rINS,226,cue,-19.2802438639931,-19.9595523430169,-26.890441273983196,-22.635730884869105,-10.983639974818098,-7.90651873193789,-3.05239675567748,5.396760610146531,10.857263773631498,14.472496118629198,13.648937294962401,19.3442670426995,8.42398635486691,18.710055552068397,10.6880384834978,24.1185570438723,13.4888855518788,17.3977002678076,15.2178176212237,23.0201238561266,6.5709910764184105,5.6203680208650395,-1.96724848857298,-3.44278483409119,0.22859161756650798,4.17147598013048,12.297466155250499,17.953707229095603,7.393387131242549,-1.6734557668866,27.3744077404078,8.84277742049881,10.3791046035742,11.8809979382077,21.786057917469602,29.7278929503832,16.8529963247664,22.9616060640905,24.3038009644071,27.605764821299,20.3718824522268,18.802704757232
672,,sub-0091,ses-03,run-05,vicarious,rINS,216,cueH_stimH,-24.2860912991878,28.2414125193909,-10.333173922989301,8.34614564025242,15.8765599250655,-7.643927902314321,-2.90466282798479,9.33571650547219,20.428938989795803,-3.67815526988397,-5.15093958702664,-0.247975937566935,-17.181528017172198,-7.2600105922274505,-7.67928031655038,-11.644556800542901,-22.8832049926546,-35.510787503618296,-32.320432527231304,-22.1883252844659,-38.770554851315396,-30.9721961026039,-37.1993605142711,-18.283492056935803,-38.1310694172289,-42.4778928997061,-26.4574025581674,-35.4347385626552,-41.0232994729508,-45.295459338947204,-18.333844861604103,-9.397349974661669,-27.7035454530483,-0.152625542016267,-2.0891121281051697,2.07636089642574,-14.727542628459599,-6.61487850233243,-6.47560982664436,0.43422883294988396,6.95982097055958,30.1819074965101
673,,sub-0091,ses-03,run-05,vicarious,rINS,216,cueL_stimH,8.08000181218995,-4.70996751234088,-33.086490841732505,-39.616557067940896,-43.0885682518979,-22.3989676369433,-23.8504131858717,-4.4761937820267095,-34.987128678907105,-15.822251072965601,-14.8025673094076,-16.3609395687013,10.8719179205809,21.0826048840645,11.509827249070401,-6.3099284327468,-9.00601424599245,-42.4427153173997,-10.4203229669183,-53.602942579597304,-61.718567088421004,-37.3816059411106,-28.4693618544993,-44.451175634270804,-27.7263075339565,-37.8525390176355,-13.6052645717532,-40.14663171517171,-51.081324261244795,-49.6628219046006,-31.192687999108802,-10.6095675297443,-1.36184032661322,-2.25722529325185,10.828701876818302,-0.0560651310452158,14.703195728057402,-1.29058616374141,8.36738989462947,0.312372682979912,-5.30492927519981,9.067807088838439
