onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
5.68	1.0	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h004.png	n/a	n/a	n/a
32.29	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l009.png	n/a	n/a	n/a
63.08	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l050.png	n/a	n/a	n/a
95.08	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h043.png	n/a	n/a	n/a
120.19	0.98	cue	5	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l005.png	n/a	n/a	n/a
159.89	0.99	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h037.png	n/a	n/a	n/a
219.29	0.98	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l025.png	n/a	n/a	n/a
252.49	0.99	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h028.png	n/a	n/a	n/a
283.88	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h042.png	n/a	n/a	n/a
311.89	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l051.png	n/a	n/a	n/a
341.29	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h036.png	n/a	n/a	n/a
371.58	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l031.png	n/a	n/a	n/a
8.3	1.5	expectrating	1	high_cue	n/a	73.17	Very Strong	73.17	Very Strong	0.43	1.07	h004.png	n/a	n/a	n/a
35.29	2.17	expectrating	2	low_cue	n/a	30.8	Strong	30.8	Strong	0.73	1.44	l009.png	n/a	n/a	n/a
65.48		expectrating	3	low_cue	n/a							l050.png	n/a	n/a	n/a
97.5	2.08	expectrating	4	high_cue	n/a	56.63	Strong	56.63	Strong	0.77	1.32	h043.png	n/a	n/a	n/a
123.19	2.06	expectrating	5	low_cue	n/a	23.8	Moderate	23.8	Moderate	1.08	0.97	l005.png	n/a	n/a	n/a
162.89	2.34	expectrating	6	high_cue	n/a	36.69	Strong	36.69	Strong	1.5	0.84	h037.png	n/a	n/a	n/a
221.49	1.69	expectrating	7	low_cue	n/a	37.47	Strong	37.47	Strong	0.67	1.02	l025.png	n/a	n/a	n/a
255.09	2.39	expectrating	8	high_cue	n/a	21.93	Moderate	21.93	Moderate	0.72	1.67	h028.png	n/a	n/a	n/a
285.78	2.95	expectrating	9	high_cue	n/a	43.86	Strong	43.86	Strong	0.82	2.13	h042.png	n/a	n/a	n/a
314.89	1.98	expectrating	10	low_cue	n/a	27.62	Moderate	27.62	Moderate	0.47	1.52	l051.png	n/a	n/a	n/a
343.19	2.57	expectrating	11	high_cue	n/a	53.68	Strong	53.68	Strong	0.97	1.61	h036.png	n/a	n/a	n/a
373.48	3.03	expectrating	12	low_cue	n/a	52.81	Strong	52.81	Strong	1.97	1.07	l031.png	n/a	n/a	n/a
14.9	6.99	stimulus	1	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	29_150.jpg	same	same	True
47.19	6.99	stimulus	2	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	27_150_R.jpg	diff	diff	True
72.09	7.0	stimulus	3	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	34_150_R.jpg	diff	diff	True
104.68	7.0	stimulus	4	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	43_150_R.jpg	diff	diff	True
140.4	6.99	stimulus	5	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	27_50_R.jpg	diff	diff	True
188.98	7.0	stimulus	6	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	17_50.jpg	same	same	True
230.5	6.99	stimulus	7	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	6_100_R.jpg	diff	diff	True
262.09	7.0	stimulus	8	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	4_100_R.jpg	diff	diff	True
293.39	7.0	stimulus	9	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	31_100.jpg	same	diff	False
322.48	7.0	stimulus	10	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	27_100_R.jpg	diff	diff	True
355.49	7.0	stimulus	11	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	27_50.jpg	same	diff	False
380.28	7.0	stimulus	12	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	8_50.jpg	same		False
23.88	1.57	outcomerating	1	high_cue	high_stim	43.86	Strong	43.86	Strong	0.65	0.92	task-cognitive_scale.png	n/a	n/a	n/a
58.48	2.97	outcomerating	2	low_cue	high_stim	35.37	Strong	35.37	Strong	0.98	1.98	task-cognitive_scale.png	n/a	n/a	n/a
81.89	1.95	outcomerating	3	low_cue	high_stim	41.3	Strong	41.3	Strong	0.63	1.32	task-cognitive_scale.png	n/a	n/a	n/a
115.59	1.51	outcomerating	4	high_cue	high_stim	12.03	Moderate	12.03	Moderate	0.6	0.91	task-cognitive_scale.png	n/a	n/a	n/a
148.98	3.32	outcomerating	5	low_cue	low_stim	5.59	Weak	5.59	Weak	1.05	2.27	task-cognitive_scale.png	n/a	n/a	n/a
