"task","subj","rand_intercept","rand_cue","rand_stimulus_linear","rand_stimulus_quad","rand_int_cue_stimlin","rand_int_cue_stimquad","fix_intercept","fix_cue","fix_stimulus_linear","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_stimquad"
"vicarious","29",-13.532483589694,4.13252808832302,-12.692842394681,2.52834376414305,8.53986276364515,-2.52913309955112,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","16",-12.6979452098737,1.86080341743713,-11.1800650331577,3.12749774267919,5.57074634165826,-2.68497359748199,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","19",-9.81854602212891,5.7270149661529,-5.30731553618995,-0.805500443070322,9.98462400080114,-0.921558229065654,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","30",-7.67119669906022,0.738728758752775,-7.74964895737537,2.40936449037376,2.7863326171551,-1.79577333738944,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","8",-6.63779465627514,2.29620154997131,-6.73086869461784,1.27428075961007,4.47446623232435,-1.23990828449854,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","9",-5.4640595238024,5.36273496421824,-0.28196788058336,-2.4076654910035,8.53364526756998,0.17127858907266,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","20",-3.8813693914587,2.78186833336974,-0.985017231259758,-0.942760392343707,4.70298151538878,-0.15347959148155,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","18",-3.36089461244395,1.5064034821764,0.428674738680745,-0.794568964623357,3.07402872065054,-0.176406803706018,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","23",-3.32959391438373,2.65327628948965,0.223260643645242,-1.2941966294455,4.47296426206968,0.0266946331521956,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","21",-3.11932482143959,0.459554772526644,-3.52512564066481,1.0248133226083,1.29444418382159,-0.73740500909146,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","6",-2.95346402463103,1.21127047062563,-5.65804403128783,1.35476434350385,1.96357649075775,-0.783218728782509,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","3",-2.95132669828954,4.6643769313789,-7.85962932832829,0.376938428021094,6.05030452528396,-0.344693731760235,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","98",0.527074734586526,-1.93575789453076,-1.32384459592072,1.38039609714198,-2.72552380275875,-0.423271953145796,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","2",1.41935388539228,-1.00903713892487,-0.888606548219483,0.754013364641624,-1.83318982163028,-0.0678410677473622,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","24",1.68418962750229,-1.62388139597066,1.88145096686475,0.133782496145523,-2.41639608901372,0.133175398724833,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","28",2.92266838633627,-4.4132859722337,3.13543526349968,1.06339273780629,-6.19514422605166,-0.0866246118827258,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
"vicarious","33",3.27239607746521,-1.21890919802032,-1.52898862854553,1.01909728639936,-2.79403424133022,0.107297703860686,3.8854182170642,-7.70171327252734,27.860221123823,-6.27371149085853,-6.326435572421,2.02056340694408
