ptb_coord_x,ptb_coord_y
487.26953125,544.80078125
474.24609375,594.19140625
472.81640625,612.40625
450.0078125,615
506.2421875,511.21875
479.76953125,570.71484375
511.51953125,504.5078125
476.88671875,597.91796875
464.4765625,615
505.21875,514.0703125
467.1796875,608.6875
455.7578125,609.83984375
476.1875,595.62890625
567.1953125,427.5
456.2578125,614.5
475.26953125,600.2109375
477.7265625,610.72265625
590.1484375,417.8046875
609.8359375,407.140625
481.54296875,601.1015625
468.21875,607.8671875
464.0234375,606.64453125
479.85546875,591.6484375
485.6015625,584.46484375
480.2109375,602.15625
527.81640625,484.390625
513.41796875,508.53125
483.9609375,615
465.13671875,615
468.11328125,609.91796875
512.9921875,506.75390625
474.37109375,610.12109375
461.2578125,615
463.8359375,615
617.9921875,404.1640625
485.27734375,612.87109375
