ptb_coord_x,ptb_coord_y
482.45703125,573.8515625
509.6953125,501.33203125
513.5625,504.91796875
467,615
508.0703125,508.59375
461.59375,606.88671875
480.24609375,615
475.09375,615
472.09375,570.34375
470.21875,598.3984375
478.21875,606.0234375
469.29296875,608.34765625
613.52734375,400.53125
514.16015625,491.4296875
508.34765625,507.921875
481.59765625,572.3125
612.87109375,403.5859375
474.26953125,599.8203125
477.6875,588.171875
450.14453125,615
482.75,578.46875
518.7578125,504.59375
481.40234375,596.08984375
481.17578125,596.01171875
473.71484375,608.17578125
513.04296875,498.10546875
509.03515625,514.95703125
467.5390625,615
524.03125,497.7421875
480.015625,543.57421875
486.4375,541.86328125
511.3203125,503.796875
468.078125,602.21484375
482.83984375,585.6796875
571.75,437.50390625
502.25,544.5078125
