ptb_coord_x,ptb_coord_y
720,615
674.87890625,585.80078125
515.69140625,508.1953125
482.56640625,578.67578125
488.171875,608.73046875
470.546875,586.71875
504.90234375,503.0390625
548.83984375,457.62890625
504.90234375,500.08984375
483.14453125,520.25
469.37890625,591.11328125
536.3984375,454.1171875
514.89453125,480.3671875
511.12109375,481.8046875
481.05078125,536.62890625
481.84375,572.734375
495.6875,503.28515625
537.71875,465.9609375
488.1015625,565.0078125
485.859375,574.54296875
504.16796875,501.9921875
494.46875,529.9140625
509.34765625,508.1796875
482.39453125,536.34765625
504.77734375,505.13671875
471.69921875,601.07421875
482.47265625,565.734375
505.296875,497.85546875
481.74609375,563.53125
483.6171875,534.64453125
500.83203125,500.92578125
499.40625,522.2265625
475.34375,600.91015625
489.90234375,572.9921875
505.07421875,506.234375
470,599.4609375
