sub,ses,run,runtype,signature,condition,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42
sub-0038,ses-04,run-04,pain,NPS,cueH_stimH,120.827867104645,163.662116214144,-191.867704497221,2.33111759476687,-22.1726129224164,187.073719792405,94.3587269094074,68.2105563375539,23.4441286377054,-62.5242650750557,-108.358929401921,-82.653834881563,-172.205669639402,42.8614621612584,164.285668580076,215.890794271791,263.705407099357,391.918752782248,663.344255780061,657.752934735833,548.80824331392,547.956145289648,684.036367368717,649.864718925025,707.857319273015,498.093313774026,522.287071133778,444.398747794679,475.452113682378,298.418689511319,272.079847084825,208.927214376714,-41.9380321444969,-24.4141107121898,-218.876208345349,-2.85525663191743,-279.942445807517,-145.277192396201,-290.363697435918,-48.022244149378,-108.071481995604,10.5468692297949
sub-0038,ses-04,run-04,pain,NPS,cueL_stimH,-138.436680148052,-249.425293788451,-471.853886505077,-284.690783781696,-454.971717978807,-442.384221874012,-356.313593472453,-378.162724213412,-263.805033009331,-289.085369696377,109.249964606276,-165.34735453628,-8.52133579138186,-47.8194292196269,156.656882309452,104.740242216038,397.731953944777,342.875739136409,487.565499357999,500.960795006476,617.408395715729,776.308386925224,446.157716893876,627.59565717466,446.658961757635,654.043882642496,476.835699237475,478.710896694145,508.99209402128,522.102735296839,291.459055711562,149.705270884492,-15.1292927979659,-34.1688878734065,-43.0281339669926,-322.070160430993,-202.633236283267,-309.685212127228,-210.604495344865,-179.62704841801,-218.081254647924,-198.42948987936
sub-0038,ses-04,run-04,pain,NPS,cueH_stimM,-118.393792099908,126.60153958068,-59.2637768559265,-105.034377351417,-155.085154422696,55.2207693428016,-7.13571340064647,89.4525287706971,6.44433957372854,-43.5878286994635,25.9557809867596,45.0778130252391,-146.766557021325,-182.192131536049,87.9952291345285,103.769229796624,123.859747506139,101.674455881813,169.827472604216,296.033407958805,246.528327431262,395.464906555575,316.082119641898,289.025765682755,302.837132913188,293.732066384529,445.584839790431,262.033527209547,370.777884403919,380.998715919336,468.142210124303,66.1068417911014,96.4198844020383,-162.638520491706,-111.859662831437,-439.961179459286,-346.448854830857,-524.101525730435,-556.482360348156,-460.007686966934,-489.914262314847,-342.686266429662
sub-0038,ses-04,run-04,pain,NPS,cueL_stimM,-311.30660343706,-194.760474391133,-456.225626768899,-431.61288522919,-476.977227969156,-450.37556187089,-654.854866301035,-512.731436891071,-578.311397032009,-309.226974206785,-327.792933003837,-251.052550729625,-82.0273547456084,-63.2546315158232,-6.11446865207691,56.6842170826874,-51.5381845205338,193.835767733685,119.709357470922,92.2430277228169,-69.4574884801798,127.710163280549,203.744476339476,191.491720528054,367.494415192036,34.0651515506505,362.305702417278,207.918714669517,353.114874068693,171.948174077281,165.461375217542,-86.4561329973216,-98.5298689159631,-233.071310133787,-345.719989583332,-429.670846824401,-531.12529602074,-512.061675578618,-378.624068074087,-485.877499855025,-458.73626336686,-380.694933070995
sub-0038,ses-04,run-04,pain,NPS,cueH_stimL,-314.780742319681,-344.162173761253,-396.057810869446,-115.049816974474,-374.793758005838,-345.324163833258,-269.640770962289,-187.037371126623,-119.337822429661,52.905429978084,-251.397233679497,-50.3335713751688,-57.182178605116,99.1685959849371,75.8713322342094,-24.7232917634983,216.681999521355,41.2729465694977,369.321417876092,408.87526938976,470.608943542292,579.259534023691,473.165902773848,659.051597230996,472.256675057333,765.224645809186,613.013794010393,766.902486214238,673.157537161553,570.873012472942,570.213922854869,477.464716077017,385.330508484988,173.751780308268,117.748794503742,127.004490134447,-19.3066214041553,-230.341750519805,-263.958197182524,-206.547727008803,-319.057885075449,-252.533326025927
sub-0038,ses-04,run-04,pain,NPS,cueL_stimL,28.542771717925,-65.2234393524418,83.8543533492166,49.7294976229365,-82.6065332587195,-59.2259798707569,82.2531942178189,154.709272750791,166.316309829764,0.385366731545844,91.4459925643454,251.483826414882,67.7040861448819,198.036531677825,153.156462089993,405.773880857449,295.393846014411,209.063644038023,186.73474788553,58.9768096137603,240.174731835129,-16.8364717134673,259.818271686805,180.303692649412,436.627505137326,380.875667960481,360.126938515942,301.258702705971,209.334372613061,459.622672382188,317.652936689324,173.231946244659,357.724725029415,204.813409085771,74.6852485918158,-93.5844506859845,-80.0475120061126,-213.599480248691,-261.951860140552,-100.977515850792,-234.014378793214,-107.996487310953
sub-0038,ses-04,run-04,pain,NPS,rating,20.7189063341389,-80.5356619462326,-76.6931269885745,-88.2124318311904,2.98017665955117,-19.8304133450733,33.2841720278214,-26.9094539663368,15.5961407528581,-10.6205862521241,40.1213932224586,-18.0528011122806,3.58286727140543,-4.67344768289036,53.7231016500909,-22.6474073893629,-25.6279508248078,-4.98717146068027,-12.1070239612338,26.2740527575321,27.3627769456123,19.976953333724,43.5785468177151,28.9276072882087,79.6474274322409,72.1705516353983,103.007863183019,111.935378071957,252.694302316024,192.484386915019,263.958000197711,265.689109279804,293.660102679422,231.050807102272,278.937617530512,246.496390372266,287.438945241845,338.319573918043,288.827181116993,243.667191368697,175.5634414092,157.944363768201
sub-0038,ses-04,run-04,pain,NPS,cueH,76.2811453860141,216.958568783314,191.977770832104,34.5695541908442,108.615375960302,76.8945385690013,31.2888699620588,74.0932168190962,52.0670811951038,87.1032891542507,90.7780753819487,64.5931740921708,90.4451653912936,129.731266477226,35.9970198569529,91.8822925489053,29.6942120159275,44.3852989524148,-25.331480909005,49.7181606696577,77.2355195088894,-40.2677739677042,43.9161615615026,5.9290208684053,91.7008042827661,107.943960504657,30.4814067368446,164.052992297842,286.642035338569,222.020652356269,264.188230276078,110.647022558188,137.243378791504,198.18456365303,86.8555285774214,59.9454541002098,-14.0683633048816,88.9986393194407,141.065737426448,44.1619609495046,145.478050582173,22.63622810392
sub-0038,ses-04,run-04,pain,NPS,cueL,-205.911178602574,-120.344737366294,-183.623838851651,-185.530416202474,-130.959576591024,-253.354693050229,-147.591405754123,-160.487972159578,-70.4487497191197,-135.341681574557,-62.4829593462142,-144.498699767335,-76.6024392220927,-182.138928886153,-171.277855137266,-213.814727957404,-211.765989834341,-181.486117085158,-150.786602032881,-179.912852388178,-178.812267472991,-87.4962863435959,8.46310851522912,18.9960273778917,44.9918509981403,53.8636737863665,181.371896007455,-43.2369899465231,81.6928555126937,131.583148951291,198.148696381425,229.149314779486,354.974550280905,348.504155297031,515.400599742839,360.923446074289,491.321925948085,287.029654406606,369.196981655817,255.669605946662,294.446337938274,288.754822877616
sub-0038,ses-04,run-04,pain,NPSpos,cueH_stimH,21.4100350821751,145.900871042628,-228.853456148854,84.1349410415995,-34.7375707241906,164.9067170209,22.7138336224859,-47.1572403539867,45.8036381289114,-57.5091791043993,-62.082487066992,27.4638472989354,-159.626839080862,27.1789587315175,-23.193564297881,164.121112661569,76.5450588306231,271.416218876752,438.166868076478,609.14757446971,425.307744713562,436.176772195527,626.516951037303,769.66769899142,805.048202965702,575.363521738005,562.534679199478,492.909771352863,468.034783685755,292.165845494228,270.715491345958,87.488075091585,-230.327390941036,-273.602123405337,-528.22958239156,-245.646412353624,-549.111326073066,-404.114981941401,-630.126636267341,-350.385678326535,-378.191532945786,-254.021802548308
sub-0038,ses-04,run-04,pain,NPSpos,cueL_stimH,-2.50593374587465,-54.9749573577297,-297.277448681411,-63.7542040901615,-268.585329584392,-240.993343812003,-209.347557530836,-188.594887005875,-83.1824675756887,-42.8603049087027,254.419855801749,-43.0717363848592,93.3156136633518,78.1809458881321,228.832962430518,245.294310517141,365.640130526399,327.394964000189,411.589275456819,478.587971454561,585.39874065333,715.004670191161,549.776121322249,629.626142089573,384.242570225487,640.60022276835,534.74144014018,546.94613788006,512.556156243119,658.698651008585,173.059677067509,138.073431215575,-121.179535028409,-134.769051814761,-247.438951244581,-398.767725581175,-415.26614883117,-443.046744432418,-394.522951383982,-346.232723890927,-384.714240883913,-332.798832741289
sub-0038,ses-04,run-04,pain,NPSpos,cueH_stimM,-164.451275194738,82.9666009680066,0.190779217172334,21.6506860848783,-107.290434166702,136.934828098057,65.4390649567143,58.0404144246204,-16.1133005780665,3.81368831794407,-4.88920643479358,-51.8515962217026,-99.1363948141629,-276.107309959089,-33.2454360238311,-4.29754154566446,22.0512909536403,-133.361841943233,-84.4978046500138,89.7819925331411,-14.2509430077488,135.94531347304,163.644004894731,219.393900204628,274.840275538038,111.811228448735,380.150001048776,193.589393001252,441.297664025415,332.563512871277,444.18369451311,-18.7060861321574,189.085456536692,-264.725786766468,-149.937616757466,-577.238685091646,-453.831603038769,-764.709392666544,-790.862065470055,-778.524235002354,-675.943717592424,-478.519654532498
sub-0038,ses-04,run-04,pain,NPSpos,cueL_stimM,-513.092838783905,-395.212042140115,-635.191096082877,-641.737273501572,-723.039365266231,-549.051645713647,-798.407679516185,-607.752271538229,-739.090419880527,-508.040803441109,-593.6471043935,-357.52299980621,-285.765836862457,-200.143549881954,-121.453035545274,-130.601842609472,-222.990609884993,101.097184273838,-105.391527910295,-104.198158788531,-227.980758913955,-95.2812118774745,23.1920309713312,-82.0673850781671,37.3485119410752,-147.963633149497,107.463374583946,5.53572514997774,134.430238640314,47.1421260941512,12.3355113801824,-85.3363197769358,-293.709487401477,-393.523272494533,-641.796837588161,-674.777524303511,-820.588757910839,-856.722269717272,-755.68554886819,-891.431717262131,-864.739830317804,-809.868497888081
sub-0038,ses-04,run-04,pain,NPSpos,cueH_stimL,-460.767265787987,-419.242988920182,-535.421536135433,-308.133745328194,-485.871752335426,-518.057694229671,-337.464313837991,-344.773160832156,-161.479089368758,-86.0357991030145,-390.492081222076,-97.3766635131765,-205.418635083999,-71.2414842253376,-112.210144603073,-172.242335362428,78.3728520418892,-26.8875598167362,260.175809039251,332.90124321219,461.183709835698,562.768432546839,635.365860737529,712.265636461593,559.245877250519,868.422562276788,765.357046892895,919.843236562266,788.077622306645,812.481368524708,679.817652314374,604.11438640162,451.474441307896,258.053492932985,130.040631965572,91.0306242213181,-55.6702666639885,-339.198570095602,-424.694397722405,-363.937283176636,-444.557492799671,-308.010506398969
sub-0038,ses-04,run-04,pain,NPSpos,cueL_stimL,11.3381621426593,-98.9935672191287,30.7844512995235,1.73124489075605,-85.8439119428476,37.2127453831943,169.450550907614,89.240418315695,189.137688098662,-66.3076496524198,112.185221003836,95.3858558254046,64.3565239475423,68.8181320097365,199.09497659664,264.812201911067,262.016011825519,167.927285424865,218.487224117609,57.5925872263502,318.511935826322,17.5382046659179,433.738550670992,239.396061299808,552.518010208459,484.006349013706,477.055762853196,366.536193817136,316.657160276137,597.393270120406,351.026080136908,285.601487324998,355.391151901115,227.862168528368,67.945294891098,35.7981877667548,-86.3816044027981,-96.966517862377,-239.491754280928,-172.509279223962,-321.617483159155,-87.5126844809394
sub-0038,ses-04,run-04,pain,NPSpos,rating,7.34159533378827,-141.004653387929,-130.09881323698,-162.423116302042,-51.3701529635881,-78.3687347955843,-14.9036366324187,-57.6198264797719,-35.4353400331823,-12.0077124354859,45.316153348129,58.9196903153593,108.032713148526,134.035340502187,140.25030542364,16.5585063773659,-22.3067428067783,-11.9191135990065,-38.4435531249125,2.89165931899299,4.19780274995293,4.18589018470568,20.9827140488252,-25.3809006046508,33.1321729644319,55.8391587076553,64.0976841246389,100.114612380882,216.341933007859,159.537842413142,219.845273732447,264.241686566014,281.572245473641,258.583635270814,290.449173272513,286.46292147253,325.429678266031,356.546183885538,322.395017436146,293.728885983612,199.770367528922,198.389826650301
sub-0038,ses-04,run-04,pain,NPSpos,cueH,182.213250846676,303.089707587643,319.068159821262,118.504561647567,198.823669870608,111.672253594814,56.6606298559006,90.0883179055536,118.378715198436,127.425061271907,175.102144663714,113.928102399625,174.133209476646,233.635705719403,192.426029993326,206.766747640445,112.045173308297,156.052095032119,7.64358638552517,153.25749110548,151.092705491131,111.113458883944,193.859354910692,199.111660870714,294.399624463654,232.934614913629,174.145773439178,251.762165999362,407.948369293503,306.474368461847,367.830736796093,273.861270597681,245.718243649066,392.220643582144,171.273913102391,208.105567650912,109.976104164692,172.620948678662,251.711459143273,90.1218935573907,148.50432829651,12.7467754591347
sub-0038,ses-04,run-04,pain,NPSpos,cueL,-232.863845391134,-129.013807598936,-203.298383685385,-187.422158976348,-227.25580333622,-321.487016323481,-178.345346972961,-194.471651604868,-102.111085480285,-131.961250491476,-66.4634757160803,-77.4796045749224,-23.4757742752145,-89.1204879024061,-51.9697394511876,-123.72808149002,-118.551831632769,-119.110274811114,-162.033141927706,-178.554950950977,-126.410017116514,-33.2287778087127,64.5442359593379,118.706657198899,183.166907201253,162.631851870368,303.43073525233,43.2571556594355,199.908994350048,137.947392500349,282.583657401441,263.355232253952,358.771572211664,346.383405214832,507.148854828098,303.512297794439,523.245502953135,269.598796152437,408.912356933308,269.404138178487,368.534813707177,254.391336844594
sub-0038,ses-04,run-04,pain,SIIPS,cueH_stimH,-9514.75924333263,-155.779205078668,1872.12931268315,3141.98731391966,12405.9116265078,10337.0025212321,9082.81032350996,-2759.14666310092,-10465.6728868952,-7882.70125016819,-26379.4838223177,-431.832229323443,-2767.22996137994,278.096023281218,-4159.47634020484,-13995.7857197777,10175.2780517249,3449.79261604885,20937.7410532164,1942.15919438337,18100.7971814194,14589.9683511104,19869.6885270783,21306.7780364827,7862.16523870471,18578.7660930584,15832.3710567636,30438.010562937,28088.9215755392,31249.1617869009,51054.6238236963,46804.8935596683,64347.4044990565,51377.4463611459,57420.876658176,52858.4399292651,66344.6561182963,41245.2129804818,46850.1082554737,25956.1657690668,37045.6442438351,15926.6297000532
sub-0038,ses-04,run-04,pain,SIIPS,cueL_stimH,-816.328111478125,-4947.33942054534,10692.560276496,-5328.5414131613,1352.00243439547,-1366.64961623057,-8120.12386318856,-30555.8917517103,-24838.2060514929,-29063.937839179,-30411.9867306157,-31185.5331041308,-30749.1949173239,-23782.7014723751,-13896.8266009444,-691.024150061201,10301.3739875707,8225.40802928528,7849.59892523956,19122.8996732273,10835.5734711606,15394.9772552855,11638.9999631898,21630.4104211091,33291.2355165366,25748.7779578632,35467.9865455136,25947.0213521203,47976.5274320423,32853.020038744,36952.2315541182,37282.3766485115,35936.7850588362,32325.8224402106,34678.0234287025,39862.9117036537,32093.0857313379,35370.2023661325,28690.7011702896,26167.5531890765,8445.99093761516,17478.6807370207
