onset01_cue	onset02_ratingexpect	onset03_stim	onset04_ratingactual	pmod_cue_type	pmod_stim_type	pmod_expect_RT	event02_expect_angle	pmod_actual_RT	event04_actual_angle	cue_con	stim_lin	stim_quad	pmod_expect_angle_demean	pmod_actual_angle_demean	TTL1	TTL2	TTL3	TTL4	onset03_stim_earlyphase_0-4500ms	onset03_stim_latephase_4500-9000ms	onset03_stim_poststim_9000-135000ms	onset03_stim_ttl-plateau	onset03_stim_ttl-plateau-dur
3.899049997329712	6.099870204925537	14.81725001335144	28.991740226745605	high_cue	low_stim	2.65170979499817	32.27564431457763	2.90974068641663	19.88516511385544	1	-1	1	32.27564431457763	19.88516511385544	14.84475	17.994	22.9945	25.8275	14.84475	19.344749999999998	23.844749999999998	17.994	5.000499999999999
33.59345006942749	35.99435019493103	47.83559012413025	59.886590003967285	low_cue	med_stim	2.10714292526245	9.727578551401605	2.01762294769287	5.549779423218744	-1	0	-2	9.727578551401605	5.549779423218744	47.87225	51.1965	56.1955	59.23975	47.87225	52.37225	56.87225	51.1965	4.999000000000002
65.08853030204773	67.2893500328064	71.9104700088501	82.39499020576477	high_cue	low_stim	1.5673944950103798	10.500320318251973	2.95663619041443	3.0749169306159243	1	-1	1	10.500320318251973	3.0749169306159243	71.94725	75.0815	80.08325	82.97075	71.94725	76.44725	80.94725	75.0815	5.001750000000001
87.4968900680542	90.99819016456604	104.02672004699707	119.19204020500183	low_cue	med_stim	2.2199387550354	4.859614430972414	2.65981197357178	2.103796946851069	-1	0	-2	4.859614430972414	2.103796946851069	104.05375	107.42275	112.423	115.492	104.05375	108.55375	113.05375	107.42275	5.000250000000008
124.29394006729126	125.99458026885986	130.62318015098572	145.8019700050354	high_cue	high_stim	2.60695862770081	61.26020470831195	2.5511794090271	4.84011248884704	1	1	1	61.26020470831195	4.84011248884704	130.65575	134.194	139.19425	142.4975	130.65575	135.15575	139.65575	134.194	5.0002500000000225
150.38701009750366	153.88830995559692	159.74049019813538	173.89578008651733	low_cue	low_stim	2.26774287223816	59.62771364235506	3.22257852554321	48.48327146899767	-1	-1	1	59.62771364235506	48.48327146899767	159.77575	162.9565	167.9555	170.87325	159.77575	164.27575	168.77575	162.9565	4.998999999999995
183.4993600845337	185.70018029212952	197.93689012527466	213.19376015663147	low_cue	high_stim	1.35141372680664	37.191007539704266	2.27440023422241	4.61064931866061	-1	1	1	37.191007539704266	4.61064931866061	197.96775	201.56675	206.56825	209.81575	197.96775	202.46775	206.96775	201.56675	5.001499999999993
223.39757013320923	225.59839010238647	230.22648000717163	245.48914003372192	low_cue	low_stim	1.48645806312561	30.80526238720912	1.81753587722778	26.03941657062037	-1	-1	1	30.80526238720912	26.03941657062037	230.26425	233.413	238.41325	241.32125	230.26425	234.76425	239.26425	233.413	5.000249999999994
259.2942900657654	262.79560017585754	275.8176500797272	287.88829016685486	high_cue	high_stim	1.67272567749023	21.175739417104584	2.38447332382202	4.820766078092657	1	1	1	21.175739417104584	4.820766078092657	275.85075	279.4565	284.4555	287.6895	275.85075	280.35075	284.85075	279.4565	4.998999999999967
294.0906000137329	296.4914901256561	302.1098699569702	312.5975000858307	low_cue	high_stim	1.06021666526794	5.496892505735561	2.7706456184387203	5.873961516191936	-1	1	1	5.496892505735561	5.873961516191936	302.15225	305.71625	310.71825	314.0005	302.15225	306.65225	311.15225	305.71625	5.0020000000000095
331.08773016929626	333.4886200428009	340.8469400405884	355.7969400882721	high_cue	med_stim	1.75080633163452	4.168032976747494	2.5045998096466096	4.820766078092657	1	0	-2	4.168032976747494	4.820766078092657	340.87375	344.24425	349.243	352.346	340.87375	345.37375	349.87375	344.24425	4.998749999999973
369.58542013168335	371.6028401851654	382.62733030319214	394.7948200702667	high_cue	med_stim	1.75084209442139	45.0	2.04004383087158	27.181111085477223	1	0	-2	45.0	27.181111085477223	382.65325	386.02975	391.031	394.119	382.65325	387.15325	391.65325	386.02975	5.001250000000027
