onset01_cue	onset02_ratingexpect	onset03_stim	onset04_ratingactual	pmod_cue_type	pmod_stim_type	pmod_expect_RT	event02_expect_angle	pmod_actual_RT	event04_actual_angle	cue_con	stim_lin	stim_quad	pmod_expect_angle_demean	pmod_actual_angle_demean	TTL1	TTL2	TTL3	TTL4	onset03_stim_earlyphase_0-4500ms	onset03_stim_latephase_4500-9000ms	onset03_stim_poststim_9000-135000ms	onset03_stim_ttl-plateau	onset03_stim_ttl-plateau-dur
9.111250162124634	10.745199918746948	20.670390129089355	32.6033501625061	high_cue	high_stim	2.6183421611785898	32.27564431457763	3.318363904953	19.88516511385544	1	1	1	32.27564431457763	19.88516511385544	20.68025	24.2995	29.29975	32.47275	20.68025	25.18025	29.68025	24.2995	5.000250000000001
45.50816011428833	47.40886998176575	58.7442901134491	75.5026798248291	low_cue	low_stim	2.83780407905579	9.727578551401605	3.10145711898804	5.549779423218744	-1	-1	1	9.727578551401605	5.549779423218744	58.77225	61.89625	66.898	69.755	58.77225	63.27225	67.77225	61.89625	5.001749999999994
87.20704007148743	89.52458000183105	102.56209993362427	118.40200996398926	high_cue	low_stim	3.67232298851013	10.500320318251973	3.3353495597839395	3.0749169306159243	1	-1	1	10.500320318251973	3.0749169306159243	102.58875	105.733	110.7345	113.60625	102.58875	107.08875	111.58875	105.733	5.001499999999993
129.10599994659424	131.00671005249023	136.13967990875244	148.61327981948853	high_cue	med_stim	1.70670080184937	4.859614430972414	1.91755747795105	2.103796946851069	1	0	-2	4.859614430972414	2.103796946851069	136.16525	139.536	144.53475	147.55925	136.16525	140.66525	145.16525	139.536	4.998750000000001
155.3991401195526	158.61701011657715	168.54710006713867	184.30992007255554	low_cue	low_stim	1.65073084831238	61.26020470831195	3.83684492111206	4.84011248884704	-1	-1	1	61.26020470831195	4.84011248884704	168.57175	171.7275	176.72625	179.60425	168.57175	173.07175	177.57175	171.7275	4.998750000000001
189.59523010253906	192.31291007995605	197.7317500114441	208.20216989517212	low_cue	high_stim	3.25137233734131	59.62771364235506	4.0	48.48327146899767	-1	1	1	59.62771364235506	48.48327146899767	197.75775	201.30725	206.3075	209.531	197.75775	202.25775	206.75775	201.30725	5.000249999999994
214.1043701171875	216.4052300453186	222.14315009117126	232.71130990982056	low_cue	med_stim	2.0082032680511497	37.191007539704266	2.85201263427734	4.61064931866061	-1	0	-2	37.191007539704266	4.61064931866061	222.16925	225.4835	230.4835	233.557	222.16925	226.66925	231.16925	225.4835	5.0
238.99697995185852	241.39787983894348	246.5337200164795	261.7054500579834	low_cue	med_stim	2.00093030929565	30.80526238720912	2.9911134243011497	26.03941657062037	-1	0	-2	30.80526238720912	26.03941657062037	246.56025	249.876	254.876	257.94875	246.56025	251.06025	255.56025	249.876	5.0
268.0078001022339	271.2090001106262	279.7353301048279	294.9011700153351	low_cue	high_stim	2.18766856193542	21.175739417104584	3.00123977661133	4.820766078092657	-1	1	1	21.175739417104584	4.820766078092657	279.76675	283.341	288.341	291.58025	279.76675	284.26675	288.76675	283.341	5.0
305.00493001937866	308.10609006881714	315.1516900062561	328.61374020576477	high_cue	low_stim	2.49066948890686	5.496892505735561	2.06759309768677	5.873961516191936	1	-1	1	5.496892505735561	5.873961516191936	315.17825	318.32375	323.324	326.211	315.17825	319.67825	324.17825	318.32375	5.000249999999994
339.2010200023651	341.9020299911499	350.4344301223755	364.91060996055603	high_cue	med_stim	1.88417267799377	4.168032976747494	2.2195131778717	4.820766078092657	1	0	-2	4.168032976747494	4.820766078092657	350.46475	353.80025	358.79925	361.867	350.46475	354.96475	359.46475	353.80025	4.998999999999967
370.09587001800537	372.81354999542236	385.5503599643707	395.0051600933075	high_cue	high_stim	1.26732015609741	45.0	2.19154906272888	27.181111085477223	1	1	1	45.0	27.181111085477223	385.58125	389.1805	394.18075	397.41975	385.58125	390.08125	394.58125	389.1805	5.000249999999994
