,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,13,50,different,low,h024_M052_STD043.png,7,1,cognitive,99,1,13_50_R.jpg,1,720.0,615.0,1512.095715061,2.00367208300008,0,0,0,0,0,0,1519.217749915,1,4.951931663000099,1520.237879836,,
1,1,13,150,same,low,h038_M092_STD055.png,25,5,cognitive,99,1,13_150.jpg,1,674.87890625,585.80078125,1524.357425076,2.00141391199986,0,0,0,0,0,0,1531.40524934,2,4.999663113,1531.907213628,,
2,2,1,50,different,low,h041_M097_STD050.png,11,1,cognitive,99,1,1_50_R.jpg,1,515.69140625,508.1953125,1535.964833456,2.00132665499996,0,0,0,0,0,0,1543.0174188929998,2,4.99946513600003,1543.519600772,1546.6558979079998,3.0994660899998503
3,3,25,150,same,high,h050_M081_STD047.png,24,6,cognitive,99,1,25_150.jpg,1,482.56640625,578.67578125,1547.589841169,2.00048932100003,0,0,0,0,0,0,1554.626249546,2,4.99978874299995,1555.128197987,1558.30167575,3.13798006399998
4,4,6,150,different,low,h013_M110_STD031.png,35,5,cognitive,99,1,6_150_R.jpg,1,488.171875,608.73046875,1559.185818185,2.0019390350000803,0,0,0,0,0,0,1566.234467234,2,4.999835414000019,1566.736560939,1568.859681749,2.08816898600003
5,5,34,50,same,high,h014_M093_STD052.png,4,2,cognitive,99,1,34_50.jpg,1,470.546875,586.71875,1570.792731964,2.00036696799998,0,0,0,0,0,0,1577.8262862289998,2,4.99982083600003,1578.328043339,1581.1344367210002,2.78279988399981
6,6,3,50,same,high,h017_M101_STD047.png,2,2,cognitive,99,1,3_50.jpg,1,504.90234375,503.0390625,1582.3678218979999,2.00112228499984,0,0,0,0,0,0,1589.404830684,1,4.9998623030001,1589.9065971429998,1593.898140814,3.9719241170000696
7,7,11,50,same,high,h004_M104_STD055.png,0,2,cognitive,99,1,11_50.jpg,1,548.83984375,457.62890625,1593.9481878329998,2.00113861,0,0,0,0,0,0,1600.978860549,2,4.999424356999951,1601.48060739,1604.772270271,3.27193536200002
8,8,8,150,different,low,h018_M104_STD037.png,31,5,cognitive,99,1,8_150_R.jpg,1,504.90234375,500.08984375,1605.5221910229998,2.00043302800009,0,0,0,0,0,0,1612.553939989,1,4.999476695999871,1613.0556808729998,1615.330463029,2.25064143899999
9,9,8,100,same,low,h008_M112_STD044.png,13,3,cognitive,99,1,8_100.jpg,1,483.14453125,520.25,1617.112932421,2.00114508399997,0,0,0,0,0,0,1624.150512365,1,4.99958511,1624.652256461,1627.604321978,2.93263451000007
