,Unnamed: 0,administer,cue_type,cue_image,random_order,trial_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,50,low,h036_M091_STD041.png,33,5,pain,99,1,1,474.40625,541.8125,40659.992574422,4.00837672399939,0,0,0,0,0,0,0,0,0,40677.444708937,40679.482926709,1.90101770299952
1,1,48,high,h021_M092_STD054.png,10,2,pain,99,1,1,467.734375,578.80859375,40681.583455967004,4.01736051100306,0,0,0,0,0,0,0,0,0,40698.723152692,40700.516103483,1.76718374800112
2,2,49,high,h003_M083_STD036.png,20,4,pain,99,1,1,464.62890625,599.76953125,40702.749839412005,4.0174358540025406,0,0,0,0,0,0,0,0,0,40719.936952427,40721.765374549,1.79879896999773
3,3,50,high,h045_M075_STD059.png,28,6,pain,99,1,1,465.4140625,581.05078125,40723.981744808996,4.018361137998,0,0,0,0,0,0,0,0,0,40741.154323596,40743.148707772,1.96660805099964
4,4,49,low,h022_M097_STD045.png,17,3,pain,99,1,1,469.38671875,570.15234375,40745.202229896,4.01445307199901,0,0,0,0,0,0,0,0,0,40762.398883216,40764.964214016,2.53165935000288
5,5,48,high,h018_M121_STD044.png,2,2,pain,99,1,1,481.71484375,538.0078125,40766.449317387,4.0157096670009205,0,0,0,0,0,0,0,0,0,40783.566640238,40785.981413046,2.3658621709983
6,6,49,low,h049_M074_STD036.png,21,3,pain,99,1,1,469.59375,592.34375,40787.616140738995,4.01655630699679,0,0,0,0,0,0,0,0,0,40804.729031434,40806.648181708,1.88145593000081
7,7,50,low,h053_M101_STD038.png,25,5,pain,99,1,1,474.12890625,568.22265625,40808.781326695,4.0170430339931,0,0,0,0,0,0,0,0,0,40825.920351748,40828.08107057,2.13347129899921
8,8,50,high,h014_M107_STD026.png,24,6,pain,99,1,1,460.36328125,566.17578125,40829.964283448,4.0178142090007904,0,0,0,0,0,0,0,0,0,40847.084741355,40849.879919063,2.76365488100419
9,9,50,high,h034_M073_STD052.png,30,6,pain,99,1,1,471.0078125,594.9375,40851.130973526,4.01650438900106,0,0,0,0,0,0,0,0,0,40868.238485568996,40870.24700814,1.9825906640035098
10,10,49,low,h024_M097_STD033.png,19,3,pain,99,1,1,590.9375,612.9453125,40872.280511697005,4.01734514200507,0,0,0,0,0,0,0,0,0,40889.428418339,40891.363201462,1.8967039929993899
