,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
24,24,097-gf097,med,high,h010_M069_STD038.png,18,4,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,1,467.92578125,602.36328125,40042.520229268,4.01743461400474,0,0,0,0,0,0,0,0,0,40050.578347277005,40052.418812798,1.81618536400492
25,25,052-dr052,high,high,h023_M110_STD061.png,32,6,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,1,534.703125,432.43359375,40054.603222929,4.01760516899958,0,0,0,0,0,0,0,0,0,40062.661977811,40064.119552032,1.4331823110042
26,26,043-jh043,high,low,h006_M100_STD019.png,29,5,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,1,478.21484375,509.42578125,40066.704357971,4.01634159000241,0,0,0,0,0,0,0,0,0,40074.762136417005,40076.069332277,1.28324955800053
27,27,124-dn124,low,high,h026_M075_STD041.png,6,2,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4,1,453.91015625,615.0,40078.803115617004,4.0182217640031,0,0,0,0,0,0,0,0,0,40086.860891641,40087.969351646,1.08398593199672
28,28,120-kz120,med,low,h023_M087_STD034.png,15,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,1,465.71875,599.4453125,40090.886061242,4.01764968999487,0,0,0,0,0,0,0,0,0,40098.945033842,40100.602505539,1.63354147299833
29,29,052-dr052,med,high,h051_M091_STD024.png,16,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,1,474.65625,615.0,40102.969716437,4.0159921960003,0,0,0,0,0,0,0,0,0,40111.023503931,40112.518790355,1.4668729380064198
30,30,123-jh123,high,high,h056_M108_STD025.png,30,6,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,1,499.55859375,522.9609375,40115.052449942,4.0168178480016605,0,0,0,0,0,0,0,0,0,40123.10806177,40124.751323162,1.6163064860011203
31,31,043-jh043,low,low,h036_M094_STD048.png,1,1,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,1,453.91796875,614.453125,40127.13567792,4.0168668170008495,0,0,0,0,0,0,0,0,0,40135.193727107006,40136.318325607004,1.1000547239964398
32,32,120-kz120,low,low,h011_M070_STD046.png,11,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,1,450.65234375,615.0,40139.218999871,4.01738201999979,0,0,0,0,0,0,0,0,0,40146.393588622,40147.551770749,1.13361486100621
33,33,097-gf097,high,low,h025_M102_STD045.png,25,5,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,1,466.3125,600.61328125,40150.419532609,4.01602441700379,0,0,0,0,0,0,0,0,0,40158.476432022,40160.517492465,2.01617576700664
34,34,107-hs107,med,high,h046_M091_STD041.png,14,4,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,1,544.0703125,467.51953125,40162.503237954,4.01746691799781,0,0,0,0,0,0,0,0,0,40170.559838804,40172.402666761,1.8178668889959197
35,35,109-ib109,med,low,h012_M093_STD039.png,19,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,1,457.4296875,612.7890625,40174.585994115,4.01662217300327,0,0,0,0,0,0,0,0,0,40182.643513669,40184.400765222,1.73327822099964
