,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,13,50,different,low,h024_M052_STD043.png,7,1,cognitive,99,1,13_50_R.jpg,1,676.59765625,588.1484375,38628.380430000005,2.004109104,0,0,0,0,0,0,38635.54432,1,4.9998671539999995,38636.04605,38639.16102,3.0154311000000003
1,1,13,150,same,low,h038_M092_STD055.png,25,5,cognitive,99,1,13_150.jpg,1,459.04296875,567.93359375,38640.17737,2.001360095,0,0,0,0,0,0,38647.22641,2,4.998973028,38647.7286,,
2,2,1,50,different,low,h041_M097_STD050.png,11,1,cognitive,99,1,1_50_R.jpg,1,607.81640625,587.76171875,38651.77838,2.001338217,0,0,0,0,0,0,38658.82658,1,4.999567202,38659.32853,38661.277610000005,1.916309284
3,3,25,150,same,high,h050_M081_STD047.png,24,6,cognitive,99,1,25_150.jpg,1,490.8046875,502.87890625,38663.39425,2.0017679630000003,0,0,0,0,0,0,38670.4425,2,4.999518675,38670.94547,38674.04358,3.065387378
4,4,6,150,different,low,h013_M110_STD031.png,35,5,cognitive,99,1,6_150_R.jpg,1,698.078125,586.65625,38675.010369999996,2.001123122,0,0,0,0,0,0,38682.05992,1,4.999797538999999,38682.56078,38684.80985,2.216300045
5,5,34,50,same,high,h014_M093_STD052.png,4,2,cognitive,99,1,34_50.jpg,1,477.2578125,563.0078125,38686.62644,2.001162061,0,0,0,0,0,0,38693.6587,2,4.999474894,38694.16042,38696.9609,2.767616583
6,6,3,50,same,high,h017_M101_STD047.png,2,2,cognitive,99,1,3_50.jpg,1,455.0859375,597.26171875,38698.21019,2.001135896,0,0,0,0,0,0,38705.24298,2,4.9998456330000005,38705.744739999995,38708.11121,2.335342114
7,7,11,50,same,high,h004_M104_STD055.png,0,2,cognitive,99,1,11_50.jpg,1,461.58984375,537.80078125,38709.794030000005,2.001118466,0,0,0,0,0,0,38716.82584,2,4.999906902,38717.327639999996,,
8,8,8,150,different,low,h018_M104_STD037.png,31,5,cognitive,99,1,8_150_R.jpg,1,713.0078125,615.0,38721.37752,2.00114871,0,0,0,0,0,0,38728.42611,1,4.999905161,38728.92788,38731.30913,2.350180796
9,9,8,100,same,low,h008_M112_STD044.png,13,3,cognitive,99,1,8_100.jpg,1,470.296875,542.47265625,38732.97649,2.001195971,0,0,0,0,0,0,38740.0093,2,4.999833024,38740.511060000004,38744.226539999996,3.683799705
10,10,26,50,same,low,h001_M063_STD035.png,1,1,cognitive,99,1,26_50.jpg,1,597.10546875,587.89453125,38744.57653,2.001130108,0,0,0,0,0,0,38751.60937,2,4.999916024,38752.11114,38754.49258,2.350073247
11,11,32,150,same,low,h047_M091_STD038.png,27,5,cognitive,99,1,32_150.jpg,1,453.90234375,576.8203125,38756.16042,2.001138698,0,0,0,0,0,0,38763.191510000004,2,4.999447212,38763.69346,,
