,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,080-bn080,med,high,h055_M099_STD054.png,18,4,vicarious,99,bn080*M.mp4,bn080t1aeaff_M.mp4,1,460.7734375,615.0,39192.866645072005,4.02249278499949,0,0,0,0,0,0,0,0,0,39200.952380568,39203.342404582,2.20017170200299
1,1,095-tv095,high,high,h053_M111_STD044.png,30,6,vicarious,99,tv095*H.mp4,tv095t1afaff_H.mp4,1,459.546875,610.6328125,39205.159792351,4.016776134005339,0,0,0,0,0,0,0,0,0,39213.214173695,39215.92605958,2.68366894199426
2,2,064-ak064,high,high,h034_M100_STD047.png,26,6,vicarious,99,ak064*H.mp4,ak064t1aaaff_H.mp4,1,470.85546875,574.62890625,39217.259441447,4.01741396600119,0,0,0,0,0,0,0,0,0,39225.317815852,39227.642046756,2.30075064900302
3,3,064-ak064,low,high,h012_M101_STD058.png,4,2,vicarious,99,ak064*L.mp4,ak064t1afunaff_L.mp4,1,607.25,602.97265625,39229.342534858,4.01590702300018,0,0,0,0,0,0,0,0,0,39237.38048155,39239.341593587,1.93308267799875
4,4,106-nm106,high,low,h031_M086_STD041.png,27,5,vicarious,99,nm106*H.mp4,nm106t1afaff_H.mp4,1,514.734375,469.46875,39241.430103971004,4.01325233300304,0,0,0,0,0,0,0,0,0,39249.482724158,39252.108783055,2.5832680980020095
5,5,047-jl047,low,low,h040_M105_STD051.png,11,1,vicarious,99,jl047*L.mp4,jl047t1aaunaff_L.mp4,1,471.140625,615.0,39253.543438956,4.014628809993161,0,0,0,0,0,0,0,0,0,39261.599565864,39263.108110066,1.48328575499909
6,6,121-vw121,low,high,h048_M109_STD065.png,8,2,vicarious,99,vw121*L.mp4,vw121t1aeaff_L.mp4,1,464.765625,615.0,39265.641875543,4.01719366700127,0,0,0,0,0,0,0,0,0,39273.700382197,39275.390657322,1.66602884199528
7,7,048-aa048,low,high,h054_M082_STD040.png,2,2,vicarious,99,aa048*L.mp4,aa048t2aaunaff_L.mp4,1,658.015625,615.0,39277.724936218,4.01733503500145,0,0,0,0,0,0,0,0,0,39285.784145664,39287.623916817996,1.8163841549976498
8,8,115-jy115,high,high,h036_M095_STD021.png,34,6,vicarious,99,jy115*H.mp4,jy115t2aaaff_H.mp4,1,618.94921875,615.0,39289.808223131,4.01713832999667,0,0,0,0,0,0,0,0,0,39297.865019296,39300.12330641,2.23246467900026
9,9,048-aa048,high,high,h052_M114_STD048.png,32,6,vicarious,99,aa048*H.mp4,aa048t2aeaff_H.mp4,1,459.765625,615.0,39301.9084956,4.0167319699976405,0,0,0,0,0,0,0,0,0,39309.967010867,39311.557676141,1.5670714359948799
10,10,047-jl047,med,low,h008_M117_STD022.png,15,3,vicarious,99,jl047*M.mp4,jl047t1aiunaff_M.mp4,1,452.0859375,613.95703125,39313.990923913,4.01749964299961,0,0,0,0,0,0,0,0,0,39322.050021045,39323.607441254,1.5335861190033
11,11,048-aa048,med,low,h041_M087_STD043.png,21,3,vicarious,99,aa048*M.mp4,aa048t2afunaff_M.mp4,1,453.74609375,615.0,39326.090833107,4.01735352399555,0,0,0,0,0,0,0,0,0,39334.149488694,39335.674153078,1.5012863180018001
12,12,096-bg096,med,low,h007_M093_STD031.png,13,3,vicarious,99,bg096*M.mp4,bg096t2aaaff_M.mp4,1,523.93359375,461.20703125,39338.174063605,4.0174552440003,0,0,0,0,0,0,0,0,0,39346.231671714,39347.956909782995,1.69993599200097
13,13,121-vw121,high,low,h029_M090_STD041.png,31,5,vicarious,99,vw121*H.mp4,vw121t1aaaff_H.mp4,1,507.78125,489.1953125,39350.273611887,4.01771219399961,0,0,0,0,0,0,0,0,0,39358.331919648,39360.122946991,1.7660350529986297
14,14,103-jk103,med,low,h015_M087_STD055.png,23,3,vicarious,99,jk103*M.mp4,jk103t2aaunaff_M.mp4,1,471.10546875,580.4609375,39362.373884474,4.01670441000169,0,0,0,0,0,0,0,0,0,39370.431301826,39371.906458373,1.45017582400033
15,15,101-mg101,high,high,h038_M097_STD061.png,28,6,vicarious,99,mg101*H.mp4,mg101t2aeaff_H.mp4,1,472.67578125,535.0078125,39374.456739623,4.01731876400299,0,0,0,0,0,0,0,0,0,39382.515018672995,39384.939877565,2.40043225300178
16,16,096-bg096,high,low,h048_M096_STD037.png,29,5,vicarious,99,bg096*H.mp4,bg096t1aeaff_H.mp4,1,491.0390625,510.55078125,39386.539967457,4.01770237799792,0,0,0,0,0,0,0,0,0,39394.598631128,39397.106405387996,2.48367895900446
17,17,106-nm106,low,high,h025_M089_STD035.png,0,2,vicarious,99,nm106*L.mp4,nm106t1aaunaff_L.mp4,1,465.640625,615.0,39398.623340709,4.01755517900165,0,0,0,0,0,0,0,0,0,39406.681106678996,39408.356140692005,1.65011538100225
18,18,106-nm106,med,high,h011_M118_STD047.png,12,4,vicarious,99,nm106*M.mp4,nm106t2aaunaff_M.mp4,1,456.39453125,615.0,39410.706399263996,4.017349444999129,0,0,0,0,0,0,0,0,0,39418.765033899996,39420.20631667,1.41825025700382
19,19,080-bn080,low,high,h004_M095_STD031.png,6,2,vicarious,99,bn080*L.mp4,bn080t1afunaff_L.mp4,1,459.9609375,612.28515625,39422.789000316,4.01799210200261,0,0,0,0,0,0,0,0,0,39430.848178286,39432.272774545,1.40072268700169
20,20,096-bg096,low,low,h014_M100_STD028.png,7,1,vicarious,99,bg096*L.mp4,bg096t2afunaff_L.mp4,1,470.6875,574.24609375,39434.872723505,4.01753555599862,0,0,0,0,0,0,0,0,0,39442.931579589,39445.588772392,2.6337627160028196
21,21,115-jy115,med,high,h031_M111_STD042.png,14,4,vicarious,99,jy115*M.mp4,jy115t1aeaff_M.mp4,1,462.44921875,591.1015625,39446.955969332004,4.01732905999961,0,0,0,0,0,0,0,0,0,39455.014619496,39457.122328492995,2.0835633409951697
22,22,103-jk103,low,low,h024_M085_STD040.png,9,1,vicarious,99,jk103*L.mp4,jk103t1aaunaff_L.mp4,1,452.93359375,608.0546875,39459.039095811,4.01849282599869,0,0,0,0,0,0,0,0,0,39467.096509537005,39469.088802236,1.9674713950007598
23,23,064-ak064,med,high,h013_M111_STD044.png,20,4,vicarious,99,ak064*M.mp4,ak064t1aiaff_M.mp4,1,457.8515625,610.2890625,39471.122288491,4.018073799998089,0,0,0,0,0,0,0,0,0,39479.180806291,39481.155376516,1.95013405000645
24,24,092-ch092,low,low,h055_M112_STD025.png,1,1,vicarious,99,ch092*L.mp4,ch092t2aeaff_L.mp4,1,457.90234375,614.6484375,39483.205500371,4.01732277699921,0,0,0,0,0,0,0,0,0,39491.264112623,39492.571239933,1.28390623400628
25,25,095-tv095,med,high,h041_M089_STD031.png,22,4,vicarious,99,tv095*M.mp4,tv095t2afaff_M.mp4,1,461.78515625,566.2734375,39495.28863148,4.0173168149995,0,0,0,0,0,0,0,0,0,39503.346431741,39505.472684526,2.10184508800012
26,26,092-ch092,high,high,h047_M096_STD043.png,24,6,vicarious,99,ch092*H.mp4,ch092t2aiaff_H.mp4,1,472.43359375,554.9375,39507.392459468,4.01253000699944,0,0,0,0,0,0,0,0,0,39515.447859903,39517.404298935,1.93334078100452
27,27,115-jy115,low,low,h028_M061_STD034.png,3,1,vicarious,99,jy115*L.mp4,jy115t1aaunaff_L.mp4,1,459.4375,615.0,39519.471425858,4.01758333600446,0,0,0,0,0,0,0,0,0,39527.529319773996,39528.720527068996,1.16653266500361
28,28,080-bn080,high,low,h009_M098_STD039.png,35,5,vicarious,99,bn080*H.mp4,bn080t1afaff_H.mp4,1,663.9140625,605.234375,39531.554641866,4.01655653299531,0,0,0,0,0,0,0,0,0,39539.612886523,39541.837390407,2.20046487400396
29,29,101-mg101,low,low,h043_M093_STD041.png,5,1,vicarious,99,mg101*L.mp4,mg101t2afunaff_L.mp4,1,707.4140625,563.82421875,39543.637794734,4.01759681099793,0,0,0,0,0,0,0,0,0,39551.679829416,39553.769531705,2.06625491600425
30,30,092-ch092,med,low,h037_M117_STD041.png,19,3,vicarious,99,ch092*M.mp4,ch092t2aaaff_M.mp4,1,465.94921875,600.078125,39555.719591495,4.01750484100194,0,0,0,0,0,0,0,0,0,39563.779759462996,39565.536607174,1.732682793001
31,31,047-jl047,high,low,h022_M074_STD030.png,25,5,vicarious,99,jl047*H.mp4,jl047t1aiaff_H.mp4,1,489.05078125,522.85546875,39567.820991834,4.01660621199699,0,0,0,0,0,0,0,0,0,39575.879147045,39577.887184485,1.9838984359958003
32,32,095-tv095,low,high,h029_M095_STD060.png,10,2,vicarious,99,tv095*L.mp4,tv095t2aeunaff_L.mp4,1,572.51953125,585.69140625,39579.904083452995,4.01728678599466,0,0,0,0,0,0,0,0,0,39587.962146527,39590.219839287005,2.2331325810009703
33,33,101-mg101,med,high,h035_M095_STD058.png,16,4,vicarious,99,mg101*M.mp4,mg101t2aeunaff_M.mp4,1,465.48046875,597.21484375,39591.987335077,4.01734503300395,0,0,0,0,0,0,0,0,0,39600.045482133,39601.737012576,1.66708551900228
