"subj","rand_intercept","fix_intercept","fix_cue","task"
"56",-1.17176072906743,3.16852090754431,-0.0275265924247139,"cognitive"
"90",-0.764659600256031,3.16852090754431,-0.0275265924247139,"cognitive"
"69",-0.730738097125469,3.16852090754431,-0.0275265924247139,"cognitive"
"62",-0.659413762516014,3.16852090754431,-0.0275265924247139,"cognitive"
"58",-0.558838003600928,3.16852090754431,-0.0275265924247139,"cognitive"
"18",-0.544490997919639,3.16852090754431,-0.0275265924247139,"cognitive"
"55",-0.510494046900398,3.16852090754431,-0.0275265924247139,"cognitive"
"83",-0.492272874339656,3.16852090754431,-0.0275265924247139,"cognitive"
"106",-0.477677019585469,3.16852090754431,-0.0275265924247139,"cognitive"
"43",-0.424404119585834,3.16852090754431,-0.0275265924247139,"cognitive"
"14",-0.412625493829398,3.16852090754431,-0.0275265924247139,"cognitive"
"53",-0.40930806803931,3.16852090754431,-0.0275265924247139,"cognitive"
"65",-0.370214607015691,3.16852090754431,-0.0275265924247139,"cognitive"
"46",-0.323288896246615,3.16852090754431,-0.0275265924247139,"cognitive"
"40",-0.321703588275388,3.16852090754431,-0.0275265924247139,"cognitive"
"19",-0.301838942912239,3.16852090754431,-0.0275265924247139,"cognitive"
"30",-0.275254065147501,3.16852090754431,-0.0275265924247139,"cognitive"
"70",-0.255743928081734,3.16852090754431,-0.0275265924247139,"cognitive"
"79",-0.220828556903723,3.16852090754431,-0.0275265924247139,"cognitive"
"51",-0.184749898222924,3.16852090754431,-0.0275265924247139,"cognitive"
"17",-0.16783803088502,3.16852090754431,-0.0275265924247139,"cognitive"
"92",-0.136825133874011,3.16852090754431,-0.0275265924247139,"cognitive"
"16",-0.122947188151925,3.16852090754431,-0.0275265924247139,"cognitive"
"95",-0.122572687114347,3.16852090754431,-0.0275265924247139,"cognitive"
"104",-0.116820819114382,3.16852090754431,-0.0275265924247139,"cognitive"
"29",-0.111061162099831,3.16852090754431,-0.0275265924247139,"cognitive"
"59",-0.0963473081103349,3.16852090754431,-0.0275265924247139,"cognitive"
"57",-0.0959781019032848,3.16852090754431,-0.0275265924247139,"cognitive"
"87",-0.0926888850775996,3.16852090754431,-0.0275265924247139,"cognitive"
"37",-0.0829330088334155,3.16852090754431,-0.0275265924247139,"cognitive"
"84",-0.0604037068642343,3.16852090754431,-0.0275265924247139,"cognitive"
"89",-0.0600683303060722,3.16852090754431,-0.0275265924247139,"cognitive"
"39",-0.0377927298906771,3.16852090754431,-0.0275265924247139,"cognitive"
"94",-0.0283187083637282,3.16852090754431,-0.0275265924247139,"cognitive"
"21",-0.0225698152190398,3.16852090754431,-0.0275265924247139,"cognitive"
"86",-0.0205433054493394,3.16852090754431,-0.0275265924247139,"cognitive"
"76",-0.0103494152992422,3.16852090754431,-0.0275265924247139,"cognitive"
"20",-0.00448152142653273,3.16852090754431,-0.0275265924247139,"cognitive"
"64",0.00771533973375019,3.16852090754431,-0.0275265924247139,"cognitive"
"32",0.0120407298072437,3.16852090754431,-0.0275265924247139,"cognitive"
"81",0.0236656597447436,3.16852090754431,-0.0275265924247139,"cognitive"
"75",0.0499150311388927,3.16852090754431,-0.0275265924247139,"cognitive"
"103",0.0641722074769691,3.16852090754431,-0.0275265924247139,"cognitive"
"36",0.0933496321913986,3.16852090754431,-0.0275265924247139,"cognitive"
"60",0.0962109358797344,3.16852090754431,-0.0275265924247139,"cognitive"
"100",0.10698809541379,3.16852090754431,-0.0275265924247139,"cognitive"
"33",0.10965104859234,3.16852090754431,-0.0275265924247139,"cognitive"
"52",0.117968878130972,3.16852090754431,-0.0275265924247139,"cognitive"
"23",0.12904524436609,3.16852090754431,-0.0275265924247139,"cognitive"
"88",0.129572738743243,3.16852090754431,-0.0275265924247139,"cognitive"
"77",0.136216622890963,3.16852090754431,-0.0275265924247139,"cognitive"
"78",0.137669660687712,3.16852090754431,-0.0275265924247139,"cognitive"
"82",0.144744365434842,3.16852090754431,-0.0275265924247139,"cognitive"
"105",0.148782445584465,3.16852090754431,-0.0275265924247139,"cognitive"
"73",0.162683026063046,3.16852090754431,-0.0275265924247139,"cognitive"
"15",0.203468335936771,3.16852090754431,-0.0275265924247139,"cognitive"
"24",0.215556930533359,3.16852090754431,-0.0275265924247139,"cognitive"
"31",0.230179301618418,3.16852090754431,-0.0275265924247139,"cognitive"
"61",0.233637544953798,3.16852090754431,-0.0275265924247139,"cognitive"
"91",0.247718094563198,3.16852090754431,-0.0275265924247139,"cognitive"
"25",0.25991765207637,3.16852090754431,-0.0275265924247139,"cognitive"
"71",0.261830980317509,3.16852090754431,-0.0275265924247139,"cognitive"
"66",0.263130295792917,3.16852090754431,-0.0275265924247139,"cognitive"
"44",0.26400513384738,3.16852090754431,-0.0275265924247139,"cognitive"
"50",0.273280772613081,3.16852090754431,-0.0275265924247139,"cognitive"
"93",0.273953586237546,3.16852090754431,-0.0275265924247139,"cognitive"
"102",0.307648702958452,3.16852090754431,-0.0275265924247139,"cognitive"
"99",0.328958029056085,3.16852090754431,-0.0275265924247139,"cognitive"
"41",0.341674943662779,3.16852090754431,-0.0275265924247139,"cognitive"
"13",0.346062215657459,3.16852090754431,-0.0275265924247139,"cognitive"
"28",0.363186623569005,3.16852090754431,-0.0275265924247139,"cognitive"
"74",0.374571409298484,3.16852090754431,-0.0275265924247139,"cognitive"
"26",0.383919702032796,3.16852090754431,-0.0275265924247139,"cognitive"
"85",0.388773404272382,3.16852090754431,-0.0275265924247139,"cognitive"
"97",0.395315296302516,3.16852090754431,-0.0275265924247139,"cognitive"
