"subj","rand_intercept","fix_intercept","fix_cue","task"
"56",-1.29399179628112,3.16852090754431,-0.0275265924247139,"cognitive"
"69",-1.10768620265189,3.16852090754431,-0.0275265924247139,"cognitive"
"90",-1.05346371024991,3.16852090754431,-0.0275265924247139,"cognitive"
"43",-0.813660918441362,3.16852090754431,-0.0275265924247139,"cognitive"
"46",-0.670166816704587,3.16852090754431,-0.0275265924247139,"cognitive"
"47",-0.603358737648787,3.16852090754431,-0.0275265924247139,"cognitive"
"39",-0.571020628106736,3.16852090754431,-0.0275265924247139,"cognitive"
"17",-0.560616132882485,3.16852090754431,-0.0275265924247139,"cognitive"
"106",-0.52097595075723,3.16852090754431,-0.0275265924247139,"cognitive"
"62",-0.502588689592989,3.16852090754431,-0.0275265924247139,"cognitive"
"55",-0.501147267616169,3.16852090754431,-0.0275265924247139,"cognitive"
"83",-0.49975648759476,3.16852090754431,-0.0275265924247139,"cognitive"
"18",-0.484131792154079,3.16852090754431,-0.0275265924247139,"cognitive"
"79",-0.476930914760909,3.16852090754431,-0.0275265924247139,"cognitive"
"19",-0.340911091866097,3.16852090754431,-0.0275265924247139,"cognitive"
"51",-0.308285543573134,3.16852090754431,-0.0275265924247139,"cognitive"
"53",-0.306033193983755,3.16852090754431,-0.0275265924247139,"cognitive"
"29",-0.282215793476,3.16852090754431,-0.0275265924247139,"cognitive"
"16",-0.276344475768348,3.16852090754431,-0.0275265924247139,"cognitive"
"65",-0.275372824856346,3.16852090754431,-0.0275265924247139,"cognitive"
"58",-0.251131310999404,3.16852090754431,-0.0275265924247139,"cognitive"
"36",-0.248410463909277,3.16852090754431,-0.0275265924247139,"cognitive"
"37",-0.245105176503269,3.16852090754431,-0.0275265924247139,"cognitive"
"20",-0.237765146676589,3.16852090754431,-0.0275265924247139,"cognitive"
"33",-0.204538360295732,3.16852090754431,-0.0275265924247139,"cognitive"
"30",-0.190363978084608,3.16852090754431,-0.0275265924247139,"cognitive"
"84",-0.179301468242227,3.16852090754431,-0.0275265924247139,"cognitive"
"70",-0.153991592654476,3.16852090754431,-0.0275265924247139,"cognitive"
"15",-0.142883589240897,3.16852090754431,-0.0275265924247139,"cognitive"
"76",-0.112960084609088,3.16852090754431,-0.0275265924247139,"cognitive"
"25",-0.0863887529678865,3.16852090754431,-0.0275265924247139,"cognitive"
"14",-0.056000499843733,3.16852090754431,-0.0275265924247139,"cognitive"
"57",-0.0527995992922419,3.16852090754431,-0.0275265924247139,"cognitive"
"21",-0.046410895624309,3.16852090754431,-0.0275265924247139,"cognitive"
"78",-0.0439882143924643,3.16852090754431,-0.0275265924247139,"cognitive"
"40",-0.0432989451007333,3.16852090754431,-0.0275265924247139,"cognitive"
"89",-0.0400888314891748,3.16852090754431,-0.0275265924247139,"cognitive"
"23",-0.0135644936242952,3.16852090754431,-0.0275265924247139,"cognitive"
"94",0.00754607788694435,3.16852090754431,-0.0275265924247139,"cognitive"
"88",0.027319733571652,3.16852090754431,-0.0275265924247139,"cognitive"
"87",0.0284878697056081,3.16852090754431,-0.0275265924247139,"cognitive"
"66",0.0427088624312295,3.16852090754431,-0.0275265924247139,"cognitive"
"60",0.055972500671186,3.16852090754431,-0.0275265924247139,"cognitive"
"92",0.0589797707652925,3.16852090754431,-0.0275265924247139,"cognitive"
"82",0.080879730042812,3.16852090754431,-0.0275265924247139,"cognitive"
"52",0.0821778256740821,3.16852090754431,-0.0275265924247139,"cognitive"
"24",0.115601189379567,3.16852090754431,-0.0275265924247139,"cognitive"
"64",0.140486397773611,3.16852090754431,-0.0275265924247139,"cognitive"
"50",0.176318431679278,3.16852090754431,-0.0275265924247139,"cognitive"
"101",0.18891404698866,3.16852090754431,-0.0275265924247139,"cognitive"
"85",0.199365190825149,3.16852090754431,-0.0275265924247139,"cognitive"
"35",0.205375997139525,3.16852090754431,-0.0275265924247139,"cognitive"
"77",0.21789975390627,3.16852090754431,-0.0275265924247139,"cognitive"
"95",0.221009087103484,3.16852090754431,-0.0275265924247139,"cognitive"
"44",0.227077384731677,3.16852090754431,-0.0275265924247139,"cognitive"
"102",0.231530376399206,3.16852090754431,-0.0275265924247139,"cognitive"
"31",0.251442166546573,3.16852090754431,-0.0275265924247139,"cognitive"
"59",0.263362324238615,3.16852090754431,-0.0275265924247139,"cognitive"
"100",0.302135915883277,3.16852090754431,-0.0275265924247139,"cognitive"
"73",0.304394050022709,3.16852090754431,-0.0275265924247139,"cognitive"
"41",0.306338419087374,3.16852090754431,-0.0275265924247139,"cognitive"
"74",0.30657779977947,3.16852090754431,-0.0275265924247139,"cognitive"
"103",0.323089969148305,3.16852090754431,-0.0275265924247139,"cognitive"
"97",0.334167298596721,3.16852090754431,-0.0275265924247139,"cognitive"
"81",0.348093908310887,3.16852090754431,-0.0275265924247139,"cognitive"
"104",0.360927158705679,3.16852090754431,-0.0275265924247139,"cognitive"
"34",0.363700988030053,3.16852090754431,-0.0275265924247139,"cognitive"
"68",0.374596016033648,3.16852090754431,-0.0275265924247139,"cognitive"
"13",0.389768544345048,3.16852090754431,-0.0275265924247139,"cognitive"
"32",0.410642189150664,3.16852090754431,-0.0275265924247139,"cognitive"
"93",0.418368340749834,3.16852090754431,-0.0275265924247139,"cognitive"
"86",0.421453891955011,3.16852090754431,-0.0275265924247139,"cognitive"
"80",0.443642881180688,3.16852090754431,-0.0275265924247139,"cognitive"
"28",0.479360896705879,3.16852090754431,-0.0275265924247139,"cognitive"
"26",0.48191560363253,3.16852090754431,-0.0275265924247139,"cognitive"
"91",0.50419703124313,3.16852090754431,-0.0275265924247139,"cognitive"
"61",0.521853951158638,3.16852090754431,-0.0275265924247139,"cognitive"
"71",0.543122209786246,3.16852090754431,-0.0275265924247139,"cognitive"
"98",0.546996452386081,3.16852090754431,-0.0275265924247139,"cognitive"
"75",0.564087715137533,3.16852090754431,-0.0275265924247139,"cognitive"
"38",0.585101422613451,3.16852090754431,-0.0275265924247139,"cognitive"
"99",0.607689716558302,3.16852090754431,-0.0275265924247139,"cognitive"
"105",0.73297328485773,3.16852090754431,-0.0275265924247139,"cognitive"
