src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_video_subject,param_video_filename,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_filename,event05_administer_displayonset,event05_administer_biopac,event06_actual_displayonset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration
1,1,1,3,1,low,low,108-th108,th108t1aaunaff_L.mp4,1,1606245269.04154,1606245269.04345,1606245271.82796,1606245271.83273,1.10125994682312,1606245272.94505,1606245272.95062,low,l015.png,1606245273.97877,1606245273.93819,NaN,NaN,1606245277.99695,1606245277.99957,0.60101056098938,th108t1aaunaff_L.mp4,th108t1aaunaff_L.mp4,1606245279.85128,1606245279.84879,1606245285.11631,1606245285.09976,1606245288.65144,3.53507518768311,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,high,043-jh043,jh043t2aeaff_H.mp4,6,1606245269.04154,1606245269.04345,1606245289.36792,1606245289.36983,5.0008544921875,1606245294.38648,1606245294.38756,high,h001.png,1606245295.38686,1606245295.37345,NaN,NaN,1606245299.40504,1606245299.40672,0.501157283782959,jh043t2aeaff_H.mp4,jh043t2aeaff_H.mp4,1606245301.15958,1606245301.1573,1606245306.42436,1606245306.40823,1606245310.01568,3.59124755859375,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,med,052-dr052,dr052t2aaaff_M.mp4,4,1606245269.04154,1606245269.04345,1606245310.5926,1606245310.6003,2.30096840858459,1606245312.91015,1606245312.91229,high,h014.png,1606245313.9272,1606245313.89698,1606245317.56566,3.63839721679688,1606245318.11211,1606245318.11636,0.50091814994812,dr052t2aaaff_M.mp4,dr052t2aaaff_M.mp4,1606245319.8665,1606245319.8641,1606245325.13143,1606245325.11529,1606245327.66616,2.53466439247131,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,low,095-tv095,tv095t2aeunaff_L.mp4,2,1606245269.04154,1606245269.04345,1606245329.19964,1606245329.20138,1.0009880065918,1606245330.21669,1606245330.21851,high,h006.png,1606245331.21707,1606245331.20429,1606245334.85301,3.63550400733948,1606245335.40198,1606245335.40307,0.600966691970825,tv095t2aeunaff_L.mp4,tv095t2aeunaff_L.mp4,1606245337.25678,1606245337.25399,1606245342.52134,1606245342.50523,1606245344.24959,1.72823596000671,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,high,052-dr052,dr052t1aiaff_H.mp4,6,1606245269.04154,1606245269.04345,1606245346.58955,1606245346.60052,1.00164079666138,1606245347.6066,1606245347.60971,high,h003.png,1606245348.62365,1606245348.59722,NaN,NaN,1606245352.64184,1606245352.65124,1.60140752792358,dr052t1aiaff_H.mp4,dr052t1aiaff_H.mp4,1606245355.4995,1606245355.49457,1606245360.76157,1606245360.74689,NaN,NaN,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,med,064-ak064,ak064t1aiaff_M.mp4,4,1606245269.04154,1606245269.04345,1606245364.81311,1606245364.8175,2.40065407752991,1606245367.23069,1606245367.23399,high,h004.png,1606245368.23107,1606245368.21779,1606245370.93243,2.70135545730591,1606245372.2826,1606245372.28431,0.50056529045105,ak064t1aiaff_M.mp4,ak064t1aiaff_M.mp4,1606245374.03603,1606245374.03409,1606245379.30192,1606245379.28503,1606245381.2195,1.91756463050842,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,med,109-ib109,ib109t1afaff_M.mp4,4,1606245269.04154,1606245269.04345,1606245383.35346,1606245383.36744,1.30056428909302,1606245384.67062,1606245384.67203,high,h005.png,1606245385.671,1606245385.65772,1606245388.67249,3.00148272514343,1606245389.72254,1606245389.724,1.10078048706055,ib109t1afaff_M.mp4,ib109t1afaff_M.mp4,1606245392.07633,1606245392.07423,1606245397.34209,1606245397.32528,1606245400.26594,2.92384791374207,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,high,095-tv095,tv095t1afaff_H.mp4,6,1606245269.04154,1606245269.04345,1606245401.39362,1606245401.40056,2.30093240737915,1606245403.71116,1606245403.71294,high,h029.png,1606245404.71154,1606245404.69718,1606245408.13273,3.42118048667908,1606245408.76308,1606245408.76718,0.800860404968262,tv095t1afaff_H.mp4,tv095t1afaff_H.mp4,1606245410.8166,1606245410.81484,1606245416.08252,1606245416.06604,1606245419.58421,3.50167298316956,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,low,052-dr052,dr052t1aeunaff_L.mp4,2,1606245269.04154,1606245269.04345,1606245420.13405,1606245420.13568,2.60106706619263,1606245422.75171,1606245422.75371,high,h007.png,1606245423.75209,1606245423.73813,1606245426.83694,3.08484268188477,1606245427.80362,1606245427.80562,0.500741958618164,dr052t1aeunaff_L.mp4,dr052t1aeunaff_L.mp4,1606245429.55812,1606245429.5553,1606245434.82295,1606245434.80548,1606245437.94122,3.11825847625732,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,high,066-mg066,mg066t1aaaff_H.mp4,6,1606245269.04154,1606245269.04345,1606245438.87448,1606245438.88444,1.50092744827271,1606245440.39172,1606245440.39321,high,h015.png,1606245441.3921,1606245441.37894,1606245443.98279,2.59068560600281,1606245445.44364,1606245445.4456,0.500662565231323,mg066t1aaaff_H.mp4,mg066t1aaaff_H.mp4,1606245447.19679,1606245447.19518,1606245452.46296,1606245452.44585,1606245454.38285,1.91987800598145,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,med,103-jk103,jk103t2aaunaff_M.mp4,3,1606245269.04154,1606245269.04345,1606245456.5145,1606245456.51768,2.60100436210632,1606245459.13216,1606245459.13383,low,l017.png,1606245460.13254,1606245460.11865,NaN,NaN,1606245464.15073,1606245464.15268,0.600864887237549,jk103t2aaunaff_M.mp4,jk103t2aaunaff_M.mp4,1606245466.00495,1606245466.00256,1606245471.27009,1606245471.25348,1606245473.17098,1.90088057518005,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,low,109-ib109,ib109t1aiunaff_L.mp4,2,1606245269.04154,1606245269.04345,1606245475.32163,1606245475.33437,1.9007716178894,1606245477.23902,1606245477.24109,high,h011.png,1606245478.2394,1606245478.2264,NaN,NaN,1606245482.25759,1606245482.25955,2.70085644721985,ib109t1aiunaff_L.mp4,ib109t1aiunaff_L.mp4,1606245486.21128,1606245486.20933,1606245491.47775,1606245491.45999,1606245493.78328,2.30550336837769,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,high,064-ak064,ak064t1aaaff_H.mp4,5,1606245269.04154,1606245269.04345,1606245495.52929,1606245495.53462,2.00091433525085,1606245497.54672,1606245497.55145,low,l007.png,1606245498.5471,1606245498.53359,1606245500.64987,2.1027615070343,1606245502.59864,1606245502.60097,0.900959968566895,ak064t1aaaff_H.mp4,ak064t1aaaff_H.mp4,1606245504.75241,1606245504.75047,1606245510.01812,1606245510.0015,1606245512.55273,2.53460001945496,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,med,095-tv095,tv095t2afaff_M.mp4,4,1606245269.04154,1606245269.04345,1606245514.06965,1606245514.08486,4.40086650848389,1606245518.488,1606245518.48939,high,h028.png,1606245519.48838,1606245519.47463,1606245522.6731,3.18471455574036,1606245523.53991,1606245523.54134,2.60080718994141,tv095t2afaff_M.mp4,tv095t2afaff_M.mp4,1606245527.39344,1606245527.39157,1606245532.66004,1606245532.64232,1606245535.25007,2.59002470970154,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,high,109-ib109,ib109t1aiaff_H.mp4,5,1606245269.04154,1606245269.04345,1606245536.71158,1606245536.71801,3.80089473724365,1606245540.52969,1606245540.53074,low,l010.png,1606245541.53007,1606245541.51613,1606245544.30024,2.77016401290894,1606245545.58161,1606245545.58526,0.601103544235229,ib109t1aiaff_H.mp4,ib109t1aiaff_H.mp4,1606245547.43517,1606245547.43351,1606245552.70098,1606245552.68436,1606245554.8354,2.13441491127014,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,high,103-jk103,jk103t1aaaff_H.mp4,6,1606245269.04154,1606245269.04345,1606245556.75251,1606245556.75392,1.20076298713684,1606245557.96964,1606245557.97147,high,h017.png,1606245558.97002,1606245558.95594,NaN,NaN,1606245562.98821,1606245562.98988,2.70096564292908,jk103t1aaaff_H.mp4,jk103t1aaaff_H.mp4,1606245566.94152,1606245566.93986,1606245572.20838,1606245572.19126,1606245575.11717,2.90878033638,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,low,049-bm049,bm049t1afaff_L.mp4,1,1606245269.04154,1606245269.04345,1606245576.25992,1606245576.26882,2.50101518630981,1606245578.77754,1606245578.77931,low,l029.png,1606245579.77792,1606245579.76415,1606245581.76712,1.98919653892517,1606245583.82946,1606245583.83161,0.700898170471191,bm049t1afaff_L.mp4,bm049t1afaff_L.mp4,1606245585.78278,1606245585.78113,1606245591.04887,1606245591.03236,1606245594.85051,3.8016357421875,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,med,120-kz120,kz120t2aeaff_M.mp4,3,1606245269.04154,1606245269.04345,1606245595.40052,1606245595.40227,2.30091905593872,1606245597.71806,1606245597.71949,low,l002.png,1606245598.71844,1606245598.70498,1606245601.50313,2.78468060493469,1606245602.76998,1606245602.77194,0.7009117603302,kz120t2aeaff_M.mp4,kz120t2aeaff_M.mp4,1606245604.72385,1606245604.72186,1606245609.98939,1606245609.97286,1606245613.37431,3.38491344451904,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,med,066-mg066,mg066t2aaunaff_M.mp4,4,1606245269.04154,1606245269.04345,1606245614.04093,1606245614.05186,3.00075078010559,1606245617.05874,1606245617.06055,high,h010.png,1606245618.05912,1606245618.04439,1606245621.13416,3.07502746582031,1606245622.11066,1606245622.1125,0.600976943969727,mg066t2aaunaff_M.mp4,mg066t2aaunaff_M.mp4,1606245623.96468,1606245623.96248,1606245629.23003,1606245629.21353,1606245632.36735,3.13731813430786,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,high,047-jl047,jl047t1aiaff_H.mp4,5,1606245269.04154,1606245269.04345,1606245633.28157,1606245633.28557,1.40108013153076,1606245634.69877,1606245634.70281,low,l038.png,1606245635.69915,1606245635.68575,NaN,NaN,1606245639.71735,1606245639.71897,0.50097918510437,jl047t1aiaff_H.mp4,jl047t1aiaff_H.mp4,1606245641.47151,1606245641.46932,1606245646.73668,1606245646.72021,1606245649.78811,3.05141472816467,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,low,103-jk103,jk103t1aaunaff_L.mp4,2,1606245269.04154,1606245269.04345,1606245650.78822,1606245650.8024,1.00073862075806,1606245651.80527,1606245651.80713,high,h012.png,1606245652.80565,1606245652.79088,1606245656.29058,3.48491477966309,1606245656.85719,1606245656.85903,0.600736141204834,jk103t1aaunaff_L.mp4,jk103t1aaunaff_L.mp4,1606245658.71096,1606245658.70885,1606245663.97656,1606245663.95952,1606245667.23442,3.25784921646118,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,med,049-bm049,bm049t2aeaff_M.mp4,3,1606245269.04154,1606245269.04345,1606245668.04478,1606245668.04672,1.00102710723877,1606245669.06183,1606245669.06349,low,l016.png,1606245670.06221,1606245670.04889,1606245671.78455,1.72233009338379,1606245674.11375,1606245674.11965,0.500765800476074,bm049t2aeaff_M.mp4,bm049t2aeaff_M.mp4,1606245675.86764,1606245675.86555,1606245681.13308,1606245681.11606,1606245682.90117,1.76808023452759,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,low,064-ak064,ak064t1afunaff_L.mp4,1,1606245269.04154,1606245269.04345,1606245685.18462,1606245685.18601,1.10078144073486,1606245686.30171,1606245686.30362,low,l014.png,1606245687.30209,1606245687.28875,1606245689.25323,1.95112538337708,1606245691.35363,1606245691.3555,0.700903177261353,ak064t1afunaff_L.mp4,ak064t1afunaff_L.mp4,1606245693.30694,1606245693.3053,1606245698.57304,1606245698.55609,1606245701.87471,3.30165815353394,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,low,047-jl047,jl047t1aaunaff_L.mp4,1,1606245269.04154,1606245269.04345,1606245702.62458,1606245702.636,1.20089030265808,1606245703.84171,1606245703.84351,low,l049.png,1606245704.84209,1606245704.82828,NaN,NaN,1606245708.86029,1606245708.86214,2.50091528892517,jl047t1aaunaff_L.mp4,jl047t1aaunaff_L.mp4,1606245712.61362,1606245712.61194,1606245717.88038,1606245717.8628,1606245719.85147,1.97107195854187,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,high,049-bm049,bm049t2aeunaff_H.mp4,5,1606245269.04154,1606245269.04345,1606245721.93192,1606245721.93597,1.90106320381165,1606245723.84932,1606245723.85322,low,l012.png,1606245724.8497,1606245724.83713,1606245725.9682,1.11849522590637,1606245728.90124,1606245728.90287,1.30088114738464,bm049t2aeunaff_H.mp4,bm049t2aeunaff_H.mp4,1606245731.45492,1606245731.45297,1606245736.72088,1606245736.70412,1606245738.872,2.1511127948761,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,high,120-kz120,kz120t2aaaff_H.mp4,5,1606245269.04154,1606245269.04345,1606245740.77242,1606245740.78649,4.00092434883118,1606245744.79061,1606245744.79272,low,l004.png,1606245745.791,1606245745.7763,1606245748.52574,2.73473310470581,1606245749.84254,1606245749.84368,0.800952911376953,kz120t2aaaff_H.mp4,kz120t2aaaff_H.mp4,1606245751.89648,1606245751.89437,1606245757.16199,1606245757.14548,1606245759.93516,2.77315831184387,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,med,092-ch092,ch092t2aaaff_M.mp4,3,1606245269.04154,1606245269.04345,1606245761.21353,1606245761.21964,1.30090355873108,1606245762.53069,1606245762.5325,low,l013.png,1606245763.53107,1606245763.51765,1606245766.41838,2.88729882240295,1606245767.58262,1606245767.58666,0.600896835327148,ch092t2aaaff_M.mp4,ch092t2aaaff_M.mp4,1606245769.43621,1606245769.43443,1606245774.70199,1606245774.68462,1606245777.62008,2.9180748462677,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,high,092-ch092,ch092t2aiaff_H.mp4,5,1606245269.04154,1606245269.04345,1606245778.75353,1606245778.75484,1.60073471069336,1606245780.37081,1606245780.37267,low,l006.png,1606245781.37119,1606245781.35709,1606245783.10548,1.73428225517273,1606245785.42273,1606245785.42447,0.600894927978516,ch092t2aiaff_H.mp4,ch092t2aiaff_H.mp4,1606245787.27621,1606245787.27458,1606245792.54211,1606245792.52556,1606245794.88544,2.34332466125488,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,med,108-th108,th108t2aaunaff_M.mp4,3,1606245269.04154,1606245269.04345,1606245796.59365,1606245796.60371,2.50090932846069,1606245799.11128,1606245799.11299,low,l028.png,1606245800.11166,1606245800.09776,1606245801.90214,1.79047250747681,1606245804.1632,1606245804.16498,1.00101852416992,th108t2aaunaff_M.mp4,th108t2aaunaff_M.mp4,1606245806.41745,1606245806.41519,1606245811.68272,1606245811.6663,1606245813.75213,2.06939554214478,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,med,047-jl047,jl047t1aiunaff_M.mp4,3,1606245269.04154,1606245269.04345,1606245815.73427,1606245815.73686,1.20076084136963,1606245816.9514,1606245816.95337,low,l003.png,1606245817.95178,1606245817.93771,1606245820.55301,2.60122966766357,1606245822.00332,1606245822.00486,1.00081038475037,jl047t1aiunaff_M.mp4,jl047t1aiunaff_M.mp4,1606245824.25679,1606245824.2551,1606245829.52285,1606245829.5061,1606245831.72393,2.20107817649841,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,low,043-jh043,jh043t2aaunaff_L.mp4,2,1606245269.04154,1606245269.04345,1606245833.57439,1606245833.58678,1.50084161758423,1606245835.09163,1606245835.09343,high,h039.png,1606245836.10868,1606245836.07877,NaN,NaN,1606245840.12688,1606245840.12806,2.90100002288818,jh043t2aaunaff_L.mp4,jh043t2aaunaff_L.mp4,1606245844.28094,1606245844.27888,1606245849.54713,1606245849.52962,1606245852.66913,3.12198805809021,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,low,092-ch092,ch092t2aeaff_L.mp4,1,1606245269.04154,1606245269.04345,1606245853.59867,1606245853.60387,2.30081796646118,1606245855.91622,1606245855.92037,low,l048.png,1606245856.9166,1606245856.90297,1606245858.98578,2.06916761398315,1606245860.96815,1606245860.97037,0.700774669647217,ch092t2aeaff_L.mp4,ch092t2aeaff_L.mp4,1606245862.92188,1606245862.91977,1606245868.18756,1606245868.17051,NaN,NaN,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,low,low,120-kz120,kz120t2aaunaff_L.mp4,1,1606245269.04154,1606245269.04345,1606245872.20576,1606245872.20756,2.40092730522156,1606245874.62334,1606245874.625,low,l001.png,1606245875.62372,1606245875.60971,1606245877.70808,2.0843505859375,1606245879.67526,1606245879.67692,0.700889587402344,kz120t2aaunaff_L.mp4,kz120t2aaunaff_L.mp4,1606245881.62858,1606245881.62689,1606245886.89468,1606245886.87769,1606245889.7194,2.82471179962158,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,low,066-mg066,mg066t2aeunaff_L.mp4,2,1606245269.04154,1606245269.04345,1606245890.94622,1606245890.95432,1.70072078704834,1606245892.66354,1606245892.66529,high,h013.png,1606245893.66392,1606245893.65049,1606245896.08601,2.42208385467529,1606245897.71547,1606245897.72075,0.60101580619812,mg066t2aeunaff_L.mp4,mg066t2aeunaff_L.mp4,1606245899.5692,1606245899.56736,1606245904.83484,1606245904.81849,NaN,NaN,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,med,043-jh043,jh043t2aeunaff_M.mp4,4,1606245269.04154,1606245269.04345,1606245908.85304,1606245908.85488,1.20090627670288,1606245910.07017,1606245910.07194,high,h038.png,1606245911.07055,1606245911.05713,1606245912.52132,1.450758934021,1606245915.12209,1606245915.12372,0.801047086715698,jh043t2aeunaff_M.mp4,jh043t2aeunaff_M.mp4,1606245917.17581,1606245917.174,1606245922.44155,1606245922.42467,1606245925.64301,3.20145797729492,1606245944.04977,1606245944.05171,675.008238554001
1,1,1,3,1,high,high,108-th108,th108t1aeaff_H.mp4,6,1606245269.04154,1606245269.04345,1606245926.49309,1606245926.5046,1.00089311599731,1606245927.51014,1606245927.5119,high,h016.png,1606245928.51052,1606245928.49749,1606245931.16183,2.65129947662354,1606245932.56207,1606245932.56412,0.800762176513672,th108t1aeaff_H.mp4,th108t1aeaff_H.mp4,1606245934.61587,1606245934.61371,1606245939.88152,1606245939.8648,1606245943.48654,3.60501003265381,1606245944.04977,1606245944.05171,675.008238554001
