sub,ses,run,runtype,signature,condition,tr1,tr2,tr3,tr4,tr5,tr6,tr7,tr8,tr9,tr10,tr11,tr12,tr13,tr14,tr15,tr16,tr17,tr18,tr19,tr20,tr21,tr22,tr23,tr24,tr25,tr26,tr27,tr28,tr29,tr30,tr31,tr32,tr33,tr34,tr35,tr36,tr37,tr38,tr39,tr40,tr41,tr42
sub-0010,ses-04,run-02,pain,NPS,cueH_stimH,5.42257460424132e-13,-2.08773111039038e-11,-3.49395399411206e-12,8.24894121370851e-13,-4.27332248825211e-13,3.70295876691353e-14,3.95368572454816e-14,-4.23163482125375e-14,-3.75779744860509e-14,-2.63148467502802e-13,-6.2878285163583e-14,3.68526784136129e-14,-2.12701772186199e-14,-1.87285059061112e-14,-1.01306739796325e-15,-2.79264342576915e-15,-1.67308572340148e-14,-1.74835891261504e-14,-3.66413346325741e-15,-3.11466848046324e-15,-2.62437613166094e-14,-5.02134505941281e-15,3.35119049218793e-14,7.1839430295778e-15,-5.1540089481632e-15,2.76918609297977e-15,-7.73546186845427e-15,-3.49430261683903e-15,-2.89765231585412e-15,-9.39439813285073e-15,-6.71826330067984e-16,9.49285766464113e-15,-2.83166664222367e-15,5.34327922495678e-15,-8.57054132798539e-15,5.33633604652418e-15,2.94027141966206e-14,-6.90622707773108e-16,-1.82734871181977e-15,2.3912021421761e-15,2.24430722156329e-15,2.722736605604e-14
sub-0010,ses-04,run-02,pain,NPS,cueL_stimH,-1.72835101640183e-15,-2.83291361967434e-15,-1.08791347453342e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPS,cueH_stimM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPS,cueL_stimM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPS,cueH_stimL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPS,cueL_stimL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPS,rating,-51.3759584285773,-52.3652993823644,-93.5483602904168,-136.475411192898,-174.291746770445,-199.887738937578,-205.192843758267,-249.033344111842,-281.526414046033,-338.265587712389,-349.583992518458,-329.448014561968,-330.006373032241,-377.72747642322,-359.769996223651,-394.090352148606,-291.651655273422,-375.583144572891,-271.664878665442,-321.191201464949,-239.815943236355,-218.945787803884,-184.696050250749,-176.246204414042,-148.83615747652,-119.451905893695,-130.654541381891,-124.831564897947,-144.044397154821,-107.817217185736,-167.105162166345,-105.565115924567,-139.158965446404,-50.2807382079659,-98.1295735770848,-109.810825555461,-108.537993176604,-74.9257948020716,-58.2778806999276,-106.030575096789,-38.9094204848988,-74.3383257705629
sub-0010,ses-04,run-02,pain,NPS,cueH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPS,cueL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPSpos,cueH_stimH,1.10256706330317e-12,-4.96766436815996e-11,-7.08749591146993e-12,1.31473657423562e-12,-4.82987333945335e-13,1.20218780790119e-13,-6.44779980930504e-14,-1.27432520391146e-13,9.1649029026619e-15,-3.30694936568903e-14,-2.41519699537777e-14,3.59339026268244e-14,-4.42256401237153e-14,-8.66457293436467e-16,-1.84286396820395e-15,2.32088274056234e-15,-2.05889973484231e-14,-2.26435948394637e-14,-2.56232306932409e-15,-3.40881898241428e-15,-1.99841663325347e-14,-1.94230906350753e-15,4.19989780507442e-14,4.19238722323939e-15,7.39511522391256e-15,9.79221509223764e-15,6.23567516718878e-15,1.97745325803255e-15,-1.44662169057482e-14,-3.91133848429707e-15,-1.74759205945621e-14,3.32065004349938e-14,3.43491183977e-15,2.19206522252942e-15,-8.05819880807592e-15,1.4325342910495e-14,2.64000727993324e-14,-2.23495961600704e-15,2.97094716305125e-14,-2.00921893366579e-16,-9.81130892801632e-16,2.056325653617e-14
sub-0010,ses-04,run-02,pain,NPSpos,cueL_stimH,-4.1619488759703e-15,6.76147235421769e-16,-8.65595055929576e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPSpos,cueH_stimM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPSpos,cueL_stimM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPSpos,cueH_stimL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub-0010,ses-04,run-02,pain,NPSpos,cueL_stimL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
