onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
4.09	0.98	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h021.png	n/a	n/a	n/a
33.49	0.99	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l041.png	n/a	n/a	n/a
71.58	0.99	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h026.png	n/a	n/a	n/a
105.58	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h053.png	n/a	n/a	n/a
132.79	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h008.png	n/a	n/a	n/a
163.28	0.99	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h024.png	n/a	n/a	n/a
196.88	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l021.png	n/a	n/a	n/a
231.39	0.98	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l027.png	n/a	n/a	n/a
270.39	0.98	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h031.png	n/a	n/a	n/a
297.68	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l053.png	n/a	n/a	n/a
327.18	1.0	cue	11	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l003.png	n/a	n/a	n/a
372.58	1.0	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l028.png	n/a	n/a	n/a
7.21	2.4	expectrating	1	high_cue	n/a	40.73	Strong	40.73	Strong	0.72	1.69	h021.png	n/a	n/a	n/a
36.59	1.93	expectrating	2	low_cue	n/a	10.83	Moderate	10.83	Moderate	0.57	1.36	l041.png	n/a	n/a	n/a
73.58	1.48	expectrating	3	high_cue	n/a	21.41	Moderate	21.41	Moderate	0.33	1.15	h026.png	n/a	n/a	n/a
108.7	0.98	expectrating	4	high_cue	n/a	27.49	Moderate	27.49	Moderate	0.12	0.87	h053.png	n/a	n/a	n/a
135.89	2.21	expectrating	5	high_cue	n/a	70.84	Very Strong	70.84	Very Strong	0.15	2.06	h008.png	n/a	n/a	n/a
165.28	2.01	expectrating	6	high_cue	n/a	30.62	Strong	30.62	Strong	1.23	0.78	h024.png	n/a	n/a	n/a
199.3	1.0	expectrating	7	low_cue	n/a	1.71	Barely detectable	1.71	Barely detectable	0.05	0.95	l021.png	n/a	n/a	n/a
234.29		expectrating	8	low_cue	n/a			14.13	Moderate	0.05	2.38	l027.png	n/a	n/a	n/a
272.19	1.45	expectrating	9	high_cue	n/a	24.87	Moderate	24.87	Moderate	0.05	1.4	h031.png	n/a	n/a	n/a
300.18	0.88	expectrating	10	low_cue	n/a	18.29	Moderate	18.29	Moderate	0.23	0.64	l053.png	n/a	n/a	n/a
329.1	1.68	expectrating	11	low_cue	n/a	9.95	Weak	9.95	Weak	0.05	1.63	l003.png	n/a	n/a	n/a
374.6	1.05	expectrating	12	low_cue	n/a	9.15	Weak	9.15	Weak	0.37	0.68	l028.png	n/a	n/a	n/a
14.49	7.0	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	12_100_R.jpg	diff	diff	True
49.49	7.0	stimulus	2	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	34_50_R.jpg	diff	diff	True
86.49	7.0	stimulus	3	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	12_50_R.jpg	diff	diff	True
119.88	7.0	stimulus	4	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	34_150.jpg	same	same	True
143.19	7.0	stimulus	5	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	43_50_R.jpg	diff	same	False
176.49	7.0	stimulus	6	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	27_100.jpg	same	diff	False
207.88	7.0	stimulus	7	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	31_150_R.jpg	diff	diff	True
242.88	7.0	stimulus	8	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	29_100_R.jpg	diff	diff	True
280.79	6.99	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	41_150_R.jpg	diff		False
308.29	7.0	stimulus	10	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	8_100.jpg	same	same	True
346.59	7.0	stimulus	11	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	41_50.jpg	same	same	True
386.38	7.0	stimulus	12	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	8_150.jpg	same	diff	False
23.7	1.63	outcomerating	1	high_cue	med_stim	9.54	Weak	9.54	Weak	0.68	0.95	task-cognitive_scale.png	n/a	n/a	n/a
62.4	3.72	outcomerating	2	low_cue	low_stim	8.59	Weak	8.59	Weak	1.95	1.77	task-cognitive_scale.png	n/a	n/a	n/a
97.09		outcomerating	3	high_cue	low_stim							task-cognitive_scale.png	n/a	n/a	n/a
127.49	1.99	outcomerating	4	high_cue	high_stim	12.13	Moderate	12.13	Moderate	0.95	1.04	task-cognitive_scale.png	n/a	n/a	n/a
152.4		outcomerating	5	high_cue	low_stim							task-cognitive_scale.png	n/a	n/a	n/a
184.49	3.19	outcomerating	6	high_cue	med_stim	52.5	Strong	52.5	Strong	0.38	2.8	task-cognitive_scale.png	n/a	n/a	n/a
224.39	1.81	outcomerating	7	low_cue	high_stim	7.18	Weak	7.18	Weak	0.88	0.92	task-cognitive_scale.png	n/a	n/a	n/a
256.99	2.53	outcomerating	8	low_cue	med_stim	9.74	Weak	9.74	Weak	1.67	0.86	task-cognitive_scale.png	n/a	n/a	n/a
292.38	1.8	outcomerating	9	high_cue	high_stim	9.58	Weak	9.58	Weak	0.33	1.47	task-cognitive_scale.png	n/a	n/a	n/a
317.99	1.62	outcomerating	10	low_cue	med_stim	5.13	Weak	5.13	Weak	0.88	0.74	task-cognitive_scale.png	n/a	n/a	n/a
366.99	3.17	outcomerating	11	low_cue	low_stim	2.18	Barely detectable	2.18	Barely detectable	2.55	0.62	task-cognitive_scale.png	n/a	n/a	n/a
394.39	2.73	outcomerating	12	low_cue	high_stim	29.35	Strong	29.35	Strong	0.97	1.76	task-cognitive_scale.png	n/a	n/a	n/a
