onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
7.91	0.98	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h040.png
37.6	0.99	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l054.png
66.7	0.99	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h003.png
95.51	0.98	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l045.png
125.9	0.99	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h054.png
151.99	0.99	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l029.png
187.51	0.98	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l001.png
223.4	0.98	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l042.png
259.3	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h001.png
291.7	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l041.png
328.69	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h033.png
369.59	1.0	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h022.png
10.11	2.62	expectrating	1	high_cue	n/a	85.18	Very Strong	85.18	Very Strong	0.87	1.75	h040.png
40.0	2.3	expectrating	2	low_cue	n/a	41.92	Strong	41.92	Strong	0.62	1.68	l054.png
68.9	2.59	expectrating	3	high_cue	n/a	60.45	Strong	60.45	Strong	0.62	1.97	h003.png
99.01	2.38	expectrating	4	low_cue	n/a	5.05	Weak	5.05	Weak	0.83	1.55	l045.png
127.6	3.18	expectrating	5	high_cue	n/a	87.64	Very Strong	87.64	Very Strong	0.87	2.32	h054.png
155.5	2.69	expectrating	6	low_cue	n/a	16.83	Moderate	16.83	Moderate	0.53	2.16	l029.png
189.71	2.88	expectrating	7	low_cue	n/a	6.47	Weak	6.47	Weak	0.68	2.19	l001.png
225.61	2.55	expectrating	8	low_cue	n/a	9.85	Weak	9.85	Weak	0.57	1.98	l042.png
262.8	2.83	expectrating	9	high_cue	n/a	97.24	Very Strong	97.24	Very Strong	0.58	2.25	h001.png
294.1	2.64	expectrating	10	low_cue	n/a	1.38	Barely detectable	1.38	Barely detectable	0.57	2.07	l041.png
331.09	2.44	expectrating	11	high_cue	n/a	83.99	Very Strong	83.99	Very Strong	0.48	1.96	h033.png
371.61		expectrating	12	high_cue	n/a							h022.png
20.79	7.01	stimulus	1	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aeaff_L.mp4
47.39	7.02	stimulus	2	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jh043t2aeunaff_M.mp4
81.89	7.01	stimulus	3	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ib109t1aiunaff_L.mp4
107.59	7.01	stimulus	4	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jl047t1aiunaff_M.mp4
134.2	7.01	stimulus	5	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ch092t2aiaff_H.mp4
169.69	7.01	stimulus	6	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	mg066t2aeunaff_L.mp4
203.89	7.01	stimulus	7	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jl047t1aiaff_H.mp4
232.19	7.0	stimulus	8	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ch092t2aeaff_L.mp4
271.39	7.0	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aaaff_H.mp4
301.69	7.01	stimulus	10	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	bg096t1aeaff_H.mp4
