,Unnamed: 0,administer,cue_type,cue_image,random_order,trial_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,50,low,h036_M091_STD041.png,33,5,pain,99,1,1,675.3984375,358.04296875,9874.94640998,4.0060626169997695,0,0,0,0,0,0,0,0,0,9892.057432524,,
1,1,48,high,h021_M092_STD054.png,10,2,pain,99,1,1,539.02734375,429.703125,9896.186629179001,4.0170049570006094,0,0,0,0,0,0,0,0,0,9913.326794892,9915.334187756,1.96543001100144
2,2,49,high,h003_M083_STD036.png,20,4,pain,99,1,1,485.9765625,517.82421875,9917.384925445,4.01755976599998,0,0,0,0,0,0,0,0,0,9934.481697616999,9937.267125948001,2.7488664440006696
3,3,50,high,h045_M075_STD059.png,28,6,pain,99,1,1,484.5390625,524.8046875,9938.534442113001,4.01718299999993,0,0,0,0,0,0,0,0,0,9955.642264214,9958.61644314,2.9301226409988903
4,4,49,low,h022_M097_STD045.png,17,3,pain,99,1,1,518.81640625,462.65625,9959.703531567,4.01540038799976,0,0,0,0,0,0,0,0,0,9977.153839168,9978.899173177,1.7130356010002301
5,5,48,high,h018_M121_STD044.png,2,2,pain,99,1,1,478.58984375,540.015625,9981.202189325,4.0148847219989,0,0,0,0,0,0,0,0,0,9998.331527051,10001.182572481,2.8133415379997997
6,6,49,low,h049_M074_STD036.png,21,3,pain,99,1,1,490.50390625,509.046875,10002.383469346,4.0169948370003095,0,0,0,0,0,0,0,0,0,10019.511437003,10022.149368979,2.60027708199959
7,7,50,low,h053_M101_STD038.png,25,5,pain,99,1,1,485.4140625,524.5390625,10023.566324388,4.01755159899949,0,0,0,0,0,0,0,0,0,10040.689497622,10042.732452672,2.016660624
8,8,50,high,h014_M107_STD026.png,24,6,pain,99,1,1,500.19921875,500.80078125,10044.716137551999,4.01734691999991,0,0,0,0,0,0,0,0,0,10061.811590128,10063.198352042,1.34889368200129
9,9,50,high,h034_M073_STD052.png,30,6,pain,99,1,1,500.87890625,486.125,10065.865618563,4.01773940800012,0,0,0,0,0,0,0,0,0,10082.986291502,10085.415437982,2.39618677600083
