,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,13,50,different,low,h024_M052_STD043.png,7,1,cognitive,99,1,13_50_R.jpg,1,481.37109375,492.01171875,59272.907035535995,2.00379831199825,0,0,0,0,0,0,59279.537341475,1,4.46557335399848,59280.573349916,,
1,1,13,150,same,low,h038_M092_STD055.png,25,5,cognitive,99,1,13_150.jpg,1,469.39453125,583.73046875,59284.722259107,2.00133078599902,0,0,0,0,0,0,59291.769571382,2,4.999651092999559,59292.27159038599,59294.171109622,1.8669264390046
2,2,1,50,different,low,h041_M097_STD050.png,11,1,cognitive,99,1,1_50_R.jpg,1,462.83984375,590.0859375,59296.320820729,2.00133773100242,0,0,0,0,0,0,59303.369349181,1,4.99940150999464,59303.870554837995,59305.621305488,1.7177164940003402
3,3,25,150,same,high,h050_M081_STD047.png,24,6,cognitive,99,1,25_150.jpg,1,460.58984375,575.359375,59307.920512837,2.00186948000191,0,0,0,0,0,0,59314.968988440996,1,4.99943177700334,59315.47138368,59317.85357293401,2.35051724300138
4,4,6,150,different,low,h013_M110_STD031.png,35,5,cognitive,99,1,6_150_R.jpg,1,470.0703125,572.03515625,59319.520531755,2.00067055699765,0,0,0,0,0,0,59326.56897903,1,4.9995525550039,59327.07075604,59329.370562266,2.2678759059999702
5,5,34,50,same,high,h014_M093_STD052.png,4,2,cognitive,99,1,34_50.jpg,1,472.7421875,577.375,59331.119865955996,2.0011348779953604,0,0,0,0,0,0,59338.153016294,2,4.999646002004741,59338.654742930994,59340.336946937,1.65046438499849
6,6,3,50,same,high,h017_M101_STD047.png,2,2,cognitive,99,1,3_50.jpg,1,465.85546875,593.50390625,59342.703430812006,2.0011375239992,0,0,0,0,0,0,59349.736133617,2,4.99991620799847,59350.236995604006,59351.769786467004,1.5007434519939098
7,7,11,50,same,high,h004_M104_STD055.png,0,2,cognitive,99,1,11_50.jpg,1,466.75390625,593.22265625,59354.286564776,2.00113420699927,0,0,0,0,0,0,59361.319423131,2,4.99998530499579,59361.820342749,59363.770080638,1.91766801899939
8,8,8,150,different,low,h018_M104_STD037.png,31,5,cognitive,99,1,8_150_R.jpg,1,470.53125,569.9296875,59365.869985421,2.00059119800426,0,0,0,0,0,0,59372.90262989901,1,4.9999490539994405,59373.404438527,59375.285596375,1.84973637599614
9,9,8,100,same,low,h008_M112_STD044.png,13,3,cognitive,99,1,8_100.jpg,1,463.07421875,584.265625,59377.453126124004,2.0011396140034803,0,0,0,0,0,0,59384.485633162,2,4.99961992200406,59384.987434662995,59386.818968203,1.79962623200117
