,Unnamed: 0,video_subject,administer,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,image_glob,video_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,109-ib109,low,high,h007_M100_STD036.png,4,2,vicarious,99,ib109*L.mp4,ib109t1aiunaff_L.mp4,1,462.6171875,598.47265625,59908.37989477,4.00625733600464,0,0,0,0,0,0,0,0,0,59916.453445650994,59919.194448097005,2.63349816200207
1,1,052-dr052,low,low,h020_M086_STD033.png,9,1,vicarious,99,dr052*L.mp4,dr052t1aeunaff_L.mp4,1,466.36328125,586.796875,59920.562112478,4.01722085099755,0,0,0,0,0,0,0,0,0,59928.622388945994,59930.794011067,2.15036010800395
2,2,124-dn124,high,high,h015_M113_STD037.png,34,6,vicarious,99,dn124*H.mp4,dn124t1aiaff_H.mp4,1,470.94921875,570.85546875,59932.64526367,4.01652849600214,0,0,0,0,0,0,0,0,0,59940.704484262,59943.493907392,2.76651353500347
3,3,107-hs107,low,low,h034_M088_STD038.png,7,1,vicarious,99,hs107*L.mp4,hs107t2aeunaff_L.mp4,1,467.76953125,570.50390625,59944.728258392,4.01729293999961,0,0,0,0,0,0,0,0,0,59952.787603548,59955.543753459,2.73308165200433
4,4,066-mg066,high,low,h054_M080_STD041.png,31,5,vicarious,99,mg066*H.mp4,mg066t1aaaff_H.mp4,1,546.87109375,438.640625,59956.83135438,4.0143288049948795,0,0,0,0,0,0,0,0,0,59964.889531265995,59967.26063003099,2.3509584119965403
5,5,066-mg066,low,high,h016_M099_STD043.png,10,2,vicarious,99,mg066*L.mp4,mg066t2aeunaff_L.mp4,1,473.58203125,586.6640625,59968.911856180996,4.01604903399857,0,0,0,0,0,0,0,0,0,59976.970519562004,59979.260737127996,2.2673865710021297
6,6,043-jh043,med,high,h044_M077_STD044.png,20,4,vicarious,99,jh043*M.mp4,jh043t2aeunaff_M.mp4,1,471.09375,583.09765625,59981.010599522,4.01736884599813,0,0,0,0,0,0,0,0,0,59989.068919033,59990.72635654901,1.6326883799993102
7,7,108-th108,med,high,h009_M103_STD035.png,12,4,vicarious,99,th108*M.mp4,th108t2aaunaff_M.mp4,1,461.5078125,586.46484375,59993.110237112,4.01671408700349,0,0,0,0,0,0,0,0,0,60001.153198545,60003.243619987,2.06788452600449
8,8,108-th108,low,low,h002_M104_STD057.png,3,1,vicarious,99,th108*L.mp4,th108t1aaunaff_L.mp4,1,466.5,585.546875,60005.177258502,4.0162300329975595,0,0,0,0,0,0,0,0,0,60013.23423217599,60016.276306419,3.01672038599645
9,9,109-ib109,high,low,h019_M102_STD031.png,33,5,vicarious,99,ib109*H.mp4,ib109t1aiaff_H.mp4,1,537.51171875,444.9296875,60017.276669711,4.017154510001999,0,0,0,0,0,0,0,0,0,60025.335418762,60028.05988891,2.7005073520049305
10,10,123-jh123,low,high,h045_M117_STD031.png,8,2,vicarious,99,jh123*L.mp4,jh123t1aaunaff_L.mp4,1,465.68359375,595.56640625,60029.359906667,4.01663345700217,0,0,0,0,0,0,0,0,0,60036.251631275,60037.644141755,1.3679081619993703
11,11,049-bm049,low,high,h008_M093_STD031.png,0,2,vicarious,99,bm049*L.mp4,bm049t1afaff_L.mp4,1,474.61328125,554.9765625,60040.276509315,4.0174048359986,0,0,0,0,0,0,0,0,0,60048.333311342,60051.242804632006,2.8839565329981296
12,12,042-ll042,med,low,h046_M079_STD053.png,17,3,vicarious,99,ll042*M.mp4,ll042t1afunaff_M.mp4,1,463.98828125,598.21875,60052.359546661,4.01743922199967,0,0,0,0,0,0,0,0,0,60060.419683727,60062.425213164,1.9826087620022
13,13,108-th108,high,high,h033_M120_STD051.png,24,6,vicarious,99,th108*H.mp4,th108t1aeaff_H.mp4,1,687.16015625,371.015625,60064.443768437,4.01644971300266,0,0,0,0,0,0,0,0,0,60072.500942210994,60075.17575051,2.6504148300009502
14,14,097-gf097,low,low,h017_M078_STD029.png,5,1,vicarious,99,gf097*L.mp4,gf097t2aiunaff_L.mp4,1,475.1640625,551.5546875,60076.525884382005,4.01871132100496,0,0,0,0,0,0,0,0,0,60084.58507299,60087.092320654,2.48400424199644
15,15,124-dn124,med,low,h016_M092_STD034.png,23,3,vicarious,99,dn124*M.mp4,dn124t1aeunaff_M.mp4,1,470.0859375,590.63671875,60088.61014938,4.01757478599757,0,0,0,0,0,0,0,0,0,60096.419667026,60098.525239335,2.08294834600383
16,16,123-jh123,med,high,h040_M112_STD041.png,22,4,vicarious,99,jh123*M.mp4,jh123t2aaaff_M.mp4,1,476.6171875,570.9296875,60100.458912327005,4.01747463599895,0,0,0,0,0,0,0,0,0,60108.517594487996,60110.625392313,2.08389365499897
17,17,107-hs107,high,low,h038_M113_STD042.png,27,5,vicarious,99,hs107*H.mp4,hs107t1afaff_H.mp4,1,726.17578125,362.1640625,60112.542193445996,4.01655320999998,0,0,0,0,0,0,0,0,0,60120.597298104,60121.824566425,1.1996020110018402
18,18,042-ll042,high,high,h006_M091_STD053.png,28,6,vicarious,99,ll042*H.mp4,ll042t1aiaff_H.mp4,1,772.48828125,372.05859375,60124.625837964006,4.0170258520011,0,0,0,0,0,0,0,0,0,60132.685579332996,60134.791595965,2.08376450299693
19,19,049-bm049,med,low,h035_M119_STD041.png,13,3,vicarious,99,bm049*M.mp4,bm049t2aeaff_M.mp4,1,531.0390625,451.14453125,60136.708268865994,4.01874737299659,0,0,0,0,0,0,0,0,0,60144.097336855,60146.441146582,2.3170912630012004
20,20,066-mg066,med,low,h021_M094_STD045.png,21,3,vicarious,99,mg066*M.mp4,mg066t2aaunaff_M.mp4,1,465.546875,581.5234375,60148.124910739,4.01752974199917,0,0,0,0,0,0,0,0,0,60156.184254994005,60158.307433582,2.09988420800073
21,21,049-bm049,high,high,h002_M119_STD036.png,26,6,vicarious,99,bm049*H.mp4,bm049t2aeunaff_H.mp4,1,477.55859375,536.03515625,60160.224764916,4.017031903000319,0,0,0,0,0,0,0,0,0,60168.281999243,60169.956898497,1.6492458479988301
22,22,042-ll042,low,high,h043_M086_STD027.png,2,2,vicarious,99,ll042*L.mp4,ll042t1aaunaff_L.mp4,1,538.44140625,440.9140625,60172.308076846,4.01741174999916,0,0,0,0,0,0,0,0,0,60180.367660225,60182.040050824005,1.64957172799768
23,23,120-kz120,high,low,h010_M081_STD027.png,35,5,vicarious,99,kz120*H.mp4,kz120t2aaaff_H.mp4,1,632.359375,378.953125,60184.391082366,4.01757555900258,0,0,0,0,0,0,0,0,0,60192.448561352,60193.856504479,1.3830478489981002
24,24,097-gf097,med,high,h010_M069_STD038.png,18,4,vicarious,99,gf097*M.mp4,gf097t1aiaff_M.mp4,1,588.8046875,403.58984375,60196.474354212995,4.01850554299745,0,0,0,0,0,0,0,0,0,60204.511812612,60206.040886662995,1.51858610500494
25,25,052-dr052,high,high,h023_M110_STD061.png,32,6,vicarious,99,dr052*H.mp4,dr052t1aiaff_H.mp4,1,772.64453125,372.05859375,60208.524231120995,4.01737655000034,0,0,0,0,0,0,0,0,0,60216.583785959,60218.356577743,1.75004933799937
26,26,043-jh043,high,low,h006_M100_STD019.png,29,5,vicarious,99,jh043*H.mp4,jh043t2aeaff_H.mp4,1,767.33984375,359.578125,60220.607256145995,4.01757865199761,0,0,0,0,0,0,0,0,0,60228.666587334,60230.791392173,2.10148057100014
27,27,124-dn124,low,high,h026_M075_STD041.png,6,2,vicarious,99,dn124*L.mp4,dn124t1aaunaff_L.mp4,1,464.98828125,605.6953125,60232.690560463,4.0173527529987005,0,0,0,0,0,0,0,0,0,60240.748473897,60242.156671325,1.3841012630000502
28,28,120-kz120,med,low,h023_M087_STD034.png,15,3,vicarious,99,kz120*M.mp4,kz120t2aeaff_M.mp4,1,473.25,564.09765625,60244.774936532005,4.01553246399999,0,0,0,0,0,0,0,0,0,60252.831863659005,60255.406549544,2.55024629300169
29,29,052-dr052,med,high,h051_M091_STD024.png,16,4,vicarious,99,dr052*M.mp4,dr052t2aaaff_M.mp4,1,470.875,572.6953125,60256.87328131,4.01868492900394,0,0,0,0,0,0,0,0,0,60264.932305687995,60267.172643,2.21652988799906
30,30,123-jh123,high,high,h056_M108_STD025.png,30,6,vicarious,99,jh123*H.mp4,jh123t1aeaff_H.mp4,1,670.5546875,369.8984375,60268.956474742,4.01777327899617,0,0,0,0,0,0,0,0,0,60277.016807691,60278.255954543,1.21698784299952
31,31,043-jh043,low,low,h036_M094_STD048.png,1,1,vicarious,99,jh043*L.mp4,jh043t2aaunaff_L.mp4,1,486.6640625,526.265625,60281.039755292004,4.01772566100408,0,0,0,0,0,0,0,0,0,60289.09888501099,60291.389235215,2.26717177499813
32,32,120-kz120,low,low,h011_M070_STD046.png,11,1,vicarious,99,kz120*L.mp4,kz120t2aaunaff_L.mp4,1,471.484375,556.28515625,60293.12299746901,4.017343149003859,0,0,0,0,0,0,0,0,0,60300.295824397,60303.289187623,2.96694696299528
33,33,097-gf097,high,low,h025_M102_STD045.png,25,5,vicarious,99,gf097*H.mp4,gf097t2aaunaff_H.mp4,1,472.89453125,551.6640625,60304.323002095,4.0172760929999605,0,0,0,0,0,0,0,0,0,60312.381579805,60314.23859232599,1.8335458889996499
34,34,107-hs107,med,high,h046_M091_STD041.png,14,4,vicarious,99,hs107*M.mp4,hs107t2aaaff_M.mp4,1,740.7734375,371.078125,60316.406000917996,4.01648737299547,0,0,0,0,0,0,0,0,0,60324.464342347004,60326.15582887099,1.66767188200174
35,35,109-ib109,med,low,h012_M093_STD039.png,19,3,vicarious,99,ib109*M.mp4,ib109t1afaff_M.mp4,1,464.21875,571.69921875,60328.489018234,4.01789215399913,0,0,0,0,0,0,0,0,0,60336.548061682995,60338.138859379,1.5668001920057602
