src_subject_id,session_id,param_task_name,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_stimulus_type,param_cond_type,param_trigger_onset,param_start_biopac,ITI_onset,ITI_biopac,ITI_duration,event01_cue_onset,event01_cue_biopac,event01_cue_type,event01_cue_filename,ISI01_onset,ISI01_biopac,ISI01_duration,event02_expect_displayonset,event02_expect_biopac,event02_expect_responseonset,event02_expect_RT,event02_expect_angle,event02_expect_angle_label,ISI02_onset,ISI02_biopac,ISI02_duration,event03_stimulus_type,event03_stimulus_displayonset,event03_stimulus_biopac,event03_stimulus_C_stim_match,event03_stimulusC_response,event03_stimulusC_responsekeyname,event03_stimulusC_reseponseonset,event03_stimulusC_RT,ISI03_onset,ISI03_biopac,ISI03_duration,event04_actual_displayonset,event04_actual_biopac,event04_actual_responseonset,event04_actual_RT,event04_actual_angle,event04_actual_angle_label,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event03_stimulus_P_trigger,event03_stimulus_P_delay_between_medoc,event03_stimulus_V_patientid,event03_stimulus_V_filename,event03_stimulus_C_stim_num,event03_stimulus_C_stim_filename,param_C_stim_num,event03_C_stim_match,event03_C_stim_filename
104,1,cognitive,3,4,1,low_cue,low_stim,1,1643666741.31076,1643666741.31217,1643666744.09373,1643666744.10414,11.3927171230316,1643666755.49798,1643666755.50418,low_cue,l047.png,1643666756.48769,1643666756.48918,0.798748970031738,1643666757.31532,1643666757.31979,NaN,NaN,NaN,FIX,1643666761.33349,1643666761.33668,0.553008079528809,low_stim,1643666763.91778,1643666763.91926,,NaN,NaN,NaN,NaN,1643666770.90372,1643666770.90604,5.68272018432617,1643666776.60585,1643666776.60693,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,47,same,47_50.jpg
104,1,cognitive,3,4,1,low_cue,med_stim,2,1643666741.31076,1643666741.31217,1643666780.64069,1643666780.64256,1.24575567245483,1643666781.90783,1643666781.90989,low_cue,l031.png,1643666782.88761,1643666782.88924,1.99883413314819,1643666784.90895,1643666784.91037,NaN,NaN,NaN,FIX,1643666788.92711,1643666788.9287,0.559332132339478,med_stim,1643666791.49474,1643666791.50325,,1,left,1643666793.78284,2.28810715675354,1643666798.49735,1643666798.50373,6.48909592628479,1643666804.99977,1643666805.00265,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,27,same,27_100.jpg
104,1,cognitive,3,4,1,high_cue,med_stim,5,1643666741.31076,1643666741.31217,1643666809.03461,1643666809.03718,4.45183420181274,1643666813.50294,1643666813.5052,high_cue,h026.png,1643666814.48768,1643666814.48916,1.99878287315369,1643666816.50406,1643666816.50518,NaN,NaN,NaN,FIX,1643666820.52223,1643666820.52379,4.86421513557434,med_stim,1643666827.40813,1643666827.40982,,1,left,1643666831.29007,3.88193583488464,1643666834.39407,1643666834.40395,2.79237604141235,1643666837.21179,1643666837.21254,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,47,diff,47_100_R.jpg
104,1,cognitive,3,4,1,low_cue,high_stim,3,1643666741.31076,1643666741.31217,1643666841.24662,1643666841.25389,9.03982138633728,1643666850.3,1643666850.3042,low_cue,l040.png,1643666851.28761,1643666851.2892,0.898838043212891,1643666852.20071,1643666852.2028,NaN,NaN,NaN,FIX,1643666856.21887,1643666856.2204,3.36757111549377,high_stim,1643666861.60422,1643666861.60537,,2,right,1643666864.38833,2.78411793708801,1643666868.60683,1643666868.60884,3.17961812019348,1643666871.80802,1643666871.80907,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,10,same,10_150.jpg
104,1,cognitive,3,4,1,high_cue,med_stim,5,1643666741.31076,1643666741.31217,1643666875.84286,1643666875.84564,10.5435855388641,1643666886.39679,1643666886.40441,high_cue,h004.png,1643666887.38826,1643666887.39066,0.698187828063965,1643666888.1141,1643666888.11507,NaN,NaN,NaN,FIX,1643666892.13227,1643666892.13745,2.45417737960815,med_stim,1643666896.61727,1643666896.61901,,1,left,1643666899.69204,3.07476902008057,1643666903.60321,1643666903.60628,4.18323445320129,1643666907.80478,1643666907.81948,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,38,same,38_100.jpg
104,1,cognitive,3,4,1,low_cue,high_stim,3,1643666741.31076,1643666741.31217,1643666911.83962,1643666911.85335,0.846829414367676,1643666912.70661,1643666912.70832,low_cue,l055.png,1643666913.68733,1643666913.68858,2.09911203384399,1643666915.80776,1643666915.80901,NaN,NaN,NaN,FIX,1643666919.82593,1643666919.82688,2.16051816940308,high_stim,1643666923.99415,1643666924.00269,,2,right,1643666927.21236,3.21821355819702,1643666930.99676,1643666931.00387,4.78968358039856,1643666935.79855,1643666935.80321,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,11,same,11_150.jpg
104,1,cognitive,3,4,1,low_cue,low_stim,1,1643666741.31076,1643666741.31217,1643666939.83339,1643666939.8368,1.25305438041687,1643666941.10053,1643666941.10327,low_cue,l054.png,1643666942.08735,1643666942.08875,1.99909901618958,1643666944.10165,1643666944.10275,NaN,NaN,NaN,FIX,1643666948.11981,1643666948.12105,9.36663198471069,low_stim,1643666959.50739,1643666959.50849,,2,right,1643666962.58012,3.07272481918335,1643666966.49333,1643666966.50324,5.8931131362915,1643666972.41221,1643666972.4132,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,11,same,11_50.jpg
104,1,cognitive,3,4,1,high_cue,high_stim,6,1643666741.31076,1643666741.31217,1643666976.44704,1643666976.45341,1.63940334320068,1643666978.09766,1643666978.10375,high_cue,h044.png,1643666979.08734,1643666979.08859,0.699103832244873,1643666979.79829,1643666979.80302,NaN,NaN,NaN,FIX,1643666983.81646,1643666983.81969,0.769987106323242,high_stim,1643666986.60083,1643666986.60293,,2,right,1643666989.36983,2.76899790763855,1643666993.60344,1643666993.60527,3.18300342559814,1643666996.80463,1643666996.80587,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,5,same,5_150.jpg
104,1,cognitive,3,4,1,high_cue,high_stim,6,1643666741.31076,1643666741.31217,1643667000.83947,1643667000.84127,4.6469714641571,1643667005.50788,1643667005.5093,high_cue,h022.png,1643667006.48731,1643667006.48857,1.9991340637207,1643667008.509,1643667008.51021,NaN,NaN,NaN,FIX,1643667012.52716,1643667012.52862,6.25928044319153,high_stim,1643667020.79691,1643667020.80304,,2,right,1643667025.70743,4.91052007675171,1643667027.79953,1643667027.80354,3.98691821098328,1643667031.80102,1643667031.8024,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,38,same,38_150.jpg
104,1,cognitive,3,4,1,high_cue,low_stim,4,1643666741.31076,1643666741.31217,1643667035.83586,1643667035.83719,3.85058832168579,1643667039.70397,1643667039.70568,high_cue,h012.png,1643667040.6874,1643667040.68867,1.79905486106873,1643667042.50501,1643667042.50605,NaN,NaN,NaN,FIX,1643667046.52318,1643667046.52463,14.663268327713,low_stim,1643667063.19606,1643667063.20302,,NaN,NaN,NaN,NaN,1643667070.19867,1643667070.20368,2.18777370452881,1643667072.39949,1643667072.40325,NaN,NaN,NaN,FIX,1643667139.84131,1643667139.8431,398.530548334122,,0,,,0,,47,diff,47_50_R.jpg
