src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,param_cog_stim_num,param_cog_stim_match,param_cog_stim_filename,event05_administer_type,event05_administer_displayonset,event05_administer_biopac,event05_administer_response,event05_administer_reseponseonset,event05_administer_RT,event06_actual_onset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,event06_actual_displayonset
1,4,2,3,2,high,,2,1607457493.54471,1607457493.54954,1607457496.32211,1607457496.32693,1.30148863792419,1607457497.63927,1607457497.64276,high,h013.png,1607457498.67299,1607457498.67436,1607457500.70744,2.03445816040039,1607457502.69115,1607457502.69257,0.701120615005493,15,same,15_50.jpg,50,1607457503.40808,1607457503.41957,2,1607457509.91143,2.6883180141449,0,1607457509.93597,1607457512.15168,2.22449374198914,1607458166.62208,1607458166.62404,673.077365875244,1607457509.92718
1,4,2,3,2,low,,1,1607457493.54471,1607457493.54954,1607457514.11208,1607457514.11429,1.40129470825195,1607457515.52927,1607457515.53125,low,l001.png,1607457516.52965,1607457516.53556,1607457518.30165,1.77200770378113,1607457520.54781,1607457520.55438,0.801137924194336,20,same,20_50.jpg,50,1607457521.36478,1607457521.37027,2,1607457527.86774,2.83874154090881,0,1607457527.88611,1607457530.85203,2.96815466880798,1607458166.62208,1607458166.62404,673.077365875244,1607457527.88388
1,4,2,3,2,low,,3,1607457493.54471,1607457493.54954,1607457531.93539,1607457531.93718,1.30120801925659,1607457533.25255,1607457533.25415,low,l053.png,1607457534.25292,1607457534.26968,1607457537.17107,2.91814970970154,1607457538.27109,1607457538.27329,0.701148271560669,33,same,33_100.jpg,100,1607457538.98802,1607457538.9901,2,1607457545.4911,3.0600118637085,0,1607457545.50827,NaN,NaN,1607458166.62208,1607458166.62404,673.077365875244,1607457545.50712
1,4,2,3,2,high,,4,1607457493.54471,1607457493.54954,1607457549.54196,1607457549.55345,2.0011043548584,1607457551.55937,1607457551.56071,high,h048.png,1607457552.55975,1607457552.56088,1607457555.56136,3.00161337852478,1607457556.57791,1607457556.57985,0.801130771636963,42,different,42_100_R.jpg,100,1607457557.39488,1607457557.4035,2,1607457563.89768,3.4518027305603,0,1607457563.91938,1607457567.60171,3.68772888183594,1607458166.62208,1607458166.62404,673.077365875244,1607457563.91398
1,4,2,3,2,low,,5,1607457493.54471,1607457493.54954,1607457568.16557,1607457568.17115,1.60177564620972,1607457569.78284,1607457569.78784,low,l007.png,1607457570.78321,1607457570.78585,1607457574.00148,3.21827292442322,1607457574.80138,1607457574.80462,0.701953172683716,36,same,36_150.jpg,150,1607457575.51831,1607457575.53933,2,1607457582.02252,3.18774843215942,0,1607457582.03834,NaN,NaN,1607458166.62208,1607458166.62404,673.077365875244,1607457582.03741
1,4,2,3,2,low,,5,1607457493.54471,1607457493.54954,1607457586.08892,1607457586.09057,2.20102190971375,1607457588.30641,1607457588.30847,low,l034.png,1607457589.30678,1607457589.30788,1607457591.40792,2.10113739967346,1607457593.32495,1607457593.32692,0.700980424880981,9,different,9_150_R.jpg,150,1607457594.04188,1607457594.04388,2,1607457600.54421,2.11835217475891,0,1607457600.56914,1607457604.03495,3.4739625453949,1607458166.62208,1607458166.62404,673.077365875244,1607457600.56098
1,4,2,3,2,high,,2,1607457493.54471,1607457493.54954,1607457604.59582,1607457604.59741,2.90086698532104,1607457607.51357,1607457607.51549,high,h040.png,1607457608.51395,1607457608.51938,1607457610.35167,1.83771896362305,1607457612.53211,1607457612.5365,2.40088295936584,9,different,9_50_R.jpg,50,1607457614.94968,1607457614.95253,2,1607457621.45175,2.65005564689636,0,1607457621.46969,1607457624.10329,2.6345112323761,1607458166.62208,1607458166.62404,673.077365875244,1607457621.46878
1,4,2,3,2,low,,3,1607457493.54471,1607457493.54954,1607457625.48694,1607457625.48854,3.40097904205322,1607457628.90489,1607457628.90692,low,l018.png,1607457629.90526,1607457629.90658,1607457631.77284,1.86757779121399,1607457633.92342,1607457633.92497,2.60096836090088,22,same,22_100.jpg,100,1607457636.54107,1607457636.54306,2,1607457643.04336,3.08542442321777,0,1607457643.06887,1607457645.51835,2.45818591117859,1607458166.62208,1607458166.62404,673.077365875244,1607457643.06017
1,4,2,3,2,high,,6,1607457493.54471,1607457493.54954,1607457647.07833,1607457647.08632,1.80099582672119,1607457648.89567,1607457648.89767,high,h049.png,1607457649.89605,1607457649.9044,1607457652.23497,2.33892583847046,1607457653.91421,1607457653.92028,2.50073671340942,22,different,22_150_R.jpg,150,1607457656.43182,1607457656.43644,2,1607457662.93421,4.69389057159424,0,1607457662.95245,NaN,NaN,1607458166.62208,1607458166.62404,673.077365875244,1607457662.95092
1,4,2,3,2,high,,4,1607457493.54471,1607457493.54954,1607457666.96908,1607457666.97323,2.30106067657471,1607457669.28661,1607457669.28789,high,h038.png,1607457670.28698,1607457670.28776,1607457672.17118,1.88419914245605,1607457674.30515,1607457674.30685,0.500942707061768,9,same,9_100.jpg,100,1607457674.82201,1607457674.82361,2,1607457681.32437,3.235018491745,0,1607457681.34205,NaN,NaN,1607458166.62208,1607458166.62404,673.077365875244,1607457681.34111
