onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
3.89	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h050.png
33.6	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l018.png
65.1	0.98	cue	3	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h046.png
87.49	0.99	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l051.png
124.31	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h024.png
150.4	0.99	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l019.png
183.49	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l020.png
223.39	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l048.png
259.29	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h017.png
294.1	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l032.png
331.1	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h016.png
369.6	0.99	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h032.png
6.14	1.64	expectrating	1	high_cue	n/a	40.28	Strong	40.28	Strong	0.38	1.26	h050.png
36.01	2.03	expectrating	2	low_cue	n/a	10.9	Moderate	10.9	Moderate	0.48	1.55	l018.png
67.32	2.28	expectrating	3	high_cue	n/a	13.48	Moderate	13.48	Moderate	0.53	1.75	h046.png
90.99	2.31	expectrating	4	low_cue	n/a	8.62	Weak	8.62	Weak	0.55	1.76	l051.png
126.01	2.15	expectrating	5	high_cue	n/a	13.87	Moderate	13.87	Moderate	0.87	1.28	h024.png
153.9	2.64	expectrating	6	low_cue	n/a	11.86	Moderate	11.86	Moderate	0.57	2.07	l019.png
185.69	2.14	expectrating	7	low_cue	n/a	11.81	Moderate	11.81	Moderate	0.5	1.64	l020.png
225.59	1.94	expectrating	8	low_cue	n/a	8.07	Weak	8.07	Weak	0.47	1.48	l048.png
262.81	1.82	expectrating	9	high_cue	n/a	7.95	Weak	7.95	Weak	0.38	1.43	h017.png
296.5	2.72	expectrating	10	low_cue	n/a	5.98	Weak	5.98	Weak	0.65	2.07	l032.png
333.5	2.04	expectrating	11	high_cue	n/a	14.89	Moderate	14.89	Moderate	0.6	1.44	h016.png
371.6	2.17	expectrating	12	high_cue	n/a	32.99	Strong	32.99	Strong	1.02	1.15	h032.png
16.79	7.01	stimulus	1	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	bm049t1afaff_L.mp4
49.79	7.01	stimulus	2	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aiaff_M.mp4
73.89	7.0	stimulus	3	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ch092t2aeaff_L.mp4
105.99	7.01	stimulus	4	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	bn080t1aeaff_M.mp4
132.59	7.0	stimulus	5	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	bg096t1aeaff_H.mp4
161.69	7.0	stimulus	6	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jk103t1aaunaff_L.mp4
199.89	7.02	stimulus	7	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ib109t1aiaff_H.mp4
232.19	7.01	stimulus	8	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	vw121t1aeaff_L.mp4
277.79	7.01	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	bm049t2aeunaff_H.mp4
304.09	7.01	stimulus	10	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jk103t1aaaff_H.mp4
342.79	7.0	stimulus	11	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	bg096t2aaaff_M.mp4
384.59	7.0	stimulus	12	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	ch092t2aaaff_M.mp4
29.0	2.93	outcomerating	1	high_cue	low_stim	12.43	Moderate	12.43	Moderate	0.57	2.37	task-vicarious_scale.png
59.91	2.15	outcomerating	2	low_cue	med_stim	9.5	Weak	9.5	Weak	0.38	1.77	task-vicarious_scale.png
82.41	2.45	outcomerating	3	high_cue	low_stim	12.32	Moderate	12.32	Moderate	0.52	1.94	task-vicarious_scale.png
119.2	2.07	outcomerating	4	low_cue	med_stim	8.52	Weak	8.52	Weak	0.58	1.48	task-vicarious_scale.png
145.81	1.94	outcomerating	5	high_cue	high_stim	23.26	Moderate	23.26	Moderate	0.42	1.52	task-vicarious_scale.png
173.91	2.05	outcomerating	6	low_cue	low_stim	10.76	Moderate	10.76	Moderate	0.45	1.6	task-vicarious_scale.png
213.2	2.13	outcomerating	7	low_cue	high_stim	8.29	Weak	8.29	Weak	0.47	1.67	task-vicarious_scale.png
245.5	3.19	outcomerating	8	low_cue	low_stim	2.31	Barely detectable	2.31	Barely detectable	0.48	2.7	task-vicarious_scale.png
287.9	2.0	outcomerating	9	high_cue	high_stim	3.45	Weak	3.45	Weak	0.5	1.5	task-vicarious_scale.png
312.61	2.23	outcomerating	10	low_cue	high_stim	23.68	Moderate	23.68	Moderate	0.53	1.7	task-vicarious_scale.png
355.81	2.02	outcomerating	11	high_cue	med_stim	47.3	Strong	47.3	Strong	0.57	1.45	task-vicarious_scale.png
394.81	2.07	outcomerating	12	high_cue	med_stim	4.16	Weak	4.16	Weak	0.5	1.57	task-vicarious_scale.png
