sub	ses	runtype	roi	tr_0	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12	tr_13	tr_14	tr_15	tr_16	tr_17	tr_18	tr_19
sub-0102	ses-01	pain	1 L_V1_ROI	-0.13874320585017105	0.13477178772025616	-0.12202426485691371	0.0863057088379036	-0.03498782904987216	0.05393284416701506	-0.09739928924552417	-0.03061929907436454	0.1153140117623312	-0.20975095496099486	0.17170011752548578	-0.0422306873785152	0.04327859981636534	-0.033200561005802307	0.16246097687844943	-0.20683226639679314	0.014773089787586943	-0.18415488583066555	0.02568770866205801	-0.08078840196163153
sub-0102	ses-01	pain	2 L_MST_ROI	-0.09772459639756574	-0.12458474715756064	0.22632271939214085	-0.3005716046299243	0.20018425166190296	-0.24142046338534015	-0.04025304841454201	-0.031151306285585947	0.103013455298959	-0.09135947844648573	0.05545091044754647	0.0021916096900961826	0.13361252494765447	-0.04478607679089598	0.17093031651117307	-0.030013772315644283	0.0450185957321361	0.20191159713866344	-0.010684402296076758	0.2724064992967965
sub-0102	ses-01	pain	3 L_V6_ROI	-0.2563057483919266	0.03058315255496219	0.0009266678303182189	-0.06363589327328718	0.0896919273865714	-0.21300734160880364	0.008732418050696104	0.08986930980434861	0.03144346488078475	-0.03884282096882371	-0.011419994450893055	0.030871708560414834	0.11715479935096049	-0.0572843365672957	0.1785662988416934	-0.20293527717863902	0.2413597778353091	-0.1535867998003642	0.027592850703971418	-0.059585175832034515
sub-0102	ses-01	pain	4 L_V2_ROI	-0.20331910887680077	0.04265338208939254	-0.05636855496462156	0.010102023154797706	-0.07936205497444646	0.13306839540902066	-0.23698076560398593	0.09145944750121124	-0.03501426257863676	-0.1686476452875948	0.14949267621582332	-0.1250663634423337	0.06275023615783781	-0.14378240383797397	0.17027831213623287	-0.27424809372157577	0.05056736346713773	-0.2174136610095334	0.03531582912498115	-0.1654210223878395
sub-0102	ses-01	pain	5 L_V3_ROI	-0.23752286952102514	0.07786045265008136	-0.061811178904066275	-0.0625639286277434	-2.0679487296493954e-06	-0.14701777119009102	-0.08240027651147028	-0.04552817233307429	0.07187870170214129	-0.23120252641895642	0.1558654195570487	-0.13510400926698105	0.05460160050338051	-0.1264097852895284	0.18684114134697902	-0.2861489242386507	0.07353187549500258	-0.169154916609545	0.031096266778338415	-0.08138200308745805
sub-0102	ses-01	pain	6 L_V4_ROI	-0.18272524101886642	0.05904218635513065	-0.042655249887353426	-0.09551381743742207	0.014593194099877017	-0.3235085950525588	0.1343829921247731	-0.16382269133679808	0.19238685198214028	-0.18035652401738053	0.20537640160231824	-0.03210092345873621	0.0783010392683502	-0.04874846055454572	0.15888002983228586	-0.06923399581477085	0.0041251800577717474	0.1422464724547371	-0.07634592627245897	0.238967969509248
sub-0102	ses-01	pain	7 L_V8_ROI	-0.24721917261302712	0.1406560522866916	-0.30782456539224895	0.30901824988357773	-0.5069958518870181	0.3043345243336621	-0.5009462533338476	0.23312350821477906	-0.21044078114146497	0.007574369309357013	0.14345348654135198	-0.07914740212169569	0.10135215163106263	0.025101447164927914	0.21665507030328016	-0.029462887998230856	0.10737681160936788	-0.025426215589481202	0.10395925561810965	0.29055520119825823
sub-0102	ses-01	pain	8 L_4_ROI	0.0031468557070977116	-0.0019077626273386122	0.06385586109025278	0.04899054560447684	0.028908085088904422	0.160481820673532	-0.13769936083061915	0.1071856776418208	-0.01840422829565736	0.024894630464243454	0.038794686224790514	0.09576208544773956	-0.0019558977468603083	0.06864900155134483	0.11044726667348077	-0.017122968814285905	0.02705175085564773	0.08453836468940439	-0.04179907646339975	0.14851884384082517
sub-0102	ses-01	pain	9 L_3b_ROI	0.05511072610611938	-0.07601365564894652	0.10081363786881137	0.004901381208525534	-0.034933484744384846	0.15801766532338427	-0.24080230454506288	0.11203327025379539	-0.05197195833783202	-0.01341986049573432	0.03393004569440322	0.06380489599918575	-0.016382584226254864	0.03923531194967102	0.12857680632009058	-0.016445994875373588	0.06751304440966874	0.08982666816471731	-0.029391981660613346	0.17296895300653192
sub-0102	ses-01	pain	10 L_FEF_ROI	-0.15593423488420305	0.07384890262566518	-0.05311198357098473	0.10440492897010428	-0.08522598814784331	0.07630665044777234	-0.043015192042724	0.07055885421619375	0.12036400792937772	0.004103990427526124	0.1927376601091246	0.1428045182414146	0.09851385316050089	0.1844204668245301	0.1759185049719402	0.12371598568751213	0.14356951567456214	0.18065645888555235	-0.009773935181958623	0.3347813852023698
sub-0102	ses-01	pain	11 L_PEF_ROI	0.05187013913893142	-0.19555057354659855	0.25070829037686204	-0.11195765699718203	0.13703356451573057	-0.07002457273724938	0.09810088679628541	0.07521049367023493	0.22264477403071808	-0.06330029893716436	0.1825510431040698	0.13046576954348466	0.11823265916846656	0.1677909703498757	0.11890787207067553	0.21922178989477456	0.009741312974559864	0.33867726213938254	-0.11039613387654007	0.3753219039617647
sub-0102	ses-01	pain	12 L_55b_ROI	-0.017909689798716908	-0.09845580494819417	0.1458232567392692	-0.08324762816568539	0.19469520683048344	-0.15668903087057257	0.08507114741476929	-0.09675804775544118	0.17177302682915235	-0.01762697918404431	0.18615114742349284	0.0623919016172576	0.13006835792712437	0.09700787305137158	0.14345523582485617	0.0866506226760269	0.05302502659588822	0.26141437269030104	-0.10649867281312893	0.27527171460933453
