"subj","rand_intercept","rand_cue","fix_intercept","fix_cue","task"
"16",-35.7796784057013,20.0068642540685,49.4758498269563,-30.9370561085578,"cognitive"
"82",-35.3812373319465,20.3129404117484,49.4758498269563,-30.9370561085578,"cognitive"
"85",-33.9287154297856,26.4564638117851,49.4758498269563,-30.9370561085578,"cognitive"
"68",-28.0198641160904,13.2598164611082,49.4758498269563,-30.9370561085578,"cognitive"
"59",-26.5228678498886,20.2707220177542,49.4758498269563,-30.9370561085578,"cognitive"
"117",-26.3888293824759,18.3052524284944,49.4758498269563,-30.9370561085578,"cognitive"
"120",-26.3332022173828,11.9047406773579,49.4758498269563,-30.9370561085578,"cognitive"
"58",-25.5213904779831,18.6475772566438,49.4758498269563,-30.9370561085578,"cognitive"
"19",-24.5981513203579,14.4825331492941,49.4758498269563,-30.9370561085578,"cognitive"
"84",-24.4162529975365,14.3805645383913,49.4758498269563,-30.9370561085578,"cognitive"
"122",-23.5022123681067,16.1864617535388,49.4758498269563,-30.9370561085578,"cognitive"
"29",-22.5458015461771,18.8740586312518,49.4758498269563,-30.9370561085578,"cognitive"
"83",-21.977963408391,20.1408131761892,49.4758498269563,-30.9370561085578,"cognitive"
"128",-20.8424846298118,16.2530251400601,49.4758498269563,-30.9370561085578,"cognitive"
"74",-19.5577988835868,29.8062041739236,49.4758498269563,-30.9370561085578,"cognitive"
"127",-18.727687471125,21.5849047091799,49.4758498269563,-30.9370561085578,"cognitive"
"100",-18.2640205652372,20.8862399891202,49.4758498269563,-30.9370561085578,"cognitive"
"69",-16.5637454715529,2.09927378951136,49.4758498269563,-30.9370561085578,"cognitive"
"70",-15.8670855937341,8.40023222943865,49.4758498269563,-30.9370561085578,"cognitive"
"95",-15.4211586676732,15.2018343717099,49.4758498269563,-30.9370561085578,"cognitive"
"107",-15.2331977941597,5.30127304773301,49.4758498269563,-30.9370561085578,"cognitive"
"97",-14.8033618705602,15.7310829388992,49.4758498269563,-30.9370561085578,"cognitive"
"80",-14.7391850931143,2.27299683579007,49.4758498269563,-30.9370561085578,"cognitive"
"119",-14.706136293893,3.77010377416324,49.4758498269563,-30.9370561085578,"cognitive"
"130",-14.3737611069611,10.0440489449102,49.4758498269563,-30.9370561085578,"cognitive"
"73",-14.2805944178967,27.1319151061253,49.4758498269563,-30.9370561085578,"cognitive"
"133",-13.6148505309716,2.66231233407507,49.4758498269563,-30.9370561085578,"cognitive"
"41",-13.563272554266,4.39435674560964,49.4758498269563,-30.9370561085578,"cognitive"
"39",-13.374826526825,9.2209120836039,49.4758498269563,-30.9370561085578,"cognitive"
"14",-12.8177951149884,2.39453157379224,49.4758498269563,-30.9370561085578,"cognitive"
"71",-12.5092689701135,19.5154825839497,49.4758498269563,-30.9370561085578,"cognitive"
"116",-12.3742403131406,4.76368788926647,49.4758498269563,-30.9370561085578,"cognitive"
"38",-11.1601705869779,-0.00548398365401859,49.4758498269563,-30.9370561085578,"cognitive"
"66",-10.780041153324,7.11661950977505,49.4758498269563,-30.9370561085578,"cognitive"
"53",-10.5132224276291,2.23974370962587,49.4758498269563,-30.9370561085578,"cognitive"
"60",-8.92958098711795,-2.70911666298549,49.4758498269563,-30.9370561085578,"cognitive"
"89",-7.88182206952164,20.4136390396641,49.4758498269563,-30.9370561085578,"cognitive"
"9",-7.54115374926458,-6.11774066682924,49.4758498269563,-30.9370561085578,"cognitive"
"79",-7.46468935440859,1.79616821871034,49.4758498269563,-30.9370561085578,"cognitive"
"31",-7.39182875169579,11.252369713295,49.4758498269563,-30.9370561085578,"cognitive"
"81",-6.22713153850473,-8.1568468864392,49.4758498269563,-30.9370561085578,"cognitive"
"2",-5.84820727124757,5.41020397839671,49.4758498269563,-30.9370561085578,"cognitive"
"43",-5.77983086935528,4.26413894758709,49.4758498269563,-30.9370561085578,"cognitive"
