"src_subject_id","session_id","param_run_num","param_task_name","param_cue_type","param_stimulus_type","event02_expect_RT","event02_expect_angle","event04_actual_RT","event04_actual_angle","trial_index_runwise","trial_index_subjectwise"
2,1,2,"cognitive","low_cue","low_stim",2.7218906879425,45.1623105559367,2.71781468391418,6.03325300620071,1,1
2,1,2,"cognitive","low_cue","med_stim",2.56778955459595,11.1291892896112,2.9019672870636,3.93722516482409,2,2
2,1,2,"cognitive","low_cue","high_stim",1.81923151016235,15.59796158466,3.73487687110901,29.0546040990771,3,3
2,1,2,"cognitive","low_cue","high_stim",1.96009278297424,33.3710520057529,2.80333614349365,26.3600582073531,4,4
2,1,2,"cognitive","low_cue","low_stim",1.7508533000946,19.2357271422572,2.89115929603577,14.7083038996827,5,5
2,1,2,"cognitive","high_cue","high_stim",1.72200965881348,47.4470486423236,3.10133361816406,33.0238675557966,6,6
2,1,2,"cognitive","high_cue","high_stim",3.09451103210449,48.5967170776285,3.55389547348022,30.7246934707906,7,7
2,1,2,"cognitive","high_cue","low_stim",2.03428506851196,23.1376375797135,2.17266249656677,23.5899901707433,8,8
2,1,2,"cognitive","high_cue","low_stim",1.5527081489563,36.3044971225752,2.91792559623718,25.1278241807561,9,9
2,1,2,"cognitive","low_cue","med_stim",3.22431421279907,19.1601731219813,2.60126137733459,25.8411358077129,10,10
2,1,4,"cognitive","low_cue","med_stim",1.6008038520813,13.9793459895957,3.41811728477478,6.54629078329404,1,11
2,1,4,"cognitive","low_cue","high_stim",2.8018593788147,12.9773953378174,1.98425793647766,11.0353541630349,2,12
2,1,4,"cognitive","high_cue","low_stim",2.0587842464447,17.0519648540015,2.73460745811462,9.22988624372772,3,13
2,1,4,"cognitive","high_cue","med_stim",1.53420233726501,27.4907552097423,3.98838448524475,9.2726017772003,4,14
2,1,4,"cognitive","low_cue","high_stim",2.98464727401733,9.80609275989709,2.45991635322571,10.1813200065144,5,15
2,1,4,"cognitive","high_cue","high_stim",2.03822946548462,38.078882361565,2.76783084869385,8.58793559647603,6,16
2,3,3,"cognitive","high_cue","low_stim",2.81816029548645,77.9052429229879,2.78460669517517,22.1427056998454,1,17
2,3,3,"cognitive","low_cue","low_stim",2.35117030143738,8.55354270257181,3.68495893478394,8.74616226255521,2,18
2,3,3,"cognitive","low_cue","high_stim",3.13740730285645,3.23100990036821,3.46814894676208,2.75910765862027,4,19
2,3,3,"cognitive","high_cue","high_stim",2.78508162498474,39.5984075029918,2.66784429550171,8.54278990767572,5,20
2,3,3,"cognitive","high_cue","low_stim",3.10131359100342,47.9273479917409,3.61822938919067,15.1540680503126,6,21
2,3,3,"cognitive","high_cue","high_stim",2.30101609230042,27.6943915931417,2.85194253921509,7.60983715755195,7,22
2,3,3,"cognitive","low_cue","high_stim",1.83493137359619,8.46128814257136,2.3863217830658,16.4293014515334,9,23
2,4,5,"cognitive","high_cue","high_stim",2.83462619781494,74.6845488030815,2.79107761383057,35.3192011406149,1,24
2,4,5,"cognitive","high_cue","low_stim",2.41937065124512,94.381037831808,3.0345995426178,22.8670562997727,2,25
6,1,3,"cognitive","low_cue","med_stim",1.93425703048706,45.1623105559367,2.10792350769043,101.604762356379,2,1
6,1,3,"cognitive","high_cue","med_stim",2.6535439491272,103.201087175706,2.78453493118286,92.591866705235,3,2
6,1,3,"cognitive","low_cue","high_stim",2.49018120765686,65.5560452195835,3.86825084686279,85.8653286262636,4,3
6,1,3,"cognitive","high_cue","med_stim",1.98428606987,110.420015609278,3.48618483543396,69.8205413354891,5,4
6,1,3,"cognitive","low_cue","high_stim",1.63411855697632,111.501434324048,2.17571926116943,61.6836450567278,6,5
6,1,3,"cognitive","low_cue","low_stim",3.15598154067993,91.8476102659946,3.11800146102905,22.6552327086798,7,6
6,1,3,"cognitive","high_cue","high_stim",3.09266901016235,122.203039274405,2.3362865447998,10.4494281577692,8,7
6,1,3,"cognitive","high_cue","high_stim",2.01760983467102,100.222168633636,2.20093965530396,66.4641990542205,9,8
6,1,3,"cognitive","high_cue","low_stim",2.9026095867157,100.449428157769,2.42490315437317,17.7097245238628,10,9
6,1,3,"cognitive","high_cue","low_stim",1.52204585075378,67.1329437002273,2.41786289215088,7.38181842191988,11,10
6,1,3,"cognitive","low_cue","med_stim",2.51078677177429,39.3055692822446,2.61785316467285,21.2028186438097,12,11
6,1,6,"cognitive","high_cue","low_stim",2.40108966827393,66.3179122754616,2.07451295852661,16.7652025082104,1,12
6,1,6,"cognitive","low_cue","low_stim",2.47161388397217,50.5484662937181,1.66746830940247,0,2,13
6,1,6,"cognitive","low_cue","med_stim",2.20097017288208,63.0234960789303,1.60388493537903,27.1811110854772,3,14
6,1,6,"cognitive","low_cue","high_stim",2.00095319747925,47.9273479917409,2.19315624237061,6.21337526527838,4,15
6,1,6,"cognitive","high_cue","med_stim",1.45724534988403,53.0376153004857,2.51786375045776,51.4146018073397,5,16
6,1,6,"cognitive","high_cue","high_stim",2.51791644096375,85.159887511153,1.72180962562561,125.806417751387,6,17
6,1,6,"cognitive","high_cue","low_stim",1.90218281745911,55.2753581648781,2.50900268554688,33.111341960372,7,18
6,1,6,"cognitive","high_cue","high_stim",1.28707790374756,69.0944306630845,2.40103387832642,36.9662739712862,8,19
6,1,6,"cognitive","low_cue","low_stim",1.41731905937195,66.0613544612128,2.6187789440155,12.3039235540599,9,20
6,1,6,"cognitive","low_cue","med_stim",1.95093250274658,38.0633870698261,2.2177197933197,90.6986943829835,10,21
