"src_subject_id","session_id","param_run_num","param_task_name","param_cue_type","param_stimulus_type","event02_expect_RT","event02_expect_angle","event04_actual_RT","event04_actual_angle","trial_index_runwise","trial_index_subjectwise"
2,1,3,"vicarious","low_cue","med_stim",1.55137348175049,15.3154511969185,2.46783471107483,4.41651566822763,1,1
2,1,3,"vicarious","low_cue","low_stim",2.32424187660217,5.98495231511541,2.51772212982178,10.1407931461128,2,2
2,1,3,"vicarious","low_cue","high_stim",2.66025185585022,16.743780392543,3.01954770088196,4.62923494779759,3,3
2,1,3,"vicarious","high_cue","med_stim",2.26961803436279,23.8437167991162,3.05129504203796,6.21337526527838,4,4
2,1,3,"vicarious","high_cue","high_stim",2.37336373329163,14.6709139580163,2.63449835777283,34.8981235610295,5,5
2,1,3,"vicarious","low_cue","med_stim",2.99088287353516,37.2864185922789,3.21801710128784,1.15036306132966,6,6
2,1,3,"vicarious","high_cue","med_stim",2.20097994804382,0,3.43618559837341,14.3700015151793,7,7
2,1,6,"vicarious","low_cue","med_stim",1.90092492103577,9.2726017772003,2.73454785346985,12.3039235540599,1,8
2,1,6,"vicarious","low_cue","low_stim",2.70540380477905,19.6692676640171,2.20106554031372,2.5396804503407,2,9
2,1,6,"vicarious","low_cue","high_stim",1.8069155216217,7.1250163489018,2.48440504074097,19.529639414775,3,10
2,1,6,"vicarious","high_cue","low_stim",2.51772737503052,32.4184499496431,3.05460381507874,19.0180918370199,4,11
2,1,6,"vicarious","high_cue","med_stim",3.13474678993225,21.8439769224375,2.80647253990173,5.98495231511541,5,12
2,1,6,"vicarious","high_cue","high_stim",2.41838693618774,27.0859075515799,2.76790952682495,45.1623105559367,6,13
2,1,6,"vicarious","high_cue","low_stim",3.30146455764771,37.3300948138227,2.66784167289734,11.0848912922423,7,14
2,1,6,"vicarious","high_cue","med_stim",2.48451924324036,49.0972836052083,2.86788535118103,30.6064070315095,9,15
2,3,1,"vicarious","high_cue","low_stim",3.31820440292358,53.3708395068778,3.23740768432617,9.46232220802562,1,16
2,3,1,"vicarious","low_cue","med_stim",2.72004771232605,32.2547105268672,2.93496632575989,63.2231354458448,2,17
2,3,1,"vicarious","low_cue","med_stim",2.62511539459229,20.3948760820484,2.83455181121826,9.50024131533731,3,18
2,3,1,"vicarious","low_cue","high_stim",3.31803941726685,3.98547861305168,2.66793274879456,17.671050361992,4,19
2,3,5,"vicarious","high_cue","high_stim",3.78500509262085,81.2188372656145,3.61816072463989,48.3664606634298,2,20
2,3,5,"vicarious","high_cue","med_stim",2.73461031913757,94.8236581975952,3.63883852958679,34.3903144087126,3,21
2,4,1,"vicarious","low_cue","med_stim",3.17289304733276,28.3007557660064,3.45184922218323,29.8590161649231,1,22
2,4,1,"vicarious","high_cue","low_stim",2.0013735294342,43.215156675681,2.5031201839447,47.7102031001746,3,23
2,4,1,"vicarious","low_cue","low_stim",3.51946449279785,37.2422451546692,2.93466758728027,47.2091275953003,5,24
6,1,1,"vicarious","low_cue","med_stim",2.63769102096558,28.8309683123904,2.68483829498291,30.0581254794867,1,1
6,1,1,"vicarious","low_cue","low_stim",3.96838307380676,21.9783843042672,2.22003889083862,11.3099324740202,2,2
6,1,1,"vicarious","low_cue","high_stim",3.58524799346924,11.853004167744,1.82291793823242,2.98863245522946,3,3
6,1,1,"vicarious","high_cue","med_stim",1.98919677734375,34.6654973333062,2.85122013092041,13.9247732204094,5,4
6,1,1,"vicarious","high_cue","high_stim",1.90085530281067,44.6707175361533,2.9360249042511,19.7637363530964,6,5
6,1,1,"vicarious","high_cue","low_stim",3.15127778053284,52.0420391737294,2.30433893203735,6.92508173839268,7,6
6,1,1,"vicarious","low_cue","high_stim",3.53493046760559,11.5806191822281,2.78452277183533,3.75172907052598,8,7
6,1,1,"vicarious","high_cue","high_stim",1.9560215473175,5.0694201326125,3.36810207366943,42.227157522404,9,8
6,1,1,"vicarious","low_cue","med_stim",2.81797695159912,22.9565823245116,3.0349748134613,25.4336837463955,10,9
6,1,1,"vicarious","high_cue","med_stim",1.31726574897766,40.4519575908746,2.07236742973328,5.29856506989994,11,10
6,1,1,"vicarious","low_cue","low_stim",2.50125813484192,38.9824969671543,2.5677752494812,2.07837024536197,12,11
6,1,5,"vicarious","low_cue","med_stim",1.08773326873779,41.8477645703347,2.05087876319885,6.69637761619969,1,12
6,1,5,"vicarious","low_cue","low_stim",1.06724715232849,20.0630726660882,2.88537073135376,13.1870599078291,2,13
6,1,5,"vicarious","low_cue","high_stim",1.73413825035095,9.00850374202516,2.35459089279175,18.5077515531349,3,14
6,1,5,"vicarious","high_cue","low_stim",1.78424763679504,18.7257878452726,1.49299788475037,0,4,15
6,1,5,"vicarious","high_cue","med_stim",3.08839535713196,21.8439769224375,1.63419580459595,1.15036306132966,5,16
6,1,5,"vicarious","high_cue","high_stim",2.10676884651184,22.9238659191766,2.23431658744812,25.8345434828091,6,17
6,1,5,"vicarious","high_cue","low_stim",2.53446078300476,13.0814022140543,3.05269455909729,5.31989391780685,7,18
6,1,5,"vicarious","low_cue","high_stim",3.10128688812256,4.59221201091977,3.30965328216553,6.26349061433454,8,19
6,1,5,"vicarious","high_cue","high_stim",1.07186508178711,1.87021809574846,1.66755962371826,8.51942215741111,9,20
6,1,5,"vicarious","low_cue","med_stim",3.63480353355408,16.2323506611562,1.7519268989563,9.91494567847495,10,21
6,1,5,"vicarious","low_cue","low_stim",1.25079083442688,23.5631398647748,2.62670230865479,8.13010235415598,12,22
