sub	ses	runtype	roi	tr_0	tr_1	tr_2	tr_3	tr_4	tr_5	tr_6	tr_7	tr_8	tr_9	tr_10	tr_11	tr_12	tr_13	tr_14	tr_15	tr_16	tr_17	tr_18	tr_19
sub-0111	ses-01	pain	1 L_V1_ROI	0.15307085607544	-0.12207255312784591	0.29281726112868095	-0.09904118238914102	0.08039236970909497	0.104788303350433	0.0039278809595405	0.20976782192629245	0.08603040512766431	0.3277497507771756	0.048981457076108556	0.24177272270498207	0.06901463396006437	0.23075056725069912	0.024279556817111945	0.10769321438841307	0.032093715621729524	0.10115036735519302	0.04218567751098858	0.17254607770574495
sub-0111	ses-01	pain	2 L_MST_ROI	0.2018967360108044	0.057067273160899476	0.037800861574973275	0.09889469134615718	0.04106039156216456	-0.06926985052152619	0.21395330347924513	-0.06285432013466552	0.05198070662452781	0.17388559855082647	-0.05616391574678054	0.09572307779653395	0.12326354834071206	0.08714158871392708	0.06303160913151458	0.2691777707955186	-0.08869305752631877	0.4611182006229383	-0.1164273374135158	0.37839678625756556
sub-0111	ses-01	pain	3 L_V6_ROI	0.16628031380040947	-0.04307545456268621	0.18995803723904214	-0.06937003325198254	0.09002023705539501	0.09005474320799327	-0.13447599208588434	0.2623869635792445	-0.06260719245169219	0.29761223379337104	-0.011224106088597766	0.15448668828054798	-0.04176569320931849	0.18268192043511516	-0.10445377839537034	0.07094278463221897	-0.048716404154674466	0.006651132466352	0.10550360714466755	0.04606588484488179
sub-0111	ses-01	pain	4 L_V2_ROI	0.1481566205249444	-0.12412499846072261	0.2501246426291556	-0.052266127333020045	0.026957111405811387	0.10930690096120496	-0.00941510786379432	0.1561834233710023	0.034939800216229056	0.2445146618978232	0.010761372083113204	0.16677652213756455	0.011916145874162187	0.20363774825119996	-0.06451646942782455	0.07216856458128439	0.04137423486146025	0.038860665565412185	0.047430436146920496	0.12195641853378016
sub-0111	ses-01	pain	5 L_V3_ROI	0.16296029200932222	-0.14540477325919426	0.2549174742171741	-0.08038189657124258	0.031194626432660837	0.13859532317360926	-0.03432153913931008	0.19324281246768354	-0.01975013184571151	0.2545683771768068	-0.03845091880912535	0.17646018214510484	-0.017441633698744376	0.14702194119877884	-0.033477395458313845	0.06250124567419864	-0.00144937949103494	0.0720298673409137	0.017160477036868516	0.09252235427221091
sub-0111	ses-01	pain	6 L_V4_ROI	0.26277015973104656	-0.16588299669447676	0.2675745407666472	-0.05124356819664516	6.1331914286693236e-06	0.10718903592422617	0.08583156859055041	0.047067700783741145	0.140575827710391	0.12174453236736535	0.04689908579018041	0.10943323817753838	0.008018788101981058	0.19365187619035062	-0.019131894603196562	0.1629086817905795	0.05303786852630768	0.18359274409026757	-0.018645534701142333	0.2636825762916092
sub-0111	ses-01	pain	7 L_V8_ROI	0.47442982896926167	-0.36513135362525406	0.4812725127962224	-0.1414945428171483	-0.004783588368348336	0.08972238804893887	0.11893065502416628	0.014039575912369316	0.14076058937106725	0.2660084673105422	-0.05350402907853035	0.35736536383909606	-0.0466318969429353	0.49439034988270514	-0.04865085333818709	0.47846532023148436	0.11179773414666501	0.5264608220500646	-0.0043339636743987865	0.6019095277912541
sub-0111	ses-01	pain	8 L_4_ROI	0.12173905221157853	-0.06948784467981797	0.06082535750429499	-0.024595602778131102	-0.02349789664347571	0.01874467755132323	-0.010119252048125405	0.02503149296353568	-0.0337045091528373	0.16962154697388257	-0.03325810943390926	0.20095900901895414	0.04563934326243261	0.13498492972617263	0.012288852757499925	0.17079243831876137	0.06884094380194866	0.11541547236991297	0.04307680276729592	0.14411377543345888
sub-0111	ses-01	pain	9 L_3b_ROI	0.19975099109591796	-0.08327227533603845	0.1740289538461349	-0.07191048220923485	0.062124156199335936	-0.03396918424876185	-0.012420786520028471	0.06396858696796376	-0.05750494245409082	0.14101014449217913	-0.011469675354394701	0.21776306207114413	-0.02179452663125476	0.2349043881682581	-0.04279105905165547	0.2730830826445895	0.024073529016048412	0.1984883479356365	0.037092195903290714	0.20115271677744057
sub-0111	ses-01	pain	10 L_FEF_ROI	0.34341174263520335	-0.17055323309039233	0.2799569770492662	-0.050626174646826956	-0.021771178882435353	0.19196735112651167	-0.08610313541650177	0.2664555243048871	-0.01870101487163473	0.2517945330736888	0.04057943723406271	0.26661559717819955	0.042833078223330455	0.2961256277074925	0.05908362463231465	0.37922190798649436	0.011135756961678789	0.4485860202494105	-0.0754577740090249	0.5291543288016337
sub-0111	ses-01	pain	11 L_PEF_ROI	-0.02754710459055658	0.04216891929329444	-0.03900832175598601	0.019004349089249844	-0.05845114529954264	-0.004946111305065571	-0.04922487148327973	-0.002261841908016483	0.11107235318057662	-0.1332730395127288	0.20827741319785012	-0.16575753489114692	0.14947484430881006	-0.05247111976701704	0.013363550885463564	0.013200815928877155	0.025761162242848235	-0.08530095632721603	0.20176589729397615	-0.012214045034130004
sub-0111	ses-01	pain	12 L_55b_ROI	0.01622806052763782	-0.07243211527927298	0.03459072919672886	4.0956433358307524e-05	-0.06366246503698865	0.044933373109641295	-0.03354862552300406	0.07673517787791176	-0.0745580255776156	0.08645336134626024	0.01684884155337016	0.028381856346135166	0.048325013396059	0.014694498311276385	-0.04083114471272149	0.053733114446455454	0.01160015618112468	0.04876563870664766	0.044230693366341174	0.1109618519695947
