singletrial_fname	SIIPS	SIIPS_corr	SIIPS_cosine
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-003_cuetype-low.nii.gz	-1097.58810630856	-0.0175805531240137	-0.0185117701105845
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-004_cuetype-high.nii.gz	9840.04451975794	0.0858891377719689	0.0838676883574269
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-005_cuetype-low.nii.gz	714.336754008154	0.0164967158460671	0.0216081052563472
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-006_cuetype-low.nii.gz	273.800808553734	0.00832769910631895	0.00635086685416542
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-007_cuetype-high.nii.gz	15.1134388012071	-0.00464961402343981	0.000290890050243092
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-008_cuetype-high.nii.gz	1029.7883548331	0.0212973469867603	0.017620816231203
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-009_cuetype-low.nii.gz	-2109.1545455302	-0.0221021783270117	-0.0276152141339057
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-010_cuetype-high.nii.gz	-1302.96698396627	-0.0118019289767363	-0.0147227934665232
sub-0015_ses-01_run-06_runtype-vicarious_event-cue_trial-011_cuetype-low.nii.gz	1071.30263046466	0.0240130380974348	0.0249927257998895
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-000_cuetype-low.nii.gz	-4350.39602707705	-0.165909379823956	-0.174470473857566
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-001_cuetype-low.nii.gz	-921.558810042024	0.00326491460809467	-0.0229064698309546
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-002_cuetype-low.nii.gz	-3177.4773432842	-0.100592080930018	-0.113436852553297
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-003_cuetype-high.nii.gz	-3542.76179227356	-0.122411452492911	-0.132673362768219
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-004_cuetype-high.nii.gz	-2813.43762467705	-0.0489640466235802	-0.0729339375453733
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-005_cuetype-high.nii.gz	182.966661098834	0.0226251320743467	0.00656452035430768
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-006_cuetype-high.nii.gz	-1924.79997775717	-0.0855720449887047	-0.0687770434580084
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-007_cuetype-low.nii.gz	-951.654181612486	-0.0387854591213616	-0.0379474217418111
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-008_cuetype-high.nii.gz	837.622524919427	0.0186511967103992	0.0264471642676795
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-009_cuetype-low.nii.gz	-3398.54219164137	-0.134483487751253	-0.144788748492616
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-010_cuetype-high.nii.gz	792.55264587924	-0.0236921110196084	0.0164571142448799
sub-0018_ses-01_run-01_runtype-pain_event-cue_trial-011_cuetype-low.nii.gz	60.5480042382907	0.0368253519383991	0.00198460384500209
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-000_cuetype-high.nii.gz	-404.995902958689	-0.0270695163243492	-0.0170706870635785
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-001_cuetype-low.nii.gz	-1507.56341605457	-0.0558204761793363	-0.067305773056449
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-002_cuetype-low.nii.gz	-2155.06174570533	-0.0995950413799064	-0.11094224216678
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-003_cuetype-low.nii.gz	-655.523010443593	-0.0272170979370702	-0.0307875919007885
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-004_cuetype-high.nii.gz	-1783.79758782252	-0.10633987867188	-0.10181467480684
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-005_cuetype-high.nii.gz	-740.69846497096	-0.0693784711849984	-0.0400391260123099
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-006_cuetype-high.nii.gz	338.311727561598	0.0103588789156724	0.0174121248683903
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-007_cuetype-high.nii.gz	-1939.33586022025	-0.0849866690206758	-0.0877916084227584
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-008_cuetype-low.nii.gz	741.398281225903	-0.0147941276086723	0.0235973792591394
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-009_cuetype-low.nii.gz	-4808.18470352644	-0.113984163283121	-0.124755876187203
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-010_cuetype-low.nii.gz	-1061.67091495899	-0.0152113701674056	-0.0404195149434431
sub-0018_ses-01_run-02_runtype-cognitive_event-cue_trial-011_cuetype-high.nii.gz	4486.91660464008	0.117966746859397	0.129903659877153
