ptb_coord_x,ptb_coord_y
481.37109375,492.01171875
469.39453125,583.73046875
462.83984375,590.0859375
460.58984375,575.359375
470.0703125,572.03515625
472.7421875,577.375
465.85546875,593.50390625
466.75390625,593.22265625
470.53125,569.9296875
463.07421875,584.265625
470.8359375,576.83984375
476.5078125,548.05859375
474.85546875,553.18359375
470.6328125,579.41015625
468.52734375,586.21484375
468.1875,584.94921875
465.80859375,591.61328125
469.8984375,557.1953125
475.51171875,549.2734375
476.48046875,531.40234375
481.3359375,532.75
481.66015625,541.12109375
482.359375,517.3828125
475.2265625,543.4609375
475.91015625,558.57421875
484.46484375,505.02734375
487.6640625,520.33203125
466.5,583.32421875
463.7890625,593.2109375
462.45703125,590.3984375
509.67578125,483.7265625
473.4765625,558.44140625
464.06640625,595.42578125
461.58984375,582.26171875
465.96484375,588.0859375
476.26171875,547.71484375
