ptb_coord_x,ptb_coord_y
675.3984375,358.04296875
539.02734375,429.703125
485.9765625,517.82421875
484.5390625,524.8046875
518.81640625,462.65625
478.58984375,540.015625
490.50390625,509.046875
485.4140625,524.5390625
500.19921875,500.80078125
500.87890625,486.125
476.64453125,553.80859375
469.28125,579.66796875
465.18359375,587.20703125
487.15234375,517.859375
475.2734375,551.39453125
470.03515625,562.8125
490.41015625,518.0625
509.42578125,481.42578125
468.734375,576.4921875
461.06640625,607.22265625
474.35546875,555.1640625
476.58203125,548.01171875
468.97265625,577.41796875
474.6875,547.39453125
466.765625,586.1875
465.13671875,603.47265625
465.41015625,588.59765625
466.359375,596.2734375
468.56640625,575.90625
467.59375,584.11328125
463.8984375,605.9921875
466.359375,589.08203125
468.2734375,590.80078125
463.80859375,596.3515625
466.94921875,585.9296875
484.24609375,526.15625
