rating,rt
14.211520195007324,2.07138252258301
32.70175004005432,2.86795139312744
47.207159996032715,2.5011568069458
70.69924998283386,2.753236055374149
83.70410013198853,1.6340870857238798
100.61041021347046,1.98430848121643
107.39627027511597,2.98465943336487
126.10325002670288,2.25527048110962
135.60679006576538,1.5196158885955802
159.51571011543274,1.767502784729
172.40385007858276,2.4870994091033904
196.7129099369049,2.37226343154907
207.3001902103424,3.5181810855865496
228.40806007385254,1.65077590942383
236.19430017471313,2.3391704559326203
255.70158004760742,2.40100049972534
268.5063500404358,2.45105791091919
289.0140001773834,3.23668217658997
297.30042028427124,2.508296251297
317.2078502178192,4.0
329.9959499835968,1.88576436042786
361.50770020484924,3.75836181640625
369.39397048950195,3.2779574394226096
394.80345010757446,3.30139827728271
