"subj","rand_intercept","social_cue","stim_con_linear","stim_con_quad","social_cue:stim_con_linear","social_cue:stim_con_quad","fix_intercept","fix_cue","fix_stimulus_linear","fix_stimulus_quad","fix_int_cue_stimlin","fix_int_cue_stimquad","task"
"82",-16.5008504623363,-3.68012139908922,-19.5610245805532,4.56808715995477,-5.243414683616,3.01302508789451,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"85",-16.0175427620994,-3.0819336378617,-11.64343765223,2.43543568310599,-1.89908559151125,1.82869618699389,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"66",-15.3885339979892,-4.22558228810258,-16.1556534811065,3.45990529730522,-5.27092709390855,2.52480583425158,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"68",-14.9994472178548,-2.7331606392894,-12.239970406558,2.7046962498586,-2.10021507644163,1.91416532822859,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"75",-14.7553277964748,-2.0259115323665,-13.5736565041368,3.26840888873739,-1.01006318061954,2.0101021746846,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"16",-14.7281594383883,-2.06075589154519,-9.1749876338135,1.98975369081648,0.4712201660602,1.35873078610846,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"29",-13.8572583231644,-4.13045391447007,-10.6469272501943,1.90802551880399,-5.7286574043157,1.93264211488769,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"130",-13.4586688532523,-2.84070425335724,-14.717745496801,3.40877697303448,-3.18531690782879,2.2170949279166,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"73",-12.9123347741931,-4.05863056080802,-8.3229751922946,1.26420563960857,-5.60477435531575,1.63434993568974,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
"133",-11.8593928928722,-5.82546517315687,-5.58674428260309,0.0444822040218779,-10.0240749964692,1.58003205006981,26.6411171905591,7.9455614411644,24.9464825326367,-5.2214396393148,6.46979251730383,-0.961715813049806,"vicarious"
