onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
3.4	0.99	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l038.png	n/a	n/a	n/a
46.0	0.99	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h019.png	n/a	n/a	n/a
80.69	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l033.png	n/a	n/a	n/a
110.3	0.98	cue	4	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l027.png	n/a	n/a	n/a
143.8	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h023.png	n/a	n/a	n/a
171.29	0.99	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h018.png	n/a	n/a	n/a
201.09	1.0	cue	7	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h031.png	n/a	n/a	n/a
234.8	0.98	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l020.png	n/a	n/a	n/a
265.09	0.99	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l040.png	n/a	n/a	n/a
295.49	0.99	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l052.png	n/a	n/a	n/a
337.89	0.99	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h016.png	n/a	n/a	n/a
362.6	0.99	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h020.png	n/a	n/a	n/a
6.11		expectrating	1	low_cue	n/a			44.49	Strong	0.7	1.33	l038.png	n/a	n/a	n/a
49.1	3.19	expectrating	2	high_cue	n/a	47.11	Strong	47.11	Strong	1.22	1.97	h019.png	n/a	n/a	n/a
83.79	2.63	expectrating	3	low_cue	n/a	50.55	Strong	50.55	Strong	1.2	1.43	l033.png	n/a	n/a	n/a
111.8	3.03	expectrating	4	low_cue	n/a	54.97	Strong	54.97	Strong	1.07	1.97	l027.png	n/a	n/a	n/a
146.9	2.59	expectrating	5	high_cue	n/a	49.9	Strong	49.9	Strong	1.2	1.39	h023.png	n/a	n/a	n/a
173.29	3.18	expectrating	6	high_cue	n/a	49.75	Strong	49.75	Strong	1.07	2.12	h018.png	n/a	n/a	n/a
