event01_cue_onset	event02_expect_displayonset	event03_stimulus_displayonset	event04_actual_displayonset	param_cue_type	param_stimulus_type	event02_expect_RT	event02_expect_angle	event04_actual_RT	event04_actual_angle	cue_con	stim_lin	stim_quad
8.091210126876831	10.008610010147095	23.313640117645264	39.603140115737915	high_cue	low_stim					1	-1	1
52.39131999015808	54.99231004714966	68.99762010574341	83.90327000617981	low_cue	med_stim					-1	0	-2
93.19012999534607	96.09123992919922	105.59485006332397	116.41562008857727	high_cue	high_stim					1	1	1
123.4016101360321	126.70287013053894	134.68923997879028	142.99239993095398	low_cue	high_stim					-1	1	1
151.29556012153625	153.09624004364014	167.10157990455627	177.7056200504303	high_cue	low_stim					1	-1	1
188.39301991462708	190.4938199520111	198.49688005447388	207.50030994415283	high_cue	med_stim					1	0	-2
218.1877200603485	220.30519008636475	230.19230008125305	239.21240997314453	low_cue	high_stim					-1	1	1
246.1984100341797	248.69936990737915	257.6861300468445	268.29018998146057	high_cue	med_stim					1	0	-2
277.5937399864197	280.6949300765991	292.4994399547577	305.2042999267578	low_cue	low_stim					-1	-1	1
309.6893501281738	311.9902300834656	319.9932999610901	330.79743003845215	low_cue	low_stim					-1	-1	1
339.20064997673035	342.3018400669098	354.589879989624	366.911269903183	high_cue	high_stim					1	1	1
371.69642996788025	373.9973199367523	382.0003800392151	394.8052899837494	low_cue	med_stim					-1	0	-2
