event01_cue_onset	event02_expect_displayonset	event03_stimulus_displayonset	event04_actual_displayonset	param_cue_type	param_stimulus_type	event02_expect_RT	event02_expect_angle	event04_actual_RT	event04_actual_angle	cue_con	stim_lin	stim_quad
10.979250192642212	14.297160148620605	32.48727011680603	45.29205012321472	low_cue	med_stim	2.1176772117614697	37.1910075397043	2.3844356536865203	43.6677801461304	-1	0	-2
51.47768998146057	53.69517993927002	62.381760120391846	75.18652987480164	low_cue	high_stim	1.8842303752899199	51.1964134291043	2.45669603347778	1.16438804012388	-1	1	1
82.98943996429443	85.79048991203308	92.49299001693726	100.37926006317139	high_cue	low_stim	2.81933164596558	60.3128183608063	1.26730799674988	97.7542856958229	1	-1	1
117.18552994728088	119.28630995750427	132.79135012626648	145.57945013046265	high_cue	med_stim	2.57355117797852	69.3624530153122	2.58442449569702	9.23555909316592	1	0	-2
150.48128008842468	152.69877004623413	170.88889002799988	179.592129945755	high_cue	high_stim	1.33401942253113	59.6277136423551	2.3010404109954803	6.467458927791519	1	1	1
185.0775101184845	187.07826018333435	195.5814299583435	204.2846701145172	low_cue	high_stim	1.45066857337952	31.122470196792	1.92521667480469	41.7480543996361	-1	1	1
213.18800020217896	216.48922991752625	224.97571992874146	238.08061003684998	low_cue	low_stim	3.3706526756286603	47.1090897372578	2.5178642272949197	6.0724564072077	-1	-1	1
244.2829201221466	247.28403997421265	253.98653984069824	262.9899001121521	high_cue	high_stim	2.52584171295166	68.8801438465753	3.1199731826782204	21.2028186438097	1	1	1
270.37598991394043	272.3934099674225	281.68020009994507	298.586510181427	high_cue	low_stim	2.33432650566101	51.6624771065963	1.69003677368164	10.859503235322	1	-1	1
304.0885601043701	306.28938007354736	313.5921001434326	329.78148007392883	low_cue	med_stim	2.1871564388275098	31.9081069356532	3.30145764350891	10.902944831751899	-1	0	-2
338.0845699310303	340.2853899002075	352.18983006477356	363.8942000865936	low_cue	low_stim	2.04122495651245	32.029785156997	2.96794605255127	10.6337744921121	-1	-1	1
376.08207988739014	378.89979004859924	387.3862898349762	394.9891300201416	high_cue	med_stim	1.2340176105499299	77.9213462894872	1.40409445762634	27.704599947147603	1	0	-2
