"","X","Unnamed..0","index","nifti_name","sub","ses","run","run_type","ev","num","onset","dur","mod","regressor","cue_type","stim_type","expect_rating","actual_rating","cue_con","stim_lin","stim_quad","subject","subject","fname_noext","vps","vps_corr","vps_cosine","con"
"89",172,172,16,"sub-0006_ses-06_run-04-pain-ptb_task-social-ev-stim-0005",6,1,4,"pain-ptb","stim",5,144.533109903336,5,1,"True","low_cue","med_stim",53.0376153004857,51.4146018073397,-1,0,-2,"6","sub-0006","pain_ev-stim_l2norm",-7.27577628906933,-0.0182589852620918,-0.0201488329290831,"pain"
"90",173,173,17,"sub-0006_ses-06_run-04-pain-ptb_task-social-ev-stim-0006",6,1,4,"pain-ptb","stim",6,182.29734992981,5,1,"True","low_cue","high_stim",85.159887511153,125.806417751387,-1,1,1,"6","sub-0006","pain_ev-stim_l2norm",-7.98618567550458,-0.029141920154365,-0.0219588649238639,"pain"
"91",174,174,18,"sub-0006_ses-06_run-04-pain-ptb_task-social-ev-stim-0007",6,1,4,"pain-ptb","stim",7,204.721040010452,5,1,"True","high_cue","high_stim",55.2753581648781,33.111341960372,1,1,1,"6","sub-0006","pain_ev-stim_l2norm",-11.8041078952636,-0.0353892798374841,-0.0319572967204894,"pain"
"92",175,175,19,"sub-0006_ses-06_run-04-pain-ptb_task-social-ev-stim-0008",6,1,4,"pain-ptb","stim",8,245.435260057449,5,1,"True","low_cue","low_stim",69.0944306630845,36.9662739712862,-1,-1,1,"6","sub-0006","pain_ev-stim_l2norm",10.6339463687774,0.0280042376943076,0.0290100875850562,"pain"
"93",176,176,20,"sub-0006_ses-06_run-04-pain-ptb_task-social-ev-stim-0009",6,1,4,"pain-ptb","stim",9,277.611840009689,5,1,"True","low_cue","low_stim",66.0613544612128,12.3039235540599,-1,-1,1,"6","sub-0006","pain_ev-stim_l2norm",0.309917376981446,0.000497190976472508,0.00084203612901298,"pain"
"94",177,177,21,"sub-0006_ses-06_run-04-pain-ptb_task-social-ev-stim-0010",6,1,4,"pain-ptb","stim",10,320.432950019836,5,1,"True","high_cue","low_stim",38.0633870698261,90.6986943829835,1,-1,1,"6","sub-0006","pain_ev-stim_l2norm",5.74359579137291,0.0157715065165662,0.0155923831921661,"pain"
"95",178,178,22,"sub-0006_ses-06_run-04-pain-ptb_task-social-ev-stim-0011",6,1,4,"pain-ptb","stim",11,356.821569919586,5,1,"True","high_cue","med_stim",30.5245640369386,2.08677727557076,1,0,-2,"6","sub-0006","pain_ev-stim_l2norm",0.815366064385575,-0.00697341139323049,0.00220927479726048,"pain"
"96",179,179,23,"sub-0006_ses-06_run-04-pain-ptb_task-social-ev-stim-0012",6,1,4,"pain-ptb","stim",12,388.809570074081,5,1,"True","high_cue","high_stim",80.9553334655894,12.0786537105128,1,1,1,"6","sub-0006","pain_ev-stim_l2norm",-2.08528660501765,-0.0155126821307335,-0.00570559169008024,"pain"
"97",376,376,12,"sub-0006_ses-06_run-02-pain-ptb_task-social-ev-stim-0001",6,3,2,"pain-ptb","stim",1,24.6819798946381,5,1,"True","low_cue","low_stim",37.1910075397043,43.6677801461304,-1,-1,1,"6","sub-0006","pain_ev-stim_l2norm",-5.22288208577002,-0.0189895076686669,-0.0157161896252011,"pain"
"98",377,377,13,"sub-0006_ses-06_run-02-pain-ptb_task-social-ev-stim-0002",6,3,2,"pain-ptb","stim",2,47.326819896698,5,1,"True","low_cue","med_stim",51.1964134291043,1.16438804012388,-1,0,-2,"6","sub-0006","pain_ev-stim_l2norm",7.17685594773539,0.0160369560694477,0.0197885324959506,"pain"
"99",378,378,14,"sub-0006_ses-06_run-02-pain-ptb_task-social-ev-stim-0003",6,3,2,"pain-ptb","stim",3,75.7288599014282,5,1,"True","low_cue","low_stim",60.3128183608063,97.7542856958229,-1,-1,1,"6","sub-0006","pain_ev-stim_l2norm",10.1775267428128,0.0272243366402801,0.0292374323606257,"pain"
"100",379,379,15,"sub-0006_ses-06_run-02-pain-ptb_task-social-ev-stim-0004",6,3,2,"pain-ptb","stim",4,103.34893989563,5,1,"True","low_cue","high_stim",69.3624530153122,9.23555909316592,-1,1,1,"6","sub-0006","pain_ev-stim_l2norm",-4.95080256387427,-0.0173656514377133,-0.0146731522882497,"pain"
"101",380,380,16,"sub-0006_ses-06_run-02-pain-ptb_task-social-ev-stim-0005",6,3,2,"pain-ptb","stim",5,135.323630094528,5,1,"True","high_cue","med_stim",59.6277136423551,6.46745892779152,1,0,-2,"6","sub-0006","pain_ev-stim_l2norm",3.99763939209518,0.0150466223819108,0.0134645375488054,"pain"
"102",381,381,17,"sub-0006_ses-06_run-02-pain-ptb_task-social-ev-stim-0006",6,3,2,"pain-ptb","stim",6,171.343280076981,5,1,"True","high_cue","high_stim",31.122470196792,41.7480543996361,1,1,1,"6","sub-0006","pain_ev-stim_l2norm",-2.3343547405749,-0.0128536095752387,-0.00740633708327818,"pain"
