"","X","Unnamed..0","index","nifti_name","sub","ses","run","run_type","ev","num","onset","dur","mod","regressor","cue_type","stim_type","expect_rating","actual_rating","cue_con","stim_lin","stim_quad","subject","subject","fname_noext","vps","vps_corr","vps_cosine","con"
"73",12,12,12,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0001",6,1,1,"vicarious","stim",1,15.6947999000549,5,1,"True","low_cue","med_stim",66.3179122754616,16.7652025082104,-1,0,-2,"6","sub-0006","vicarious_ev-stim_l2norm",16.407239317155,0.0488306638380999,0.0445806184991204,"vicarious"
"74",13,13,13,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0002",6,1,1,"vicarious","stim",2,46.4948899745941,5,1,"True","low_cue","low_stim",50.5484662937181,11.3099324740202,-1,-1,1,"6","sub-0006","vicarious_ev-stim_l2norm",13.1178673718119,0.0393242197949067,0.0353598333120227,"vicarious"
"75",14,14,14,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0003",6,1,1,"vicarious","stim",3,84.1947000026703,5,1,"True","low_cue","high_stim",63.0234960789303,27.1811110854772,-1,1,1,"6","sub-0006","vicarious_ev-stim_l2norm",5.46890911976985,0.0131049501147564,0.014650205750815,"vicarious"
"76",15,15,15,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0004",6,1,1,"vicarious","stim",4,114.794859886169,5,1,"True","high_cue","low_stim",47.9273479917409,6.21337526527838,1,-1,1,"6","sub-0006","vicarious_ev-stim_l2norm",9.0470222987725,0.0228286804372054,0.0243123438767457,"vicarious"
"77",16,16,16,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0005",6,1,1,"vicarious","stim",5,149.799069881439,5,1,"True","high_cue","med_stim",53.0376153004857,51.4146018073397,1,0,-2,"6","sub-0006","vicarious_ev-stim_l2norm",10.4502331832324,0.02754487455044,0.0284885379106209,"vicarious"
"78",17,17,17,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0006",6,1,1,"vicarious","stim",6,180.99427986145,5,1,"True","high_cue","high_stim",85.159887511153,125.806417751387,1,1,1,"6","sub-0006","vicarious_ev-stim_l2norm",19.3768406608272,0.0512620046231008,0.0524819347851741,"vicarious"
"79",18,18,18,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0007",6,1,1,"vicarious","stim",7,212.193959951401,5,1,"True","high_cue","low_stim",55.2753581648781,33.111341960372,1,-1,1,"6","sub-0006","vicarious_ev-stim_l2norm",-4.44965238797661,-0.00537952718007877,-0.0118828969941396,"vicarious"
"80",19,19,19,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0008",6,1,1,"vicarious","stim",8,251.293919801712,5,1,"True","low_cue","high_stim",69.0944306630845,36.9662739712862,-1,1,1,"6","sub-0006","vicarious_ev-stim_l2norm",6.84787165658501,0.0228326154224722,0.0185405771742115,"vicarious"
"81",20,20,20,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0009",6,1,1,"vicarious","stim",9,279.19441986084,5,1,"True","high_cue","high_stim",66.0613544612128,12.3039235540599,1,1,1,"6","sub-0006","vicarious_ev-stim_l2norm",13.2512831031632,0.0344280715445926,0.0358201356144176,"vicarious"
"82",21,21,21,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0010",6,1,1,"vicarious","stim",10,316.494230031967,5,1,"True","low_cue","med_stim",38.0633870698261,90.6986943829835,-1,0,-2,"6","sub-0006","vicarious_ev-stim_l2norm",12.3462625950678,0.0323367192457374,0.0341166176354138,"vicarious"
"83",22,22,22,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0011",6,1,1,"vicarious","stim",11,349.194109916687,5,1,"True","high_cue","med_stim",30.5245640369386,2.08677727557076,1,0,-2,"6","sub-0006","vicarious_ev-stim_l2norm",9.13093612887138,0.0221246035408063,0.0244726776169174,"vicarious"
"84",23,23,23,"sub-0006_ses-06_run-01-vicarious_task-social-ev-stim-0012",6,1,1,"vicarious","stim",12,383.394629955292,5,1,"True","low_cue","low_stim",80.9553334655894,12.0786537105128,-1,-1,1,"6","sub-0006","vicarious_ev-stim_l2norm",31.4640069142987,0.0884900208967998,0.0858712350681033,"vicarious"
"85",220,220,12,"sub-0006_ses-06_run-05-vicarious_task-social-ev-stim-0001",6,1,5,"vicarious","stim",1,18.1833600997925,5,1,"True","low_cue","med_stim",66.3179122754616,16.7652025082104,-1,0,-2,"6","sub-0006","vicarious_ev-stim_l2norm",4.05170440125726,0.0104130142274113,0.0109943988215381,"vicarious"
"86",221,221,13,"sub-0006_ses-06_run-05-vicarious_task-social-ev-stim-0002",6,1,5,"vicarious","stim",2,49.5818901062012,5,1,"True","low_cue","low_stim",50.5484662937181,13.1870599078291,-1,-1,1,"6","sub-0006","vicarious_ev-stim_l2norm",12.8266351403004,0.0333603087839781,0.0348293855654702,"vicarious"
