"","X","Unnamed..0","index","nifti_name","sub","ses","run","run_type","ev","num","onset","dur","mod","regressor","cue_type","stim_type","expect_rating","actual_rating","cue_con","stim_lin","stim_quad","subject","subject","fname_noext","vps","vps_corr","vps_cosine","con"
"89",276,276,16,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0005",6,1,6,"cognitive","stim",5,134.088529825211,5,1,"True","high_cue","med_stim",53.0376153004857,51.4146018073397,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",6.51097326026991,0.0245432070765774,0.0176118592839346,"cognitive"
"90",277,277,17,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0006",6,1,6,"cognitive","stim",6,162.882600069046,5,1,"True","high_cue","high_stim",85.159887511153,125.806417751387,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",14.3103873750072,0.0480582589088383,0.0390321165166775,"cognitive"
"91",278,278,18,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0007",6,1,6,"cognitive","stim",7,189.27577996254,5,1,"True","high_cue","low_stim",55.2753581648781,33.111341960372,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",12.0833058850254,0.0332352749190752,0.0328359848946925,"cognitive"
"92",279,279,19,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0008",6,1,6,"cognitive","stim",8,227.990220069885,5,1,"True","high_cue","high_stim",69.0944306630845,36.9662739712862,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",4.76517800784032,0.0203381650671254,0.0129174869731338,"cognitive"
"93",280,280,20,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0009",6,1,6,"cognitive","stim",9,259.185179948807,5,1,"True","low_cue","low_stim",66.0613544612128,12.3039235540599,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",12.3370339520649,0.0311055871129129,0.0332292478207709,"cognitive"
"94",281,281,21,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0010",6,1,6,"cognitive","stim",10,290.780299901962,5,1,"True","low_cue","med_stim",38.0633870698261,90.6986943829835,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",7.47434095664765,0.0255221000367749,0.0200815119346675,"cognitive"
"95",282,282,22,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0011",6,1,6,"cognitive","stim",11,332.77929019928,5,1,"True","low_cue","high_stim",30.5245640369386,2.08677727557076,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-2.41167750431005,-0.00271983847615617,-0.00646615269318507,"cognitive"
"96",283,283,23,"sub-0006_ses-06_run-06-cognitive_task-social-ev-stim-0012",6,1,6,"cognitive","stim",12,377.479300022125,5,1,"True","high_cue","med_stim",80.9553334655894,12.0786537105128,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",0.0109236683674838,-0.00363145418160385,3.00063150106936e-05,"cognitive"
"97",324,324,12,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0001",6,3,1,"cognitive","stim",1,15.7005400657654,5,1,"True","low_cue","med_stim",64.9831065219,70.6410058243053,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",4.02925246453146,0.00565639825276818,0.0109360986598335,"cognitive"
"98",325,325,13,"sub-0006_ses-06_run-01-cognitive_task-social-ev-stim-0002",6,3,1,"cognitive","stim",2,46.4953498840332,5,1,"True","low_cue","low_stim",58.7994853960194,22.9565823245116,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",1.01567194328799,0.00935366147629761,0.00276731991530232,"cognitive"
