"","X","Unnamed..0","index","nifti_name","sub","ses","run","run_type","ev","num","onset","dur","mod","regressor","cue_type","stim_type","expect_rating","actual_rating","cue_con","stim_lin","stim_quad","subject","subject","fname_noext","nps","nps_corr","nps_cosine","npspos","npspos_corr","npspos_cosine","npsneg","npsneg_corr","npsneg_cosine","pos_nps_vermis","pos_nps_vermis_corr","pos_nps_vermis_cosine","pos_nps_rIns","pos_nps_rIns_corr","pos_nps_rIns_cosine","pos_nps_rV1","pos_nps_rV1_corr","pos_nps_rV1_cosine","pos_nps_rThal","pos_nps_rThal_corr","pos_nps_rThal_cosine","pos_nps_lIns","pos_nps_lIns_corr","pos_nps_lIns_cosine","pos_nps_rdpIns","pos_nps_rdpIns_corr","pos_nps_rdpIns_cosine","pos_nps_rS2_Op","pos_nps_rS2_Op_corr","pos_nps_rS2_Op_cosine","pos_nps_dACC","pos_nps_dACC_corr","pos_nps_dACC_cosine","neg_nps_rLOC","neg_nps_rLOC_corr","neg_nps_rLOC_cosine","neg_nps_lLOC","neg_nps_lLOC_corr","neg_nps_lLOC_cosine","neg_nps_rpLOC","neg_nps_rpLOC_corr","neg_nps_rpLOC_cosine","neg_nps_pgACC","neg_nps_pgACC_corr","neg_nps_pgACC_cosine","neg_nps_lSTS","neg_nps_lSTS_corr","neg_nps_lSTS_cosine","neg_nps_rIPL","neg_nps_rIPL_corr","neg_nps_rIPL_cosine","neg_nps_PCC","neg_nps_PCC_corr","neg_nps_PCC_cosine","con"
"73",116,116,12,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0001",6,1,3,"cognitive","stim",1,22.5988800525665,5,1,"True","low_cue","low_stim",57.1650298702869,32.0053832080835,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",3.76008203118732,-0.00551054589772335,0.0337583186803788,4.7031168310609,0.0598019698544696,0.439929509450258,-3.22498348662582,-0.0972190954040926,-0.530332476141505,0.0884326622383219,-0.0424474716732836,0.94784618910724,0.506403839507138,0.028268433466761,0.523115649917419,0.321589976305231,0.381463316879996,0.925274802712504,0.152191075963982,-0.298323850170284,0.779300607098888,0.223779387199101,-0.621380498508323,0.5441446098741,0.107414299499416,0.162521105078297,0.659014711604468,0.495071443590404,0.47637217978213,0.925265772459526,1.42533893613935,-0.11184756661578,0.794484309617739,-0.4758939361135,-0.457142543818709,-0.95193397866486,-0.217751877729476,-0.53350545350364,-0.96314880794924,-0.514957981951966,-0.154514502710811,-0.889011292770641,-0.103735491388589,0.509619286547239,-0.756153256131659,-0.431112917416378,-0.320276909671502,-0.922015428453579,-0.275521100762213,0.632188614196189,-0.748283036225517,-0.228232955490372,0.00859440674576565,-0.934563710181032,"cognitive"
"74",117,117,13,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0002",6,1,3,"cognitive","stim",2,50.1925098896027,5,1,"True","low_cue","med_stim",45.1623105559367,101.604762356379,-1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",-9.48673415535954,-0.112527037388038,-0.0916436348258605,-0.142096401524679,-0.0063014415899216,-0.0156696559343578,-3.12870599211172,-0.103482854116756,-0.404753790334213,-0.126296625322377,-0.0451170850411633,-0.932398983221566,-0.376044289888404,-0.0811739721908189,-0.270693040123979,0.280037696905916,0.705311233192432,0.944824845869621,-0.13255617041441,-0.0368797065617135,-0.710826536559981,0.235037843943442,0.069575526098936,0.801395575730938,-0.0645211088661442,0.340680806773927,-0.600572115902878,-0.327061201690896,-0.0399796534588823,-0.893549967141854,0.318063720306246,0.0244856689573248,0.288970146529605,-0.685199030286523,-0.596505395939523,-0.958730052713008,-0.410548752989333,-0.259174397295532,-0.960451315324086,-0.50155971981723,-0.219879724049634,-0.704747307568699,-0.0177830496506997,-0.156407921617761,-0.214225952138015,-0.0197688298015363,-0.268876071797872,-0.198727962763172,-0.399789689725544,0.55842630316347,-0.707906069960172,-0.14899941752019,-0.543933151731172,-0.843393553124102,"cognitive"
"75",118,118,14,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0003",6,1,3,"cognitive","stim",3,86.0892198085785,5,1,"True","high_cue","med_stim",103.201087175706,92.591866705235,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",-2.71155896241684,-0.032011258550421,-0.0253409282185168,2.02508674934023,0.0825008368892538,0.186006102958906,-1.12749545662324,0.0470256947238527,-0.168078927387302,0.0124962262183651,0.403699512775832,0.185137553303128,0.799386887795853,-0.0762351365046724,0.470166826485421,0.379587674079145,-0.114724190865174,0.870767716674439,0.136925999684174,0.705474642927428,0.646391341749406,-0.0604783933618753,0.52316782195427,-0.157987863366188,-0.0746564107193235,0.331508443965175,-0.522797342300802,0.216774004819335,0.329202920626395,0.766690550040185,0.0302635076887157,0.0982436525015076,0.0234391521794143,-0.454223831465125,-0.0693849477978299,-0.811531306702843,-0.165749416496616,-0.0993058396438468,-0.936754394109397,-0.443568102682224,-0.142890132164791,-0.882585449024436,0.279874566224489,-0.0521897476295076,0.750614423319765,0.51604870623195,0.469770693299883,0.87644495274263,-0.432581851480806,-0.0191620450009766,-0.824411222831116,-0.0300434214382953,-0.0407250046422079,-0.269525953898673,"cognitive"
"76",119,119,15,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0004",6,1,3,"cognitive","stim",4,120.301979780197,5,1,"True","low_cue","high_stim",65.5560452195835,85.8653286262636,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-4.74410844050997,-0.0476088699792983,-0.0461397832095192,1.5830163944545,-0.0311437795763681,0.161161050360647,-1.6864096887969,-0.107532019231564,-0.247731561945079,0.0279891790234001,0.367328851673384,0.659157321606926,0.333793191936204,-0.132400503051108,0.25043523606068,0.49935356606445,0.553379945310725,0.95415366738882,0.203788719931369,-0.1713229628465,0.802001821115355,0.126712349963108,-0.156826388956426,0.634160254417079,-0.0766380664638058,-0.1398495175739,-0.493109648098039,-0.347122439864597,-0.408179523398406,-0.869459121331937,0.244759836813668,0.0041300434278933,0.258412445011632,-0.436315563433316,0.43484483374219,-0.823838450123068,-0.239355355856116,-0.756583685475972,-0.98375437307168,-0.67251837130261,-0.295571772097648,-0.894906864070051,0.165607357345821,-0.460210653781502,0.776086477733429,0.229535677751587,0.357618271953095,0.867981811046493,-0.503446761417753,0.585065352005729,-0.73411299985133,0.279254699658916,0.0255523720359869,0.907373212271754,"cognitive"
"77",120,120,16,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0005",6,1,3,"cognitive","stim",5,155.298369884491,5,1,"True","high_cue","med_stim",110.420015609278,69.8205413354891,1,0,-2,"6","sub-0006","cognitive_ev-stim_l2norm",-2.69120037836281,-0.0698790088394826,-0.0239727152771765,4.87713605208051,-0.0119149823644743,0.412074413116107,-3.89606061620491,-0.101522021659798,-0.443466071212721,0.221826384601859,0.133372470349295,0.961591854023879,1.04640498390983,-0.00443105715883462,0.642703464045161,0.638964773009091,0.660197139003211,0.956072198759252,0.221202688008908,-0.419815113438304,0.809264069637519,0.260119515172217,-0.345758619233475,0.678127454745829,0.137726240310569,0.191156067900191,0.877773869996521,0.0658105003648974,-0.176904682594042,0.450594169950338,0.768621612420791,0.170456434897648,0.567558411542641,-0.783975917712056,-0.1699571595282,-0.932785538747667,-0.395323890614278,-0.623932455225868,-0.974507079157804,-0.838553493782971,-0.172767628621822,-0.91200243490948,0.0477189221395536,-0.351326500836947,0.41565769122852,-0.00166901554815316,0.607391333184731,-0.0114009403986079,-0.733024749927015,0.582015216614554,-0.758732231311239,-0.0334107896445964,0.0793201215421087,-0.496689660249853,"cognitive"
"78",121,121,17,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0006",6,1,3,"cognitive","stim",6,182.691919803619,5,1,"True","low_cue","high_stim",111.501434324048,61.6836450567278,-1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",-4.73204549649012,-0.0761720813088343,-0.0405630822452076,3.30973501570521,0.0266005982810501,0.305669199804226,-3.53206459667658,-0.0966636576302836,-0.395582306957409,-0.0303284769172279,0.276070276089376,-0.523264353927086,0.591329156382596,0.0164275486513715,0.42564269237049,0.376376574671711,0.138441715117469,0.886836038811158,0.170752785501611,-0.285518868611705,0.767653207990419,0.115930209201345,-0.591547198317815,0.351452783286916,-0.0279763675438189,-0.694594127678892,-0.374615494297613,-0.0663586911375556,-0.226784905062451,-0.694777239104075,1.13297571138165,-0.108088852184233,0.591563997512647,-0.749976477786233,0.0659544899938167,-0.918657166653618,-0.241938774286879,-0.493741103799172,-0.958911259881635,-1.0818422895014,-0.28323534175417,-0.898375010896595,0.131813996160945,0.320383418105799,0.788081877188222,0.0602367314062862,0.449482546948733,0.352749882793646,-0.56643927984133,0.443858769048291,-0.789294755406678,0.0165586899323069,0.101065561934518,0.33563777507002,"cognitive"
"79",122,122,18,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0007",6,1,3,"cognitive","stim",7,218.205159902573,5,1,"True","low_cue","low_stim",91.8476102659946,22.6552327086798,-1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",5.07367697479569,0.0072756234141569,0.0415488802298961,6.24311883542164,0.0479137315618986,0.474542462414447,-3.42070635620405,-0.0741455193895225,-0.441665464529305,0.127133728225691,-0.0855022354964078,0.884920187700493,1.28681377604504,0.00861286796508403,0.712231994211316,0.341918412170135,0.662757805691357,0.92719726049623,0.235088096494455,-0.223601230128809,0.723216178492287,0.332262243359654,-0.412411547233548,0.714961627875652,0.283807737805789,0.343528459626685,0.864872769779721,0.45916415397158,0.67273303155788,0.962361842621999,1.36364384195118,0.0939602615759564,0.718220137429185,-0.742161702458069,-0.163352920973649,-0.927331857588732,-0.233496552808852,-0.516525781454076,-0.926434837661271,-0.696151420685362,-0.245405729438545,-0.911477994723589,0.131062477447817,0.296318896240404,0.818128192256106,-0.112514311568271,0.395146353299333,-0.580716068494365,-0.579196701923522,0.595122485176559,-0.748430782980631,-0.15539350687436,0.223319712496957,-0.832052601078015,"cognitive"
"80",123,123,19,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0008",6,1,3,"cognitive","stim",8,245.29859995842,5,1,"True","high_cue","high_stim",122.203039274405,10.4494281577692,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",0.761846401141198,-0.0412226197696999,0.00655196025273454,4.97396908671784,0.0688177883345759,0.482074419209722,-4.01754624887986,-0.089327629386231,-0.472023258033035,0.156608101879742,0.667866078905717,0.980679854012121,1.08668981330934,0.0100872964091164,0.767793812886068,0.377313849775609,0.677408136770695,0.964318205504196,0.120099276511536,-0.39279278833534,0.717521029536849,0.297555598778061,-0.137848456004371,0.777148635305169,0.104840268868688,0.228643959824005,0.815713032505866,0.193052128218277,0.312399354343651,0.859364814548811,1.13341607064459,0.144394240090515,0.744746275051424,-0.748219946198962,-0.397227859467337,-0.944763223466995,-0.318044548603631,-0.562347615813031,-0.973855649690782,-0.740955255783868,-0.224466299204828,-0.895813992186095,0.167264528196722,0.156948742680721,0.837871770393927,-0.334196023578769,-0.0875896735850411,-0.944356260382768,-0.618468944337103,0.560670296370363,-0.752346931042018,-0.196760307078307,0.0278057924920075,-0.924746815309419,"cognitive"
"81",124,124,20,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0009",6,1,3,"cognitive","stim",9,279.494679927826,5,1,"True","high_cue","high_stim",100.222168633636,66.4641990542205,1,1,1,"6","sub-0006","cognitive_ev-stim_l2norm",0.130961364650216,-0.0223203582055764,0.00129383126019131,4.55931876190503,0.0449502716263849,0.394450870799467,-1.5209328396591,-0.0406505372768315,-0.264406022082002,0.175106587114989,0.121323684472305,0.916829738372011,1.17653310413305,0.0902666646967269,0.714654518393412,0.416764029430309,0.657312452806567,0.962942314088912,0.383450609642619,-0.0547978030609753,0.823588121372486,0.326711126154922,0.247896607898117,0.812076033788427,0.0278006631116122,-0.534499569792409,0.355641132322539,-0.159596865295708,-0.248212214760248,-0.6417751141022,0.83004091409759,0.147032706933196,0.646031424953186,-0.447419632864048,0.357918453699301,-0.817994914333005,-0.155437284919014,-0.326479857054856,-0.893030189031962,-0.456193498921848,0.167206941770356,-0.859857677783667,0.165586355544349,-0.205458410150147,0.740952622379717,0.201505092021934,0.590942169615907,0.777059241970302,-0.473670449608709,0.644141940779709,-0.77959778482867,0.111965255073674,-0.196214390749283,0.774490920863065,"cognitive"
"82",125,125,21,"sub-0006_ses-06_run-03-cognitive_task-social-ev-stim-0010",6,1,3,"cognitive","stim",10,321.893830060959,5,1,"True","high_cue","low_stim",100.449428157769,17.7097245238628,1,-1,1,"6","sub-0006","cognitive_ev-stim_l2norm",2.81795913435196,0.00120021059134739,0.0271583723867777,5.80925326166778,0.0920465457289047,0.461962726024786,-2.40401895406602,-0.0858259951845708,-0.379562359144377,0.222312247288329,0.201241291110062,0.961624008881545,1.24296543381614,0.261411308765249,0.806087936291052,0.397900067727613,0.361323254891194,0.920877860253185,0.47544388311467,-0.0465053731056494,0.858856493192722,0.118998744198789,-0.47741441496051,0.436965994586574,0.0348880523258528,-0.252677474690929,0.426012914573269,0.334666004931838,0.519380900654456,0.949990862454776,1.27698991983876,0.189631883513118,0.716343805428083,-0.455231379191366,0.183585220254028,-0.886375920571547,-0.149889041256852,-0.541532072189641,-0.831648911425918,-0.70895157551913,0.0263753039962197,-0.900517915176505,0.215484174004021,-0.0233458108372758,0.845689190603093,-0.178059407076334,0.0330918580531511,-0.723085525681452,-0.447753261232019,0.500967317674726,-0.812903482101005,0.0611676036246435,-0.107034463708466,0.446033575067066,"cognitive"
