param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,param_videoSubject,param_videoFilename,param_cue_type,param_administer_type,param_cond_type,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_filename,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration,param_runNum,param_triggerOnset
1,3,1,052-dr052,dr052t2aaaff_M.mp4,high,med,4,13559.0662447534,0.808866875084277,13559.9073880994,high,h041.png,13560.9906400827,13564.3906313333,3.39996829709708,13565.0253839251,0.815150206675753,dr052t2aaaff_M.mp4,dr052t2aaaff_M.mp4,13566.0415202703,13572.5300636137,NaN,13572.5566287015,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,103-jk103,jk103t1aaunaff_L.mp4,low,low,1,13576.5742146308,4.0155778988119,13580.6227959529,low,l025.png,13581.6560826501,13584.4727907276,2.81668728435397,13585.690499742,1.21547765931064,jk103t1aaunaff_L.mp4,jk103t1aaunaff_L.mp4,13586.9327085647,13593.4284066645,2.03324376048295,13593.4387136183,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,096-bg096,bg096t1aeaff_H.mp4,high,high,6,13597.4742716366,0.914306299182499,13598.4050669555,high,h024.png,13599.4384300744,13601.8049512696,2.36649986187331,13603.4727450906,0.115430429006665,bg096t1aeaff_H.mp4,bg096t1aeaff_H.mp4,13603.6143023296,13610.1104565299,1.64998969790759,13610.1210999557,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,124-dn124,dn124t1aaunaff_L.mp4,low,low,1,13614.1552880522,1.11557787180573,13615.2874057115,low,l031.png,13616.3206905184,13618.6874987679,2.36680554914346,13620.3545602356,0.815963302404271,dn124t1aaunaff_L.mp4,dn124t1aaunaff_L.mp4,13621.1966697911,13627.6928871811,2.29989082211796,13627.7033207845,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,043-jh043,jh043t2aaunaff_L.mp4,high,low,2,13631.7385482717,4.0148366341873,13635.7861701355,high,h022.png,13636.8195202924,13639.4859968497,2.66647466697759,13640.8557172296,0.613807072988493,jh043t2aaunaff_L.mp4,jh043t2aaunaff_L.mp4,13641.4981260452,13647.9925166028,2.14992664315832,13648.0020990346,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,097-gf097,gf097t1aiaff_M.mp4,low,med,3,13652.037004632,2.71537085779528,13654.768401928,low,l045.png,13655.8017080681,13658.4848391807,2.68312949231404,13659.8355823761,0.215871380190947,gf097t1aiaff_M.mp4,gf097t1aiaff_M.mp4,13660.0769170737,13666.573550058,2.03323889973035,13666.5843538886,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,095-tv095,tv095t2aeunaff_L.mp4,low,low,1,13670.6181031673,2.01605020184252,13672.6506313171,low,l029.png,13673.683916664,13675.5505033443,1.86658479000653,13677.7177904319,2.01648145852778,tv095t2aeunaff_L.mp4,tv095t2aeunaff_L.mp4,13679.760317958,13686.2559255938,2.58322727443374,13686.2664958383,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,124-dn124,dn124t1aiaff_H.mp4,low,high,5,13690.3002680705,0.416063325872528,13690.7329116901,low,l052.png,13691.7662513154,13693.7994224347,2.033169499,13695.8006576057,4.11531242075944,dn124t1aiaff_H.mp4,dn124t1aiaff_H.mp4,13699.9409745429,13706.4374846583,2.43323933179818,13706.4486349524,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,109-ib109,ib109t1afaff_M.mp4,high,med,4,13710.4823961129,4.01656112084493,13714.5148321785,high,h025.png,13715.548192327,13717.2647014108,1.71650719350691,13719.5820779767,0.516330100123014,ib109t1afaff_M.mp4,ib109t1afaff_M.mp4,13720.1240674445,13726.6193529205,1.54992086426319,13726.6307972902,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,121-vw121,vw121t1aaaff_H.mp4,low,high,5,13730.6646753788,1.31591915057834,13731.997122435,low,l021.png,13733.0304977059,13734.8969682682,1.86646867205127,13737.0643911868,0.516344412335457,vw121t1aaaff_H.mp4,vw121t1aaaff_H.mp4,13737.6057063604,13744.1018076325,1.9499056339082,13744.1130918674,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,042-ll042,ll042t1aiaff_H.mp4,low,high,5,13748.1468773316,0.816007589253786,13748.9794641345,low,l034.png,13750.0128291438,13752.3292962091,2.31646517501031,13754.0467247851,3.51635980471656,ll042t1aiaff_H.mp4,ll042t1aiaff_H.mp4,13757.5886875188,13764.083819611,1.66653758670691,13764.0952969258,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,042-ll042,ll042t1afunaff_M.mp4,low,med,3,13768.1290867107,4.01596162814712,13772.1614128693,low,l010.png,13773.1947911105,13774.9946277893,1.79983478845315,13777.2287051147,4.81580559801841,ll042t1afunaff_M.mp4,ll042t1afunaff_M.mp4,13782.0695209,13788.5658041803,1.76659912922332,13788.5771254109,14231.7344231138,675.583067949798,1,13556.151355164
1,3,1,124-dn124,dn124t1aeunaff_M.mp4,low,med,3,13792.6109160059,3.21602827445167,13795.8433584985,low,l033.png,13796.8767113559,13798.8265583907,1.94984514455427,13800.910573512,2.0158803455779,dn124t1aeunaff_M.mp4,dn124t1aeunaff_M.mp4,13802.9515585595,13809.1979103629,1.88326445918392,13809.2092372644,14231.7344231138,675.583067949798,1,13556.151355164
