ptb_coord_x,ptb_coord_y
1133.86328125,503.98046875
1425.890625,508.515625
1467.3515625,549.12109375
1021.17578125,694.1640625
1517.55078125,629.17578125
1033.9765625,680.07421875
1011.1875,691.51171875
1021.1328125,700.203125
1042.953125,614.61328125
1035.04296875,676.59765625
1037.8828125,667.7109375
1036.88671875,658.94921875
1513.12109375,630.01953125
1529.70703125,692.671875
1478.14453125,554.79296875
1148.91796875,499.33984375
1267.58984375,459.203125
1020.97265625,675.11328125
1047.70703125,606.04296875
1087.453125,539.8203125
1151.56640625,487.921875
1251.46875,458.81640625
1033.5859375,675.16015625
1107.55078125,522.05859375
1027.375,684.84765625
1331.94140625,467.12109375
1389.6640625,490.90625
1022.05859375,692.58984375
1222.61328125,457.45703125
1110.6640625,529.234375
1068.94921875,563.26953125
1265.74609375,473.3828125
1038.2109375,663.47265625
1038.875,676.61328125
1334.3203125,458.99609375
1029.65234375,654.40625
