ptb_coord_x,ptb_coord_y
963.65234375,567.31640625
475.890625,554.01171875
580.4296875,410.421875
809.6015625,387.3125
566.75390625,416.265625
477.11328125,578.4453125
512.375,479.53515625
700.82421875,368.72265625
591.3671875,398.25390625
593.37890625,400.0625
468.0546875,573.1484375
761.5546875,356.9296875
574.26171875,420.84375
800.6875,399.6328125
527.4296875,437.19140625
513.3828125,477.68359375
841.80859375,408.57421875
882.3671875,440.12109375
457.9140625,594.06640625
466.18359375,594.6484375
636.45703125,377.85546875
960.09375,577.64453125
476.5078125,564.57421875
865.83203125,411.43359375
552.33203125,423.15234375
466.63671875,554.765625
461.8671875,566.46875
458.4765625,599.0625
470.6640625,582.3046875
465.625,580.96875
471.2421875,560.13671875
473.93359375,560.79296875
459.97265625,566.8828125
546.1484375,436.62109375
487.72265625,508.53125
516.6484375,484.28515625
