,Unnamed: 0,stimuli_num,administer,match,cue_type,cue_image,random_order,cond_type,condition_name,condition_num_filled_in_during_exper,block_num,image_filename,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,13,50,different,low,h024_M052_STD043.png,7,1,cognitive,99,1,13_50_R.jpg,1,1051.390625,587.19921875,71141.63663555,2.00816212099744,0,0,0,0,0,0,71148.815420757,1,4.999531628011031,71149.317617484,71152.09248508,2.67439115900197
1,1,13,150,same,low,h038_M092_STD055.png,25,5,cognitive,99,1,13_150.jpg,1,1166.55078125,488.14453125,71153.435898443,2.00070573900302,0,0,0,0,0,0,71160.484737241,1,4.999671625002519,71160.986796465,71163.75485332901,2.7366853240091604
2,2,1,50,different,low,h041_M097_STD050.png,11,1,cognitive,99,1,1_50_R.jpg,1,1026.96484375,680.30859375,71165.03914844099,2.00039943899901,0,0,0,0,0,0,71172.08488888599,1,4.99969097600842,71172.586514467,71173.856712928,1.23855741599982
3,3,25,150,same,high,h050_M081_STD047.png,24,6,cognitive,99,1,25_150.jpg,1,1083.51171875,560.6796875,71176.64173868099,2.00134335798793,0,0,0,0,0,0,71183.68476823201,2,4.99948005299666,71184.18686396,71185.52690563901,1.30836239100609
4,4,6,150,different,low,h013_M110_STD031.png,35,5,cognitive,99,1,6_150_R.jpg,1,1069.546875,579.9140625,71188.244429899,2.00176508400182,0,0,0,0,0,0,71195.29488169901,1,4.999896511988481,71195.7988007,71197.41820623701,1.5833292989991599
5,5,34,50,same,high,h014_M093_STD052.png,4,2,cognitive,99,1,34_50.jpg,1,1027.85546875,676.97265625,71199.86387179,2.00115624799218,0,0,0,0,0,0,71206.89792313,2,4.99994313000934,71207.39981688901,71209.970139152,2.53759149899997
6,6,3,50,same,high,h017_M101_STD047.png,2,2,cognitive,99,1,3_50.jpg,1,1027.90234375,676.1953125,71211.450362598,2.0005648380028997,0,0,0,0,0,0,71218.48620448,2,4.99993123699096,71218.988086457,71221.072535853,2.05462704999081
7,7,11,50,same,high,h004_M104_STD055.png,0,2,cognitive,99,1,11_50.jpg,1,1016.625,679.77734375,71223.034670785,2.0001983310066898,0,0,0,0,0,0,71230.067277817,2,4.999476957003941,71230.569094326,71232.134703568,1.53307885200775
8,8,8,150,different,low,h018_M104_STD037.png,31,5,cognitive,99,1,8_150_R.jpg,1,1040.65625,607.02734375,71234.618052345,2.0004604769928798,0,0,0,0,0,0,71241.650603532,1,4.999482626008099,71242.15245637,71243.424515879,1.25050224100414
9,9,8,100,same,low,h008_M112_STD044.png,13,3,cognitive,99,1,8_100.jpg,1,1030.05859375,646.0,71246.191596601,2.00112270099635,0,0,0,0,0,0,71253.224890156,2,4.9998583919950805,71253.726607033,71256.127162081,2.37631820399838
10,10,26,50,same,low,h001_M063_STD035.png,1,1,cognitive,99,1,26_50.jpg,1,1029.2109375,660.6640625,71257.777859023,2.00111376799759,0,0,0,0,0,0,71264.811416953,2,4.99987920699641,71265.313149712,71266.47990011,1.1464623810024899
11,11,32,150,same,low,h047_M091_STD038.png,27,5,cognitive,99,1,32_150.jpg,1,1032.90625,647.234375,71269.364021295,2.00045526400208,0,0,0,0,0,0,71276.397266422,2,4.99957200000063,71276.89900965401,71278.502708053,1.57024387300771
12,12,11,100,different,high,h016_M088_STD039.png,18,4,cognitive,99,1,11_100_R.jpg,1,1053.82421875,589.99609375,71280.95068703,2.00074939800834,0,0,0,0,0,0,71287.983727674,1,4.999401719003799,71288.484604798,71290.817341609,2.3005934899993
13,13,18,50,different,high,h025_M103_STD038.png,10,2,cognitive,99,1,18_50_R.jpg,1,1034.82421875,657.61328125,71292.536271576,2.00024177299929,0,0,0,0,0,0,71299.565733708,1,4.999289643004889,71300.06759369999,,
14,14,39,50,same,low,h015_M097_STD053.png,3,1,cognitive,99,1,39_50.jpg,1,1039.55078125,662.83203125,71304.121733788,2.0006907920033004,0,0,0,0,0,0,71311.156016707,2,4.99994154900196,71311.657318665,71312.7413867,1.0579101769981198
15,15,5,150,different,low,h037_M106_STD056.png,33,5,cognitive,99,1,5_150_R.jpg,1,1087.82421875,556.69140625,71315.70896494201,2.00111028300307,0,0,0,0,0,0,71322.742082949,1,4.99967651099723,71323.243224394,71325.34410739099,2.07756484400306
