,Unnamed: 0,administer,cue_type,cue_image,random_order,trial_type,condition_name,condition_num_filled_in_during_exper,block_num,cB_version,ptb_coord_x,ptb_coord_y,p1_fixationPresent,p1_jitter,p2_cue,p3_ratingPresent,p3_ratingDecideOnset,p3_decisionRT,p4_fixationPresent,p4_jitter,p5_responseOnset,p5_responseKey,p5_RT,p6_ratingPresent,p6_ratingDecideOnset,p6_decisionRT
0,0,50,low,h036_M091_STD041.png,33,5,pain,99,1,1,963.65234375,567.31640625,8575.721999292,4.01200767000046,0,0,0,0,0,0,0,0,0,8592.858650034,8595.356556081,2.4002587260001698
1,1,48,high,h021_M092_STD054.png,10,2,pain,99,1,1,475.890625,554.01171875,8596.959334399,4.0146160130007,0,0,0,0,0,0,0,0,0,8614.078208337,8616.289305545999,2.1783545670005
2,2,49,high,h003_M083_STD036.png,20,4,pain,99,1,1,580.4296875,410.421875,8618.12451545,4.01637001200106,0,0,0,0,0,0,0,0,0,8635.238461916999,8638.455407698,3.18157259100008
3,3,50,high,h045_M075_STD059.png,28,6,pain,99,1,1,809.6015625,387.3125,8639.289309210999,4.01788726299856,0,0,0,0,0,0,0,0,0,8656.405923871,8658.689948586,2.24839114900169
4,4,49,low,h022_M097_STD045.png,17,3,pain,99,1,1,566.75390625,416.265625,8660.456162298,4.0175672660007,0,0,0,0,0,0,0,0,0,8677.586017838,8679.18928576,1.56481696100127
5,5,48,high,h018_M121_STD044.png,2,2,pain,99,1,1,477.11328125,578.4453125,8681.638327429,4.018322112999161,0,0,0,0,0,0,0,0,0,8698.752290709,8700.388796217,1.5990787939990698
6,6,49,low,h049_M074_STD036.png,21,3,pain,99,1,1,512.375,479.53515625,8702.805677361,4.01728407100018,0,0,0,0,0,0,0,0,0,8719.906743976999,8722.437933041,2.49844258600024
7,7,50,low,h053_M101_STD038.png,25,5,pain,99,1,1,700.82421875,368.72265625,8723.955233175,4.01754855000036,0,0,0,0,0,0,0,0,0,8741.069669161,8744.270850902,3.16590205300054
8,8,50,high,h014_M107_STD026.png,24,6,pain,99,1,1,591.3671875,398.25390625,8745.12160266,4.01752396200027,0,0,0,0,0,0,0,0,0,8762.324573296,8764.186999783,1.8305426370006899
9,9,50,high,h034_M073_STD052.png,30,6,pain,99,1,1,593.37890625,400.0625,8766.372458165,4.01519541199923,0,0,0,0,0,0,0,0,0,8783.530140878,8785.554220660999,1.98110384699976
10,10,49,low,h024_M097_STD033.png,19,3,pain,99,1,1,468.0546875,573.1484375,8787.587862499,4.01723846099958,0,0,0,0,0,0,0,0,0,8804.707217505,8807.186603961,2.44810648000021
11,11,50,high,h017_M120_STD055.png,32,6,pain,99,1,1,761.5546875,356.9296875,8808.75396459,4.01766439899984,0,0,0,0,0,0,0,0,0,8825.903323401999,,
12,12,49,high,h036_M082_STD044.png,22,4,pain,99,1,1,574.26171875,420.84375,8829.953829422,4.01763018599922,0,0,0,0,0,0,0,0,0,8847.067172108,8849.053673994,1.95113502300046
13,13,50,low,h007_M103_STD046.png,35,5,pain,99,1,1,800.6875,399.6328125,8851.103105625,4.01842693000071,0,0,0,0,0,0,0,0,0,8868.202153529,8870.019527964001,1.7821979990003503
14,14,49,high,h026_M073_STD040.png,14,4,pain,99,1,1,527.4296875,437.19140625,8872.253203266,4.01745079899956,0,0,0,0,0,0,0,0,0,8889.368089131,8890.8705098,1.4668112050003401
15,15,49,high,h043_M104_STD040.png,16,4,pain,99,1,1,513.3828125,477.68359375,8893.419680621999,4.01752643599866,0,0,0,0,0,0,0,0,0,8910.533139067,8911.918411734001,1.34936954899968
16,16,50,low,h026_M095_STD038.png,27,5,pain,99,1,1,841.80859375,408.57421875,8914.570299368,4.01560323800004,0,0,0,0,0,0,0,0,0,8931.688635016,8934.534816378,2.81573620100062
17,17,50,high,h048_M115_STD046.png,26,6,pain,99,1,1,882.3671875,440.12109375,8935.735351706,4.01803582699904,0,0,0,0,0,0,0,0,0,8952.847878264,8955.085204109,2.20074460599972
18,18,48,low,h005_M109_STD060.png,5,1,pain,99,1,1,457.9140625,594.06640625,8956.886666396,4.01628350200008,0,0,0,0,0,0,0,0,0,8973.998621551,8975.768019338,1.73342203099855
19,19,48,low,h020_M086_STD047.png,11,1,pain,99,1,1,466.18359375,594.6484375,8978.051906651,4.01754679799888,0,0,0,0,0,0,0,0,0,8995.168935282,8997.334692103,2.13287728599971
20,20,49,high,h033_M104_STD048.png,12,4,pain,99,1,1,636.45703125,377.85546875,8999.21857911,4.01698218999991,0,0,0,0,0,0,0,0,0,9016.336119955,9017.534350242,1.16600293599913
21,21,50,low,h056_M065_STD037.png,29,5,pain,99,1,1,960.09375,577.64453125,9020.38449944,4.01723288599896,0,0,0,0,0,0,0,0,0,9037.499318693,9039.433597407,1.89824465500169
22,22,48,low,h055_M120_STD026.png,7,1,pain,99,1,1,476.5078125,564.57421875,9041.551045691,4.0165051920012,0,0,0,0,0,0,0,0,0,9058.642745037,9061.683111406,2.99840183600099
23,23,50,low,h031_M101_STD059.png,31,5,pain,99,1,1,865.83203125,411.43359375,9062.700746193,4.017446403999201,0,0,0,0,0,0,0,0,0,9079.801275328,9081.349430753,1.5139756329990601
24,24,50,high,h044_M094_STD038.png,34,6,pain,99,1,1,552.33203125,423.15234375,9083.850369717,4.01752081400082,0,0,0,0,0,0,0,0,0,9100.965597874001,,
25,25,48,high,h022_M098_STD056.png,6,2,pain,99,1,1,466.63671875,554.765625,9105.016631818,4.01696346800054,0,0,0,0,0,0,0,0,0,9122.132634443,9123.799743493,1.63194682599897
26,26,48,high,h019_M079_STD044.png,0,2,pain,99,1,1,461.8671875,566.46875,9126.184253544001,4.01549620100013,0,0,0,0,0,0,0,0,0,9143.297176676,9145.481904336,2.1489225290006297
27,27,48,low,h028_M099_STD051.png,3,1,pain,99,1,1,458.4765625,599.0625,9147.349498444,4.01721990099941,0,0,0,0,0,0,0,0,0,9164.467435093,9166.115775495,1.6143931200003898
28,28,49,low,h021_M087_STD042.png,23,3,pain,99,1,1,470.6640625,582.3046875,9168.515913102,4.01727942600155,0,0,0,0,0,0,0,0,0,9185.631431631,9188.532109375,2.86657546499919
29,29,48,high,h052_M082_STD052.png,8,2,pain,99,1,1,465.625,580.96875,9189.681467614,4.018335542999919,0,0,0,0,0,0,0,0,0,9206.793858047,,
30,30,48,high,h015_M098_STD036.png,4,2,pain,99,1,1,471.2421875,560.13671875,9210.848042189,4.01802353600033,0,0,0,0,0,0,0,0,0,9227.963200345,9231.680646416,3.68302916499852
31,31,48,low,h035_M094_STD035.png,1,1,pain,99,1,1,473.93359375,560.79296875,9231.998310551999,4.01758906000032,0,0,0,0,0,0,0,0,0,9249.113199985,9252.565641306,3.41742246000103
32,32,48,low,h054_M096_STD047.png,9,1,pain,99,1,1,459.97265625,566.8828125,9253.164958618001,4.01735164599995,0,0,0,0,0,0,0,0,0,9270.276900145,9271.963704210999,1.64898499999981
33,33,49,low,h032_M082_STD040.png,13,3,pain,99,1,1,546.1484375,436.62109375,9274.331219571,4.0175527829997,0,0,0,0,0,0,0,0,0,9291.445611541,9293.230761675999,1.74884005999957
34,34,49,high,h035_M096_STD046.png,18,4,pain,99,1,1,487.72265625,508.53125,9295.497500238,4.01760968999952,0,0,0,0,0,0,0,0,0,9312.611388618001,9315.463797591,2.8169019030010496
35,35,49,low,h017_M108_STD043.png,15,3,pain,99,1,1,516.6484375,484.28515625,9316.647207036,4.01655268800096,0,0,0,0,0,0,0,0,0,9333.767151696,9335.580128534,1.7653530290008301
