onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
5.68	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h004.png	n/a	n/a	n/a
28.99	0.98	cue	2	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l048.png	n/a	n/a	n/a
59.79	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l019.png	n/a	n/a	n/a
94.88	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h049.png	n/a	n/a	n/a
119.99	0.98	cue	5	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l010.png	n/a	n/a	n/a
162.39	0.98	cue	6	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h041.png	n/a	n/a	n/a
215.39	0.98	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l053.png	n/a	n/a	n/a
251.69	0.98	cue	8	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h033.png	n/a	n/a	n/a
279.98	0.99	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h017.png	n/a	n/a	n/a
308.39	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l028.png	n/a	n/a	n/a
341.09	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h054.png	n/a	n/a	n/a
374.29	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l011.png	n/a	n/a	n/a
8.3	1.33	expectrating	1	high_cue	n/a	17.34	Moderate	17.34	Moderate	0.77	0.57	h004.png	n/a	n/a	n/a
31.99	1.13	expectrating	2	low_cue	n/a	6.39	Weak	6.39	Weak	0.05	1.08	l048.png	n/a	n/a	n/a
62.19	2.66	expectrating	3	low_cue	n/a	19.53	Moderate	19.53	Moderate	1.07	1.59	l019.png	n/a	n/a	n/a
97.28	1.03	expectrating	4	high_cue	n/a	83.07	Very Strong	83.07	Very Strong	0.25	0.78	h049.png	n/a	n/a	n/a
122.99	2.02	expectrating	5	low_cue	n/a	15.44	Moderate	15.44	Moderate	0.85	1.17	l010.png	n/a	n/a	n/a
165.39	1.29	expectrating	6	high_cue	n/a	83.05	Very Strong	83.05	Very Strong	0.45	0.84	h041.png	n/a	n/a	n/a
217.59	1.38	expectrating	7	low_cue	n/a	25.94	Moderate	25.94	Moderate	0.05	1.33	l053.png	n/a	n/a	n/a
