onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file	correct_response	participant_response	response_accuracy
5.7	0.98	cue	1	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l044.png	n/a	n/a	n/a
35.0	0.98	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h034.png	n/a	n/a	n/a
62.69	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l050.png	n/a	n/a	n/a
96.09	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h003.png	n/a	n/a	n/a
131.6	0.98	cue	5	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l055.png	n/a	n/a	n/a
163.4	0.98	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l013.png	n/a	n/a	n/a
193.39	0.99	cue	7	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h022.png	n/a	n/a	n/a
234.39	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l030.png	n/a	n/a	n/a
259.09	1.0	cue	9	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l046.png	n/a	n/a	n/a
307.79	0.99	cue	10	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h040.png	n/a	n/a	n/a
340.7	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h046.png	n/a	n/a	n/a
371.5	0.99	cue	12	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h008.png	n/a	n/a	n/a
9.04	2.12	expectrating	1	low_cue	n/a	14.15	Moderate	14.15	Moderate	0.32	1.8	l044.png	n/a	n/a	n/a
37.7	2.02	expectrating	2	high_cue	n/a	47.65	Strong	47.65	Strong	0.23	1.79	h034.png	n/a	n/a	n/a
65.91		expectrating	3	low_cue	n/a			17.19	Moderate	2.65	3.85	l050.png	n/a	n/a	n/a
98.41	2.02	expectrating	4	high_cue	n/a	24.1	Moderate	24.1	Moderate	0.43	1.58	h003.png	n/a	n/a	n/a
134.3	1.95	expectrating	5	low_cue	n/a	13.59	Moderate	13.59	Moderate	0.4	1.55	l055.png	n/a	n/a	n/a
165.7	1.57	expectrating	6	low_cue	n/a	8.07	Weak	8.07	Weak	0.05	1.52	l013.png	n/a	n/a	n/a
195.01	1.68	expectrating	7	high_cue	n/a	57.65	Strong	57.65	Strong	0.52	1.17	h022.png	n/a	n/a	n/a
235.99		expectrating	8	low_cue	n/a							l030.png	n/a	n/a	n/a
261.0		expectrating	9	low_cue	n/a							l046.png	n/a	n/a	n/a
310.99	2.95	expectrating	10	high_cue	n/a	36.78	Strong	36.78	Strong	1.63	1.32	h040.png	n/a	n/a	n/a
342.6	3.22	expectrating	11	high_cue	n/a	49.72	Strong	49.72	Strong	0.05	3.17	h046.png	n/a	n/a	n/a
374.8	2.55	expectrating	12	high_cue	n/a	63.13	Strong	63.13	Strong	0.1	2.45	h008.png	n/a	n/a	n/a
19.41	6.99	stimulus	1	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	22_100.jpg	same	same	True
44.7	6.99	stimulus	2	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	24_50.jpg	same	same	True
78.4	7.0	stimulus	3	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	24_150_R.jpg	diff	diff	True
106.59	7.0	stimulus	4	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	9_100_R.jpg	diff		False
143.01	6.99	stimulus	5	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	23_100_R.jpg	diff	diff	True
180.79	7.0	stimulus	6	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	43_150_R.jpg	diff	same	False
203.2	7.0	stimulus	7	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	10_150.jpg	same		False
243.9	7.0	stimulus	8	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	17_50.jpg	same	same	True
276.09	7.0	stimulus	9	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	34_50.jpg	same	same	True
318.89	7.0	stimulus	10	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	23_50.jpg	same	same	True
355.29	7.0	stimulus	11	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	17_100_R.jpg	diff	diff	True
387.3	6.99	stimulus	12	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	34_150_R.jpg	diff	diff	True
28.1	3.62	outcomerating	1	low_cue	med_stim	19.67	Moderate	19.67	Moderate	0.05	3.57	task-cognitive_scale.png	n/a	n/a	n/a
58.21	3.08	outcomerating	2	high_cue	low_stim	3.71	Weak	3.71	Weak	1.02	2.07	task-cognitive_scale.png	n/a	n/a	n/a
91.6	3.34	outcomerating	3	low_cue	high_stim	15.52	Moderate	15.52	Moderate	2.07	1.27	task-cognitive_scale.png	n/a	n/a	n/a
