onset	duration	trial_type	trial_index	cue	stimulusintensity	rating_value	rating_glmslabel	rating_value_fillna	rating_glmslabel_fillna	rating_mouseonset	rating_mousedur	stim_file
9.81	0.99	cue	1	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h031.png
34.82	0.98	cue	2	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h021.png
60.71	0.99	cue	3	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l048.png
90.1	0.99	cue	4	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h008.png
118.61	0.98	cue	5	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h047.png
157.61	0.98	cue	6	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l012.png
184.91	0.99	cue	7	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l018.png
225.1	0.99	cue	8	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l015.png
256.0	1.0	cue	9	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h028.png
291.61	0.98	cue	10	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l019.png
336.61	0.98	cue	11	high_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	h026.png
368.01	0.99	cue	12	low_cue	n/a	n/a	n/a	n/a	n/a	n/a	n/a	l026.png
12.53	0.77	expectrating	1	high_cue	n/a	24.21	Moderate	24.21	Moderate	0.35	0.42	h031.png
36.32	0.9	expectrating	2	high_cue	n/a	46.67	Strong	46.67	Strong	0.4	0.5	h021.png
62.81	0.93	expectrating	3	low_cue	n/a	18.14	Moderate	18.14	Moderate	0.37	0.57	l048.png
94.01	0.9	expectrating	4	high_cue	n/a	41.73	Strong	41.73	Strong	0.35	0.55	h008.png
122.52	0.73	expectrating	5	high_cue	n/a	29.31	Strong	29.31	Strong	0.3	0.43	h047.png
161.51	1.27	expectrating	6	low_cue	n/a	3.45	Weak	3.45	Weak	0.38	0.88	l012.png
186.41	0.92	expectrating	7	low_cue	n/a	21.29	Moderate	21.29	Moderate	0.47	0.45	l018.png
227.21	0.95	expectrating	8	low_cue	n/a	14.65	Moderate	14.65	Moderate	0.4	0.55	l015.png
258.72	0.73	expectrating	9	high_cue	n/a	40.58	Strong	40.58	Strong	0.28	0.45	h028.png
293.81	0.72	expectrating	10	low_cue	n/a	41.32	Strong	41.32	Strong	0.35	0.37	l019.png
338.31	0.88	expectrating	11	high_cue	n/a	39.63	Strong	39.63	Strong	0.32	0.57	h026.png
369.81	0.77	expectrating	12	low_cue	n/a	21.2	Moderate	21.2	Moderate	0.3	0.47	l026.png
20.6	7.02	stimulus	1	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	ll042t1afunaff_M.mp4
44.4	7.01	stimulus	2	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1aaaff_H.mp4
71.0	7.0	stimulus	3	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t2aaaff_H.mp4
104.2	7.01	stimulus	4	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aaunaff_L.mp4
133.6	7.01	stimulus	5	high_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	dn124t1aeunaff_M.mp4
168.4	7.01	stimulus	6	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aaunaff_L.mp4
200.3	7.02	stimulus	7	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	aa048t2afunaff_M.mp4
240.1	7.02	stimulus	8	low_cue	med_stim	n/a	n/a	n/a	n/a	n/a	n/a	jy115t1aeaff_M.mp4
271.6	7.01	stimulus	9	high_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	kz120t2aaaff_H.mp4
304.9	7.01	stimulus	10	low_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ll042t1aaunaff_L.mp4
350.4	7.01	stimulus	11	high_cue	low_stim	n/a	n/a	n/a	n/a	n/a	n/a	ak064t1afunaff_L.mp4
380.3	7.02	stimulus	12	low_cue	high_stim	n/a	n/a	n/a	n/a	n/a	n/a	aa048t2aeaff_H.mp4
29.41	0.93	outcomerating	1	high_cue	med_stim	14.43	Moderate	14.43	Moderate	0.37	0.57	task-vicarious_scale.png
52.82	1.42	outcomerating	2	high_cue	high_stim	79.19	Very Strong	79.19	Very Strong	0.47	0.95	task-vicarious_scale.png
80.82	1.12	outcomerating	3	low_cue	high_stim	16.1	Moderate	16.1	Moderate	0.38	0.74	task-vicarious_scale.png
112.61	0.87	outcomerating	4	high_cue	low_stim	26.87	Moderate	26.87	Moderate	0.35	0.52	task-vicarious_scale.png
143.41	0.88	outcomerating	5	high_cue	med_stim	26.67	Moderate	26.67	Moderate	0.38	0.5	task-vicarious_scale.png
178.32	0.92	outcomerating	6	low_cue	low_stim	5.83	Weak	5.83	Weak	0.4	0.52	task-vicarious_scale.png
219.12	1.49	outcomerating	7	low_cue	med_stim	32.86	Strong	32.86	Strong	0.45	1.04	task-vicarious_scale.png
