src_subject_id,session_id,param_run_num,param_counterbalance_ver,param_counterbalance_block_num,param_cue_type,param_administer_type,param_cond_type,param_trigger_onset,param_start_biopac,event01_fixation_onset,event01_fixation_biopac,event01_fixation_duration,event02_cue_onset,event02_cue_biopac,event02_cue_type,event02_cue_filename,event03_expect_displayonset,event03_expect_biopac,event03_expect_responseonset,event03_expect_RT,event04_fixation_onset,event04_fixation_biopac,event04_fixation_duration,event05_administer_type,event05_administer_displayonset,event05_administer_biopac,event06_actual_onset,event06_actual_biopac,event06_actual_responseonset,event06_actual_RT,param_end_instruct_onset,param_end_biopac,param_experiment_duration,delay_between_medoc
1,1,3,3,2,low,50,5,1606247055.50699,1606247055.50858,1606247058.28176,1606247058.29083,2.00144648551941,1606247060.29919,1606247060.30494,low,l049.png,1606247061.33291,1606247061.29066,1606247063.33637,2.00343084335327,1606247065.38443,1606247065.38744,0.701186418533325,50,1606247066.18473,1606247066.18784,1606247072.70384,1606247072.68756,1606247075.60561,2.90170431137085,1606247733.43607,1606247733.44057,677.929084539413,0.0712881088256836
1,1,3,3,2,high,48,2,1606247055.50699,1606247055.50858,1606247076.90542,1606247076.90668,2.10124540328979,1606247079.02288,1606247079.02485,high,h001.png,1606247080.02325,1606247080.00996,1606247082.89127,2.86795949935913,1606247084.07477,1606247084.07588,2.70110154151917,48,1606247086.85915,1606247086.86069,1606247093.37827,1606247093.36194,1606247095.26248,1.88418197631836,1606247733.43607,1606247733.44057,677.929084539413,0.0606749057769775
1,1,3,3,2,high,49,4,1606247055.50699,1606247055.50858,1606247097.4798,1606247097.48478,2.00108766555786,1606247099.49723,1606247099.4987,high,h031.png,1606247100.4976,1606247100.48467,1606247102.37007,1.87223172187805,1606247104.54913,1606247104.55524,0.600841283798218,49,1606247105.23272,1606247105.23792,1606247111.75183,1606247111.7357,1606247114.5538,2.80196070671082,1606247733.43607,1606247733.44057,677.929084539413,0.0630371570587158
1,1,3,3,2,low,50,5,1606247055.50699,1606247055.50858,1606247115.8367,1606247115.83883,1.2009973526001,1606247117.05382,1606247117.0549,low,l032.png,1606247118.05419,1606247118.04089,1606247120.03845,1.98425102233887,1606247122.10572,1606247122.10766,0.901169776916504,50,1606247123.07275,1606247123.07383,1606247129.59186,1606247129.5755,1606247132.70992,3.11804795265198,1606247733.43607,1606247733.44057,677.929084539413,0.0448949337005615
1,1,3,3,2,high,50,6,1606247055.50699,1606247055.50858,1606247133.66006,1606247133.66186,2.40141105651855,1606247136.07763,1606247136.07985,high,h004.png,1606247137.07801,1606247137.06555,1606247139.60329,2.52526879310608,1606247141.12953,1606247141.13254,0.701446771621704,50,1606247141.89648,1606247141.89917,1606247148.4156,1606247148.40077,1606247150.28655,1.87093901634216,1606247733.43607,1606247733.44057,677.929084539413,0.038856029510498
1,1,3,3,2,high,50,6,1606247055.50699,1606247055.50858,1606247152.50047,1606247152.50486,1.50096869468689,1606247154.0177,1606247154.02085,high,h053.png,1606247155.01808,1606247155.00416,1606247157.06989,2.05180597305298,1606247159.0696,1606247159.07085,0.701010465621948,50,1606247159.81988,1606247159.82384,1606247166.339,1606247166.32261,1606247168.99025,2.65124487876892,1606247733.43607,1606247733.44057,677.929084539413,0.035114049911499
1,1,3,3,2,low,49,3,1606247055.50699,1606247055.50858,1606247170.39052,1606247170.40493,1.200847864151,1606247171.60765,1606247171.60897,low,l042.png,1606247172.60802,1606247172.59384,1606247175.05925,2.4512186050415,1606247176.65954,1606247176.66152,0.800927639007568,49,1606247177.52654,1606247177.54126,1606247184.04565,1606247184.02873,1606247186.1699,2.12424111366272,1606247733.43607,1606247733.44057,677.929084539413,0.0598769187927246
1,1,3,3,2,low,48,1,1606247055.50699,1606247055.50858,1606247188.09718,1606247188.105,1.00095582008362,1606247189.11423,1606247189.11611,low,l023.png,1606247190.1146,1606247190.10035,1606247192.88678,2.77216601371765,1606247194.16613,1606247194.17174,0.800872087478638,48,1606247195.01644,1606247195.0217,1606247201.53556,1606247201.51897,1606247203.65337,2.11779642105103,1606247733.43607,1606247733.44057,677.929084539413,0.0351958274841309
1,1,3,3,2,low,50,5,1606247055.50699,1606247055.50858,1606247205.58709,1606247205.58902,1.60100269317627,1606247207.20436,1606247207.20618,low,l046.png,1606247208.20474,1606247208.19049,1606247211.38951,3.18476223945618,1606247212.25626,1606247212.25818,0.700971603393555,50,1606247213.00654,1606247213.02097,1606247219.52566,1606247219.50903,1606247221.12658,1.60091280937195,1606247733.43607,1606247733.44057,677.929084539413,0.0403940677642822
1,1,3,3,2,low,48,1,1606247055.50699,1606247055.50858,1606247223.57718,1606247223.58876,1.70084404945374,1606247225.2945,1606247225.29648,low,l021.png,1606247226.29487,1606247226.28037,1606247229.0202,2.72532343864441,1606247230.3464,1606247230.34838,0.70096755027771,48,1606247231.08001,1606247231.08829,1606247237.59912,1606247237.58237,1606247239.58691,1.98778057098389,1606247733.43607,1606247733.44057,677.929084539413,0.0262980461120605
1,1,3,3,2,high,50,6,1606247055.50699,1606247055.50858,1606247241.65065,1606247241.6549,1.40095472335815,1606247243.06785,1606247243.07178,high,h014.png,1606247244.06822,1606247244.05414,1606247246.58687,2.51863932609558,1606247248.11975,1606247248.12164,0.901019811630249,50,1606247249.07011,1606247249.0719,1606247255.58922,1606247255.57266,1606247257.32338,1.73415040969849,1606247733.43607,1606247733.44057,677.929084539413,0.0374860763549805
